town,ward,precinct,office,district,party,candidate,votes
Dracut,-,8,President,,Green-Rainbow,McKinney and Clemente,1
Springfield,4,C,State Senate,Hampden,,Blank Votes,129
Andover,-,8,U.S. Senate,,,Total Votes Cast,2175
Shrewsbury,-,8,U.S. Senate,,Libertarian,Robert J. Underwood,34
Lowell,7,1,State House,18th Middlesex,Unenrolled,Kenneth J. Patrician,96
Worcester,1,4,President,,Unenrolled,Nader and Gonzalez,16
Weymouth,-,2,President,,,Blank Votes,12
Worcester,3,3,Governor's Council,7th,Democratic,Thomas J. Foley,794
Lynn,6,1,President,,,All Others,7
Cambridge,7,3,President,,,No Preference,0
Medford,4,1,President,,Green-Rainbow,McKinney and Clemente,3
Barnstable,-,4,Governor's Council,1st,Democratic,Carole A. Fiola,1238
Lowell,4,2,Governor's Council,3rd,,Total Votes Cast,632
Tewksbury,-,4,U.S. House,5th,,Total Votes Cast,1788
Lexington,-,6,State House,15th Middlesex,,Blank Votes,542
Boston,18,5,State House,12th Suffolk,,Blank Votes,297
Beverly,5,1,U.S. Senate,,,Blank Votes,54
Springfield,7,A,President,,Constitution Party,Baldwin and Castle,3
Cambridge,8,2,Governor's Council,6th,Democratic,Michael J. Callahan,1239
Woburn,2,2,President,,Libertarian,Barr and Root,2
Boston,12,5,President,,,Blank Votes,0
Boston,15,7,State Senate,1st Suffolk,Unenrolled,Althea Garrison,120
Hanover,-,2,President,,Democratic,Obama and Biden,899
Braintree,-,7,Governor's Council,4th,,All Others,12
Melrose,3,1,State House,32nd Middlesex,,All Others,2
Somerset,-,3,U.S. Senate,,,Total Votes Cast,2085
Haverhill,3,3,President,,,Blank Votes,16
TOTALS,,,State House,2nd Franklin,,All Others,13
Saugus,-,8,State Senate,3rd Essex and Middlesex,Democratic,Thomas M. McGee,923
Medford,3,1,State Senate,2nd Middlesex,,All Others,32
Melrose,1,1,State House,32nd Middlesex,,Total Votes Cast,1157
Walpole,-,4,State House,8th Norfolk,,All Others,14
Haverhill,1,3,U.S. Senate,,,Blank Votes,49
Dartmouth,-,9,U.S. House,4th,Democratic,Barney Frank,1243
Braintree,-,7,President,,Libertarian,Barr and Root,6
Sheffield,-,1,President,,Republican,McCain and Palin,452
Bridgewater,-,2,State House,8th Plymouth,Democratic,David L. Flynn,1542
Worcester,2,4,President,,Constitution Party,Baldwin and Castle,4
W. Stockbridge,-,1,President,,Unenrolled,Nader and Gonzalez,8
Worcester,8,5,State Senate,2nd Worcester,Democratic,Michael O. Moore,573
Attleboro,5,B,State Senate,Bristol and Norfolk,Republican,"Jon W. Rockwood, Sr.",454
Boston,17,4,U.S. House,9th,,Blank Votes,260
Palmer,-,1,Governor's Council,7th,,Blank Votes,435
Lynn,1,2,U.S. Senate,,,All Others,3
Boston,1,12,President,,,No Preference,0
Natick,-,5,State Senate,2nd Middlesex and Norfolk,,All Others,21
Agawam,-,2,President,,Republican,McCain and Palin,937
Quincy,5,2,U.S. Senate,,,Total Votes Cast,1257
Newton,4,1,Governor's Council,3rd,,Blank Votes,544
Taunton,7,B,Governor's Council,1st,,Total Votes Cast,1908
Whately,-,1,Governor's Council,8th,,All Others,1
Lee,-,6,U.S. House,1st,Republican,Nathan A. Bech,133
