town,ward,precinct,office,district,party,candidate,votes
Watertown,-,10,President,,Green-Rainbow,Ralph Nader,0
Marlborough,4,1,President,,Green-Rainbow,Kat Swift,0
Andover,-,3,President,,Democratic,Bill Richardson,2
Wellfleet,-,1,President,,Republican,Ron Paul,8
Cambridge,1,3,President,,Republican,John McCain,37
Saugus,-,8,President,,Republican,No Preference,2
Cambridge,2,3,President,,Green-Rainbow,Kat Swift,0
Malden,5,1,President,,Republican,Blank Votes,0
Norton,-,2,President,,Republican,Total Votes Cast,428
Cambridge,1,2,President,,Democratic,Christopher J. Dodd,1
Westminster,-,2,President,,Democratic,John Edwards,16
Peabody,1,3,President,,Democratic,Blank Votes,2
Boston,22,8,President,,Republican,No Preference,0
Boston,21,10,President,,Republican,Fred Thompson,0
Bellingham,-,1,President,,Green-Rainbow,Jared Ball,0
Attleboro,4,A,President,,Green-Rainbow,No Preference,0
Mashpee,-,4,President,,Democratic,Bill Richardson,2
Westwood,-,1,President,,Democratic,John Edwards,14
Methuen,-,4,President,,Green-Rainbow,Cynthia McKinney,0
Sutton,-,3,President,,Republican,Blank Votes,0
Brockton,6,D,President,,Democratic,John Edwards,8
Boston,4,10,President,,Green-Rainbow,Elaine Brown,0
Millbury,-,2,President,,Democratic,Total Votes Cast,703
Seekonk,-,1,President,,Green-Rainbow,Kent Mesplay,0
Boston,8,1,President,,Republican,Blank Votes,0
Fall River,8,B,President,,Democratic,Hillary Clinton,459
Chicopee,8,B,President,,Democratic,Bill Richardson,2
Springfield,8,A,President,,Republican,Blank Votes,0
Springfield,5,B,President,,Democratic,Dennis J. Kucinich,0
Lancaster,-,1,President,,Green-Rainbow,Jared Ball,0
Westfield,2,B,President,,Republican,John McCain,99
Fall River,3,C,President,,Green-Rainbow,All Others,0
Springfield,7,C,President,,Democratic,Hillary Clinton,299
Haverhill,6,3,President,,Democratic,John Edwards,16
Southborough,-,1,President,,Green-Rainbow,Jared Ball,0
Chelsea,2,1,President,,Democratic,Barack Obama,178
Needham,-,C,President,,Green-Rainbow,Jared Ball,0
Framingham,-,16,President,,Democratic,Hillary Clinton,143
Boston,13,8,President,,Green-Rainbow,Total Votes Cast,1
Beverly,4,1,President,,Democratic,Total Votes Cast,713
Webster,-,3,President,,Republican,Total Votes Cast,180
Swansea,-,4,President,,Republican,Mike Huckabee,10
Greenfield,-,3,President,,Democratic,Bill Richardson,0
Easthampton,-,3,President,,Democratic,Hillary Clinton,367
Boston,15,8,President,,Democratic,Mike Gravel,0
Billerica,-,2,President,,Green-Rainbow,No Preference,0
Maynard,-,1,President,,Democratic,No Preference,6
Billerica,-,6,President,,Republican,Fred Thompson,0
Brockton,3,B,President,,Green-Rainbow,Kat Swift,0
Worthington,-,1,President,,Republican,All Others,0
Peabody,5,3,President,,Republican,All Others,1
Worcester,6,2,President,,Democratic,Total Votes Cast,347
Revere,5,1,President,,Green-Rainbow,Cynthia McKinney,0
Fall River,8,A,President,,Democratic,"Joseph R. Biden, Jr.",1
Melrose,7,2,President,,Democratic,John Edwards,13
Woburn,2,2,President,,Democratic,Total Votes Cast,373
Hudson,-,3,President,,Democratic,John Edwards,13
Springfield,4,D,President,,Democratic,Hillary Clinton,43
Somerville,7,3,President,,Democratic,No Preference,4
Attleboro,4,B,President,,Republican,Blank Votes,0
Amherst,-,4A,President,,Republican,Tom Tancredo,0
Boston,20,8,President,,Green-Rainbow,Kent Mesplay,0
Uxbridge,-,2,President,,Republican,Duncan Hunter,0
Worcester,7,3,President,,Democratic,Total Votes Cast,605
Middleborough,-,6,President,,Republican,John McCain,136
Chatham,-,2,President,,Green-Rainbow,Jared Ball,0
Carlisle,-,1,President,,Democratic,Barack Obama,819
Marion,-,1,President,,Green-Rainbow,Kent Mesplay,0
Melrose,2,1,President,,Green-Rainbow,Kat Swift,0
Brewster,-,2,President,,Democratic,Hillary Clinton,393
Great Barrington,-,C,President,,Democratic,Total Votes Cast,359
New Bedford,3,A,President,,Green-Rainbow,Kat Swift,0
Boxborough,-,1,President,,Republican,Total Votes Cast,617
Winthrop,-,6,President,,Democratic,Barack Obama,195
Winchester,-,1,President,,Democratic,"Joseph R. Biden, Jr.",3
