town,ward,precinct,office,district,party,candidate,votes
Boston,,,State Senate,Suffolk and Middlesex,,Total Votes Cast,1264
Rockland,,,U.S. House,4th,Democratic,Barney Frank,177
Sutton,,,State House,9th Worcester,Republican,All Others,1
Wayland,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,203
Stow,,,U.S. Senate,,Republican,"Jack E. Robinson, III",36
TOTALS,,,State House,7th Norfolk,Democratic,Total Votes Cast,2122
Russell,,,Governor's Council,8th,Democratic,Total Votes Cast,16
Hadley,,,Governor's Council,8th,Republican,Total Votes Cast,19
Falmouth,,,State House,3rd Barnstable,Democratic,Matthew C. Patrick,960
Petersham,,,U.S. Senate,,Libertarian,All Others,0
Boston,,,State House,10th Suffolk,Democratic,David T. Donnelly,1397
Ashburnham,,,Governor's Council,7th,Democratic,Dennis P. McManus,105
Lynn,,,State House,8th Essex,Democratic,Douglas W. Petersen,82
Pittsfield,,,U.S. House,1st,Republican,Blank Votes,16
Florida,,,U.S. House,1st,Republican,Peter J. Abair,15
TOTALS,,,Governor's Council,1st,Democratic,Total Votes Cast,44915
Richmond,,,U.S. Senate,,Democratic,Total Votes Cast,16
Chelsea,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,All Others,2
Methuen,,,State Senate,3rd Essex,Democratic,James P. Jajuga,1369
Reading,,,State House,21st Middlesex,Republican,Blank Votes,29
Northbridge,,,U.S. House,3rd,Democratic,Total Votes Cast,282
Newton,,,State House,11th Middlesex,Democratic,All Others,0
S. Hadley,,,State Senate,Hampshire and Franklin,Libertarian,Total Votes Cast,1
Westborough,,,State Senate,"Middlesex, Norfolk & Worcester",Democratic,Blank Votes,25
Richmond,,,U.S. House,1st,Democratic,Blank Votes,0
Hudson,,,State House,3rd Middlesex,Democratic,Total Votes Cast,356
Barre,,,U.S. Senate,,Republican,"Jack E. Robinson, III",20
Goshen,,,U.S. House,1st,Democratic,All Others,0
Hanover,,,U.S. House,10th,Republican,Blank Votes,45
Cohasset,,,State Senate,Plymouth and Norfolk,Democratic,All Others,2
Berlin,,,U.S. Senate,,Democratic,Blank Votes,10
Heath,,,U.S. Senate,,Republican,"Jack E. Robinson, III",6
Rockport,,,State Senate,1st Essex and Middlesex,Republican,Blank Votes,12
Carlisle,,,U.S. Senate,,Democratic,Blank Votes,43
Salisbury,,,U.S. House,6th,Democratic,All Others,4
Kingston,,,U.S. Senate,,Republican,All Others,2
Dudley,,,Governor's Council,7th,Democratic,Dennis P. McManus,329
Beverly,,,State House,6th Essex,,All Others,6
Somerville,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,Total Votes Cast,299
Chesterfield,,,Governor's Council,8th,Republican,Blank Votes,2
Abington,,,U.S. House,10th,Democratic,Total Votes Cast,1096
Sudbury,,,State House,13th Middlesex,Libertarian,Total Votes Cast,11
Manchester-by-the-Sea,,,State House,4th Essex,Libertarian,All Others,0
Winchendon,,,State House,1st Worcester,Republican,Mark S. Ferguson,93
Barnstable,,,Governor's Council,1st,Democratic,Carole A. Fiola,564
E. Longmeadow,,,U.S. Senate,,Democratic,All Others,3
Chilmark,,,U.S. Senate,,Democratic,Edward M. Kennedy,38
Winchester,,,U.S. House,7th,Democratic,Total Votes Cast,1065
Charlton,,,U.S. Senate,,Republican,Total Votes Cast,187
Quincy,,,State Senate,Norfolk and Plymouth,Democratic,Total Votes Cast,6675
Carver,,,State House,12th Plymouth,Republican,Blank Votes,15
Westminster,,,U.S. Senate,,Democratic,All Others,2
TOTALS,,,State House,14th Essex,Democratic,David M. Torrisi,1407
Tyringham,,,U.S. Senate,,Democratic,Total Votes Cast,17
Provincetown,,,U.S. Senate,,Libertarian,Carla A. Howell,4
Middleton,,,U.S. Senate,,Republican,"Jack E. Robinson, III",72
Bridgewater,,,State Senate,1st Plymouth and Bristol,Democratic,All Others,2
Scituate,,,U.S. House,10th,Republican,Total Votes Cast,603
Billerica,,,Governor's Council,6th,Democratic,Total Votes Cast,1202
Westport,,,Governor's Council,1st,Democratic,Total Votes Cast,1487
Dracut,,,U.S. Senate,,Republican,Total Votes Cast,315
Boxford,,,U.S. Senate,,Republican,All Others,4
Westborough,,,State House,11th Worcester,Republican,All Others,1
Webster,,,U.S. Senate,,Libertarian,Carla A. Howell,0
Hancock,,,U.S. Senate,,Democratic,Blank Votes,1
Monroe,,,U.S. Senate,,Libertarian,Carla A. Howell,2
Lowell,,,State Senate,1st Middlesex,Libertarian,Total Votes Cast,13
Rehoboth,,,State Senate,"Norfolk, Bristol and Plymouth",Republican,All Others,0
Plainville,,,U.S. Senate,,Democratic,Blank Votes,14
Bedford,,,U.S. House,6th,Republican,Frederick T. Golder,89
Hopkinton,,,U.S. House,3rd,Democratic,All Others,2
Cambridge,,,State House,29th Middlesex,Democratic,Total Votes Cast,867
Lowell,,,Governor's Council,3rd,Democratic,Total Votes Cast,4133
TOTALS,,,State House,14th Bristol,Republican,Elizabeth A. Poirier,588
Medway,,,State House,8th Middlesex,Republican,All Others,0
Stoneham,,,State Senate,3rd Middlesex,Republican,Blank Votes,39
Marlborough,,,State Senate,Middlesex and Worcester,Libertarian,Blank Votes,1
Chicopee,,,State House,7th Hampden,Democratic,Thomas M. Petrolati,161
Becket,,,Governor's Council,8th,Democratic,Blank Votes,11
Hanover,,,U.S. Senate,,Republican,Total Votes Cast,156
TOTALS,,,State House,8th Bristol,Democratic,Total Votes Cast,3487
Leverett,,,State Senate,Hampshire and Franklin,Democratic,Total Votes Cast,33
Rowe,,,U.S. House,1st,Republican,Peter J. Abair,13
Franklin,,,U.S. Senate,,Republican,Total Votes Cast,138
Boston,,,State House,6th Suffolk,,All Others,0
Holyoke,,,State House,6th Hampden,Democratic,Total Votes Cast,422
TOTALS,,,State House,5th Worcester,Republican,Total Votes Cast,408
TOTALS,,,State House,38th Middlesex,Democratic,Total Votes Cast,4061
Chesterfield,,,State Senate,Hampshire and Franklin,Libertarian,Michael P. Froimowitz,1
Plymouth,,,State House,12th Plymouth,Democratic,All Others,0
Stoughton,,,U.S. Senate,,Libertarian,Blank Votes,0
Hingham,,,State House,3rd Plymouth,Democratic,All Others,4
Otis,,,Governor's Council,8th,Democratic,All Others,0
Fall River,,,U.S. Senate,,Republican,"Jack E. Robinson, III",319
TOTALS,,,State House,9th Worcester,Republican,"George N. Peterson, Jr.",330
Sunderland,,,U.S. Senate,,Libertarian,Total Votes Cast,3
Boston,,,State House,14th Suffolk,Democratic,Blank Votes,437
Everett,,,U.S. Senate,,Republican,Total Votes Cast,163
Orleans,,,U.S. House,10th,Democratic,All Others,0
Marlborough,,,U.S. Senate,,Libertarian,All Others,0
Watertown,,,State House,32nd Middlesex,Democratic,Rachel Kaprielian,1562
Oxford,,,State House,6th Worcester,Republican,All Others,0
Eastham,,,U.S. Senate,,Democratic,Blank Votes,11
Wayland,,,U.S. House,5th,Democratic,Martin T. Mechan,356
TOTALS,,,State Senate,Suffolk and Middlesex,Republican,Vincent Lawrence Dixon,273
Gosnold,,,U.S. House,10th,Democratic,William D. Delahunt,5
Hubbardston,,,State House,1st Worcester,Republican,Blank Votes,4
Barre,,,Governor's Council,7th,Democratic,All Others,1
Southborough,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,13
Boylston,,,State House,12th Worcester,Republican,Blank Votes,9
TOTALS,,,State House,36th Middlesex,Democratic,All Others,11
Sunderland,,,Governor's Council,8th,Democratic,Blank Votes,3
Williamstown,,,Governor's Council,8th,Democratic,Blank Votes,15
Otis,,,U.S. House,1st,Democratic,John W. Olver,15
TOTALS,,,State House,4th Plymouth,Democratic,Frank M. Hynes,3253
Dunstable,,,U.S. Senate,,Republican,Total Votes Cast,50
Brookline,,,U.S. Senate,,Republican,Total Votes Cast,334
Granby,,,State House,7th Hampden,Democratic,Total Votes Cast,108
Marlborough,,,State Senate,Middlesex and Worcester,Democratic,Total Votes Cast,757
Somerville,,,Governor's Council,6th,Democratic,Blank Votes,1379
W. Boylston,,,State Senate,1st Worcester,Democratic,Harriette L. Chandler,445
Boston,,,State Senate,Suffolk and Norfolk,Democratic,Blank Votes,1091
TOTALS,,,State House,12th Norfolk,Democratic,Blank Votes,297
Natick,,,U.S. Senate,,Republican,"Jack E. Robinson, III",143
Haverhill,,,State House,2nd Essex,Democratic,Total Votes Cast,876
Reading,,,U.S. House,6th,Democratic,All Others,0
Hatfield,,,U.S. Senate,,Republican,"Jack E. Robinson, III",13
Belchertown,,,U.S. House,1st,Democratic,Blank Votes,8
Hardwick,,,State House,5th Worcester,Republican,All Others,0
TOTALS,,,State House,"Barnstable, Dukes and Nantucket",Democratic,All Others,36
Paxton,,,State House,13th Worcester,Democratic,Brian A. O'Connell,78
Medway,,,State Senate,"Middlesex, Norfolk & Worcester",Democratic,All Others,5
Belmont,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,665
TOTALS,,,State House,8th Middlesex,Democratic,Robert S. Cassidy,687
Wareham,,,U.S. Senate,,Libertarian,Blank Votes,0
Brookline,,,State Senate,1st Middlesex and Norfolk,Democratic,Total Votes Cast,5694
Wilmington,,,U.S. Senate,,Republican,"Jack E. Robinson, III",177
Pembroke,,,State Senate,Plymouth and Barnstable,Democratic,Blank Votes,96
Norton,,,U.S. Senate,,Republican,All Others,1
Newbury,,,U.S. Senate,,Libertarian,All Others,0
Medfield,,,Governor's Council,2nd,Democratic,Blank Votes,37
Hardwick,,,U.S. Senate,,Republican,Blank Votes,11
Amesbury,,,State House,1st Essex,Democratic,Daniel B. Pailes,140
Attleboro,,,State House,2nd Bristol,,All Others,2
TOTALS,,,State House,19th Suffolk,Democratic,Blank Votes,181
Weston,,,State Senate,5th Middlesex,Democratic,Blank Votes,24
Washington,,,Governor's Council,8th,Democratic,Blank Votes,2
Needham,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Total Votes Cast,509
TOTALS,,,State House,11th Norfolk,Democratic,Total Votes Cast,1550
Dighton,,,State House,5th Bristol,Republican,Jorden F. H. Fiore,15
Hadley,,,State Senate,Hampshire and Franklin,Democratic,Blank Votes,7
Middleborough,,,State House,10th Bristol,Democratic,William M. Straus,132
Monterey,,,U.S. House,1st,Democratic,Blank Votes,0
Halifax,,,State House,12th Plymouth,Republican,William F. Cravens,58
Bolton,,,Governor's Council,7th,Democratic,Dennis P. McManus,93
Halifax,,,U.S. House,4th,Libertarian,Total Votes Cast,2
Ayer,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,65
Phillipston,,,U.S. Senate,,Republican,"Jack E. Robinson, III",16
Leominster,,,U.S. House,1st,Democratic,Total Votes Cast,1111
Paxton,,,State House,13th Worcester,Republican,Blank Votes,21
Bellingham,,,U.S. Senate,,Libertarian,All Others,0
Orleans,,,Governor's Council,1st,Democratic,Carole A. Fiola,61
Groton,,,Governor's Council,3rd,Democratic,All Others,1
Raynham,,,State House,8th Plymouth,Democratic,Blank Votes,43
TOTALS,,,State House,9th Norfolk,Democratic,All Others,31
Millbury,,,State House,7th Worcester,Republican,Blank Votes,6
Berlin,,,U.S. Senate,,Republican,"Jack E. Robinson, III",22
TOTALS,,,State House,12th Hampden,Democratic,All Others,8
Tewksbury,,,U.S. House,5th,Democratic,Blank Votes,109
Halifax,,,State Senate,1st Plymouth and Bristol,Republican,All Others,1
Ashland,,,State House,7th Middlesex,Libertarian,Total Votes Cast,3
Brockton,,,U.S. Senate,,Democratic,Blank Votes,694
TOTALS,,,State House,6th Plymouth,Republican,Blank Votes,52
New Bedford,,,U.S. Senate,,Libertarian,Blank Votes,0
Plainfield,,,State House,2nd Berkshire,Democratic,Total Votes Cast,23
Hardwick,,,Governor's Council,7th,Democratic,Blank Votes,22
Easton,,,State House,8th Plymouth,Democratic,Blank Votes,13
W. Newbury,,,U.S. Senate,,Democratic,Total Votes Cast,119
Waltham,,,U.S. Senate,,Democratic,Blank Votes,880
Hopkinton,,,U.S. Senate,,Republican,All Others,3
Winthrop,,,State Senate,Suffolk and Middlesex,Republican,John Hugo,53
Falmouth,,,State Senate,Plymouth and Barnstable,Republican,Blank Votes,167
Newbury,,,U.S. House,6th,Democratic,John F. Tierney,84
Freetown,,,State House,11th Bristol,Democratic,All Others,0
Dighton,,,State Senate,1st Plymouth and Bristol,Republican,Chawner Hurd,68
Holbrook,,,State House,5th Norfolk,Democratic,All Others,0
Arlington,,,State House,25th Middlesex,Democratic,Blank Votes,137
Avon,,,U.S. Senate,,Democratic,All Others,2
Lowell,,,State Senate,1st Middlesex,Democratic,Steven C. Panagiotakos,3638
Harwich,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Wellfleet,,,U.S. House,10th,Republican,Eric V. Bleicken,37
Leyden,,,U.S. House,1st,Republican,Total Votes Cast,4
Westborough,,,U.S. House,3rd,Democratic,James P. McGovern,241
TOTALS,,,State House,3rd Plymouth,Democratic,All Others,4
Stow,,,U.S. House,5th,Democratic,Martin T. Mechan,124
Gloucester,,,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,256
Chilmark,,,U.S. Senate,,Republican,Blank Votes,7
Florida,,,U.S. House,1st,Democratic,All Others,0
Brookfield,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Blank Votes,11
Chicopee,,,U.S. House,2nd,Democratic,Joseph R. Fountain,458
Framingham,,,Governor's Council,2nd,Democratic,All Others,2199
Lakeville,,,U.S. House,4th,Republican,Blank Votes,33
Winchester,,,State Senate,2nd Middlesex,Democratic,Blank Votes,221
Stow,,,State Senate,Middlesex and Worcester,Libertarian,Kamal Jain,5
Medford,,,State House,37th Middlesex,Democratic,Blank Votes,197
Dartmouth,,,U.S. Senate,,Libertarian,Total Votes Cast,12
Otis,,,State House,4th Berkshire,Democratic,Blank Votes,2
Mattapoisett,,,State Senate,1st Plymouth and Bristol,Republican,Chawner Hurd,105
Kingston,,,Governor's Council,1st,Democratic,Blank Votes,122
Canton,,,U.S. House,9th,Republican,All Others,0
Peabody,,,Governor's Council,5th,Democratic,Patricia A. Dowling,356
Rochester,,,Governor's Council,1st,Democratic,Total Votes Cast,110
Springfield,,,State Senate,Hampden,Democratic,All Others,32
Shirley,,,U.S. Senate,,Republican,Total Votes Cast,90
TOTALS,,,State House,2nd Norfolk,Democratic,All Others,24
Millville,,,State Senate,Worcester and Norfolk,Democratic,Total Votes Cast,104
Aquinnah,,,U.S. Senate,,Democratic,Edward M. Kennedy,33
Colrain,,,State Senate,Hampshire and Franklin,Libertarian,Michael P. Froimowitz,0
Somerset,,,Governor's Council,1st,Democratic,Total Votes Cast,4162
TOTALS,,,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,5012
Bourne,,,State House,3rd Barnstable,Democratic,Matthew C. Patrick,224
Uxbridge,,,U.S. Senate,,Democratic,Total Votes Cast,249
Leverett,,,State House,1st Franklin,Democratic,Stephen Kulik,32
Groveland,,,U.S. Senate,,Democratic,Edward M. Kennedy,139
Huntington,,,Governor's Council,8th,Democratic,All Others,0
Milton,,,U.S. Senate,,Republican,"Jack E. Robinson, III",148
TOTALS,,,State House,1st Hampshire,Democratic,"William P. Nagle, Jr.",657
Truro,,,U.S. House,10th,Democratic,Blank Votes,4
Boston,,,State House,4th Suffolk,Democratic,"John A. Hart, Jr.",1639
Lowell,,,State House,18th Middlesex,Democratic,All Others,5
Groton,,,U.S. House,5th,Democratic,Thomas P. Tierney,28
Foxborough,,,U.S. House,4th,Democratic,Barney Frank,268
W. Boylston,,,State Senate,1st Worcester,Democratic,Total Votes Cast,907
Edgartown,,,State Senate,Cape and Islands,Democratic,All Others,0
Montague,,,U.S. House,1st,Democratic,All Others,0
Somerville,,,State House,30th Middlesex,Libertarian,Ronald A. Bargoot,12
Rowe,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",13
Cummington,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",20
Southborough,,,U.S. Senate,,Democratic,Blank Votes,91
Uxbridge,,,U.S. Senate,,Libertarian,All Others,0
Yarmouth,,,U.S. Senate,,Republican,Total Votes Cast,464
Sutton,,,U.S. House,2nd,Democratic,Joseph R. Fountain,46
Mattapoisett,,,U.S. Senate,,Libertarian,Blank Votes,0
Mansfield,,,State Senate,"Norfolk, Bristol and Plymouth",Republican,Blank Votes,209
Wendell,,,State House,1st Franklin,Democratic,Blank Votes,2
Auburn,,,U.S. House,2nd,Democratic,Joseph R. Fountain,118
Hingham,,,U.S. House,10th,Republican,Total Votes Cast,726
Southborough,,,Governor's Council,3rd,Democratic,Total Votes Cast,569
Sunderland,,,Governor's Council,8th,Democratic,All Others,0
Nahant,,,U.S. House,6th,Republican,Frederick T. Golder,23
Lawrence,,,U.S. House,5th,Democratic,Blank Votes,1006
Mattapoisett,,,State House,10th Bristol,Republican,Total Votes Cast,134
Raynham,,,State House,8th Plymouth,Democratic,David L. Flynn,179
Ashland,,,U.S. Senate,,Republican,All Others,5
Easthampton,,,Governor's Council,8th,Democratic,All Others,1
Topsfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,93
Haverhill,,,State House,3rd Essex,,All Others,0
Needham,,,State House,13th Norfolk,Democratic,Total Votes Cast,1028
Mendon,,,State House,10th Worcester,Democratic,Marie J. Parente,80
Uxbridge,,,Governor's Council,7th,Democratic,All Others,2
Bridgewater,,,State House,10th Plymouth,Democratic,Blank Votes,55
Hampden,,,Governor's Council,8th,Democratic,Total Votes Cast,31
Holbrook,,,State House,5th Norfolk,Democratic,Joseph C. Sullivan,187
Orleans,,,State House,4th Barnstable,Republican,All Others,1
Dedham,,,U.S. House,9th,Republican,Blank Votes,32
Berlin,,,State Senate,Middlesex and Worcester,Democratic,Total Votes Cast,64
Newburyport,,,U.S. House,6th,Republican,Blank Votes,88
Amesbury,,,U.S. Senate,,Libertarian,Total Votes Cast,3
Boston,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",5236
Hatfield,,,Governor's Council,8th,Democratic,Edward M. O'Brien,57
TOTALS,,,State House,12th Worcester,Democratic,Total Votes Cast,3291
Pittsfield,,,State House,4th Berkshire,Democratic,Total Votes Cast,78
Orange,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Blank Votes,3
Blandford,,,Governor's Council,8th,Democratic,All Others,0
Aquinnah,,,Governor's Council,1st,Democratic,Total Votes Cast,34
Heath,,,U.S. Senate,,Democratic,Edward M. Kennedy,18
Boxford,,,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,182
Marion,,,U.S. House,4th,Libertarian,Total Votes Cast,3
Florida,,,Governor's Council,8th,Democratic,Edward M. O'Brien,7
Quincy,,,U.S. House,10th,Republican,Eric V. Bleicken,646
Boston,,,State Senate,Suffolk and Middlesex,,All Others,0
Stockbridge,,,Governor's Council,8th,Republican,Blank Votes,2
Barnstable,,,U.S. House,10th,Democratic,William D. Delahunt,905
Deerfield,,,U.S. House,1st,Republican,Blank Votes,2
Auburn,,,State House,7th Worcester,Democratic,Susan J. Weagle,749
TOTALS,,,State House,37th Middlesex,Democratic,Total Votes Cast,1993
Belmont,,,State House,26th Middlesex,Democratic,Blank Votes,233
Andover,,,U.S. Senate,,Republican,Blank Votes,77
Southwick,,,U.S. Senate,,Republican,Total Votes Cast,38
W. Brookfield,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Stephen M. Brewer,81
Upton,,,U.S. Senate,,Libertarian,All Others,0
W. Newbury,,,Governor's Council,5th,Democratic,Patricia A. Dowling,50
Holliston,,,U.S. Senate,,Republican,All Others,10
Whitman,,,Governor's Council,2nd,Democratic,Total Votes Cast,544
E. Longmeadow,,,Governor's Council,8th,Democratic,Total Votes Cast,203
Tisbury,,,U.S. Senate,,Republican,All Others,2
Billerica,,,State Senate,4th Middlesex,Democratic,Total Votes Cast,1202
S. Hadley,,,U.S. Senate,,Libertarian,Blank Votes,0
Lee,,,U.S. House,1st,Democratic,Total Votes Cast,115
Gill,,,U.S. House,1st,Republican,Peter J. Abair,5
Royalston,,,U.S. Senate,,Libertarian,Carla A. Howell,7
N. Brookfield,,,U.S. Senate,,Democratic,Blank Votes,31
TOTALS,,,State Senate,2nd Suffolk,Democratic,Dianne Wilkerson,2951
Yarmouth,,,State Senate,Cape and Islands,Republican,All Others,1
