town,ward,precinct,office,district,party,candidate,votes
Cambridge,,,State House,28th Middlesex,Democratic,Blank Votes,286
Bedford,,,U.S. Senate,,Democratic,Blank Votes,32
Plympton,,,U.S. House,4th,Democratic,Total Votes Cast,100
Ayer,,,U.S. House,5th,Democratic,Martin T. Mechan,180
Salisbury,,,Governor's Council,5th,Democratic,Blank Votes,70
Freetown,,,U.S. House,4th,Democratic,Barney Frank,356
Medfield,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,262
Sudbury,,,U.S. Senate,,Libertarian,All Others,0
Holbrook,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",351
Charlton,,,U.S. Senate,,Democratic,Blank Votes,158
Methuen,,,U.S. House,5th,Democratic,All Others,21
Oak Bluffs,,,U.S. House,10th,Republican,All Others,0
Medford,,,U.S. House,7th,Democratic,All Others,58
Easthampton,,,U.S. House,1st,Republican,Blank Votes,1
Deerfield,,,U.S. House,1st,Democratic,Blank Votes,6
W. Tisbury,,,U.S. House,10th,Democratic,William D. Delahunt,91
Saugus,,,U.S. Senate,,Democratic,Total Votes Cast,4438
Spencer,,,U.S. House,2nd,Democratic,Richard E. Neal,248
Acton,,,U.S. House,5th,Democratic,Blank Votes,14
Raynham,,,State Senate,1st Plymouth and Bristol,Republican,Chawner Hurd,79
Acton,,,U.S. Senate,,Libertarian,Total Votes Cast,2
New Braintree,,,State House,5th Worcester,Republican,Blank Votes,3
TOTALS,,,State House,6th Essex,Republican,Total Votes Cast,559
Marion,,,State House,10th Bristol,Republican,Total Votes Cast,253
TOTALS,,,U.S. House,9th,Democratic,Blank Votes,4697
Chesterfield,,,Governor's Council,8th,Democratic,Edward M. O'Brien,12
Holland,,,U.S. Senate,,Democratic,Edward M. Kennedy,24
Lakeville,,,U.S. Senate,,Libertarian,Carla A. Howell,7
Leyden,,,State House,2nd Franklin,Democratic,Total Votes Cast,6
Lanesborough,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,38
Freetown,,,Governor's Council,1st,Democratic,John Thomas Saunders,176
Rutland,,,U.S. Senate,,Democratic,All Others,2
Provincetown,,,State Senate,Cape and Islands,Democratic,Blank Votes,32
Richmond,,,Governor's Council,8th,Democratic,Blank Votes,2
Otis,,,U.S. Senate,,Republican,"Jack E. Robinson, III",10
TOTALS,,,Governor's Council,3rd,Democratic,Blank Votes,8298
Sharon,,,Governor's Council,2nd,Democratic,Terence J. O'Malley,79
N. Attleborough,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Total Votes Cast,358
New Salem,,,U.S. Senate,,Democratic,Edward M. Kennedy,10
Whitman,,,U.S. Senate,,Democratic,Blank Votes,86
Holyoke,,,State House,5th Hampden,,All Others,4
Nahant,,,U.S. Senate,,Democratic,Total Votes Cast,240
W. Brookfield,,,U.S. House,1st,Republican,Total Votes Cast,33
Belmont,,,State House,26th Middlesex,Democratic,All Others,8
Brookline,,,State House,15th Norfolk,Democratic,Ronny M. Sydney,2336
Sandwich,,,State House,2nd Plymouth,Democratic,All Others,0
W. Tisbury,,,U.S. House,10th,Republican,Blank Votes,6
Southwick,,,U.S. House,1st,Democratic,Total Votes Cast,48
Bernardston,,,U.S. House,1st,Democratic,Blank Votes,2
Tyngsborough,,,U.S. House,5th,Democratic,Blank Votes,20
Grafton,,,U.S. Senate,,Democratic,Edward M. Kennedy,265
TOTALS,,,State House,18th Suffolk,Democratic,All Others,0
Holden,,,State House,1st Worcester,Democratic,David C. Bunker,1507
Petersham,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,All Others,0
W. Springfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,377
Paxton,,,State House,13th Worcester,Republican,James J. Lukes,89
Salem,,,U.S. Senate,,Republican,"Jack E. Robinson, III",192
Stow,,,Governor's Council,3rd,Democratic,Blank Votes,42
Natick,,,U.S. Senate,,Libertarian,Blank Votes,0
Randolph,,,State House,6th Norfolk,Libertarian,All Others,0
Wilmington,,,State House,23rd Middlesex,Democratic,Charles A. Murphy,111
Danvers,,,State House,13th Essex,,All Others,1
Milton,,,State House,6th Suffolk,Democratic,Shirley Owens-Hicks,102
Weston,,,U.S. House,7th,Democratic,Edward J. Markey,131
Charlton,,,State House,6th Worcester,Republican,Jerry J. Jachimczyk,161
Mount Washington,,,U.S. Senate,,Republican,Total Votes Cast,2
Topsfield,,,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,100
Boston,,,U.S. House,9th,Democratic,John Joseph Moakley,7066
Plainville,,,State House,14th Bristol,Democratic,James D. McKenna,88
Sandwich,,,State House,2nd Barnstable,Republican,Blank Votes,9
Swansea,,,State Senate,1st Bristol,Democratic,John Barry McDonald,454
Wales,,,U.S. Senate,,Democratic,Edward M. Kennedy,39
Hingham,,,State House,3rd Plymouth,Democratic,Total Votes Cast,2836
Chesterfield,,,Governor's Council,8th,Democratic,Total Votes Cast,13
Woburn,,,U.S. Senate,,Republican,Total Votes Cast,225
Pittsfield,,,State House,2nd Berkshire,Republican,Shaun P. Kelly,10
Middleton,,,U.S. Senate,,Republican,All Others,3
Leverett,,,U.S. Senate,,Libertarian,Total Votes Cast,1
Carver,,,State House,12th Plymouth,Republican,Total Votes Cast,50
Littleton,,,State House,2nd Middlesex,Democratic,Blank Votes,37
Needham,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Earl Henry Sholley,209
Hingham,,,State House,3rd Plymouth,Republican,All Others,7
Plymouth,,,Governor's Council,1st,Democratic,All Others,7
Swampscott,,,State Senate,1st Essex,Democratic,All Others,4
Rowley,,,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,81
Rockland,,,U.S. House,10th,Republican,Eric V. Bleicken,69
Brimfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,38
TOTALS,,,State House,8th Worcester,Democratic,Blank Votes,265
Gill,,,Governor's Council,8th,Republican,Blank Votes,2
Phillipston,,,Governor's Council,7th,Democratic,Blank Votes,5
Brimfield,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Stephen M. Brewer,40
Hopedale,,,Governor's Council,7th,Democratic,Blank Votes,57
Gosnold,,,Governor's Council,1st,Democratic,All Others,0
Gloucester,,,Governor's Council,5th,Democratic,Total Votes Cast,457
Norton,,,State House,1st Bristol,Democratic,All Others,8
Stoughton,,,State House,8th Norfolk,Democratic,All Others,0
Heath,,,U.S. House,1st,Democratic,Total Votes Cast,20
Chesterfield,,,U.S. Senate,,Republican,All Others,0
Shirley,,,Governor's Council,3rd,Democratic,Blank Votes,50
Grafton,,,U.S. Senate,,Libertarian,Blank Votes,0
Barre,,,U.S. Senate,,Democratic,Edward M. Kennedy,132
Leominster,,,State House,4th Worcester,,Blank Votes,219
TOTALS,,,State House,32nd Middlesex,Democratic,Total Votes Cast,2156
W. Bridgewater,,,Governor's Council,2nd,Democratic,Blank Votes,32
E. Brookfield,,,U.S. Senate,,Republican,"Jack E. Robinson, III",15
TOTALS,,,State House,12th Bristol,Democratic,George Rogers,1834
W. Stockbridge,,,U.S. Senate,,Democratic,Edward M. Kennedy,21
TOTALS,,,State House,33rd Middlesex,Democratic,Carol A. Donovan,1404
Monson,,,State House,2nd Hampden,Republican,All Others,0
Monroe,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",5
TOTALS,,,State House,4th Essex,Republican,Total Votes Cast,965
N. Andover,,,U.S. Senate,,Democratic,Total Votes Cast,859
