town,ward,precinct,office,district,party,candidate,votes
Abington,-,1,State House,7th Plymouth,,Total Votes Cast,1641
Abington,-,1,State House,7th Plymouth,,All Others,3
Abington,-,1,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1273
Abington,-,1,State House,7th Plymouth,,Blank Votes,365
Abington,-,2,State House,7th Plymouth,,Total Votes Cast,1475
Abington,-,2,State House,7th Plymouth,,Blank Votes,327
Abington,-,2,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1147
Abington,-,2,State House,7th Plymouth,,All Others,1
Abington,-,3,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1372
Abington,-,3,State House,7th Plymouth,,All Others,6
Abington,-,3,State House,7th Plymouth,,Blank Votes,437
Abington,-,3,State House,7th Plymouth,,Total Votes Cast,1815
Abington,-,4,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1569
Abington,-,4,State House,7th Plymouth,,Total Votes Cast,2071
Abington,-,4,State House,7th Plymouth,,Blank Votes,495
Abington,-,4,State House,7th Plymouth,,All Others,7
Abington,,,President,,Democratic,Gore and Lieberman,3887
Abington,,,President,,Green,Nader and LaDuke,331
Abington,,,Governor's Council,2nd,Democratic,Kelly A. Timilty,2224
Abington,,,Governor's Council,2nd,,All Others,4
Abington,,,U.S. House,10th,Republican,Eric V. Bleicken,1453
Abington,,,President,,,No Preference,0
Abington,,,U.S. House,10th,Democratic,William D. Delahunt,5183
Abington,,,President,,Libertarian,Browne and Olivier,43
Abington,,,U.S. Senate,,Libertarian,Carla A. Howell,1310
Abington,,,Governor's Council,2nd,,Blank Votes,885
Abington,,,U.S. Senate,,,Total Votes Cast,7002
Abington,,,U.S. Senate,,Republican,"Jack E. Robinson, III",763
Abington,,,Governor's Council,4th,,Blank Votes,1106
Abington,,,President,,Republican,Bush and Cheney,2661
Abington,,,State Senate,2nd Plymouth and Bristol,,Total Votes Cast,3113
Abington,,,President,,Reform,Buchanan and Higgins,26
Abington,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",2774
Abington,,,Governor's Council,4th,,Total Votes Cast,3888
Abington,,,State Senate,Norfolk and Plymouth,,Blank Votes,996
Abington,,,President,,Unenrolled,Hagelin and Tompkins,8
Abington,,,President,,,All Others,10
Abington,,,U.S. Senate,,,Blank Votes,254
Abington,,,U.S. Senate,,Constitution,Philip F. Lawler,92
Abington,,,State Senate,Norfolk and Plymouth,Democratic,Michael W. Morrissey,2888
Abington,,,U.S. Senate,,Timesizing Not Downsizing,"Philip Hyde, III",6
Abington,,,President,,,Total Votes Cast,7002
Abington,,,U.S. Senate,,Unenrolled,Dale E. Friedgen,30
Abington,,,State Senate,2nd Plymouth and Bristol,,All Others,6
Abington,,,U.S. Senate,,Democratic,Edward M. Kennedy,4544
Abington,,,U.S. Senate,,,All Others,3
Abington,,,U.S. House,10th,,Blank Votes,362
Abington,,,President,,(Write-In),McReynolds and Hollis,0
Abington,,,State Senate,2nd Plymouth and Bristol,,Blank Votes,784
Abington,,,State Senate,2nd Plymouth and Bristol,Democratic,"Robert S. Creedon, Jr.",2323
Abington,,,Governor's Council,2nd,,Total Votes Cast,3113
Abington,,,U.S. House,10th,,Total Votes Cast,7002
Abington,,,Governor's Council,4th,,All Others,8
Abington,,,State Senate,Norfolk and Plymouth,,All Others,4
Abington,,,U.S. House,10th,,All Others,4
Abington,,,President,,,Blank Votes,36
Abington,,,State Senate,Norfolk and Plymouth,,Total Votes Cast,3888
Acton,-,1,State House,14th Middlesex,,All Others,23
Acton,-,1,State House,14th Middlesex,,Blank Votes,485
Acton,-,1,State House,14th Middlesex,,Total Votes Cast,1929
Acton,-,1,State House,14th Middlesex,Democratic,Cory Atkins,1421
Acton,-,2,State House,14th Middlesex,,All Others,27
Acton,-,2,State House,14th Middlesex,,Blank Votes,517
Acton,-,2,State House,14th Middlesex,Democratic,Cory Atkins,1662
Acton,-,2,State House,14th Middlesex,,Total Votes Cast,2206
Acton,-,3,State House,14th Middlesex,,All Others,43
Acton,-,3,State House,14th Middlesex,,Total Votes Cast,2129
Acton,-,3,State House,14th Middlesex,,Blank Votes,500
Acton,-,3,State House,14th Middlesex,Democratic,Cory Atkins,1586
