town,ward,precinct,office,district,party,candidate,votes
Westwood,,,President,,Republican,John McCain,1471
Southwick,,,President,,Libertarian,Total Votes Cast,1
Boxborough,,,President,,Libertarian,Kip Lee,0
Grafton,,,President,,Libertarian,Total Votes Cast,4
Sandwich,,,President,,Libertarian,L. Neil Smith,0
Bourne,,,President,,Republican,Blank Votes,0
Billerica,,,President,,Libertarian,No Preference,2
Ayer,,,President,,Republican,All Others,0
Orange,,,President,,Republican,Alan Keyes,31
Spencer,,,President,,Republican,Total Votes Cast,729
Chelmsford,,,President,,Libertarian,Larry Hines,0
Eastham,,,President,,Libertarian,All Others,0
Freetown,,,President,,Republican,Alan Keyes,12
Palmer,,,President,,Republican,Steve Forbes,1
Newton,,,President,,Libertarian,L. Neil Smith,1
Middleborough,,,President,,Republican,Alan Keyes,66
Bridgewater,,,President,,Republican,John McCain,1302
Lakeville,,,President,,Republican,Blank Votes,3
Wenham,,,President,,Democratic,No Preference,3
Georgetown,,,President,,Republican,Gary Bauer,2
Arlington,,,President,,Libertarian,David Lynn Hollist,0
Upton,,,President,,Republican,Blank Votes,2
Westport,,,President,,Republican,No Preference,7
Orange,,,President,,Libertarian,Total Votes Cast,4
E. Brookfield,,,President,,Republican,Steve Forbes,0
Northbridge,,,President,,Democratic,All Others,1
Tewksbury,,,President,,Democratic,All Others,49
Hanson,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Hampden,,,President,,Republican,Orrin Hatch,0
Oak Bluffs,,,President,,Republican,Alan Keyes,10
Hopkinton,,,President,,Republican,John McCain,1066
Monroe,,,President,,Libertarian,Kip Lee,0
Swampscott,,,President,,Republican,No Preference,0
Wenham,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Shelburne,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Provincetown,,,President,,Republican,George W. Bush,39
Sandwich,,,President,,Republican,Alan Keyes,75
Southampton,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Townsend,,,President,,Libertarian,No Preference,1
Swampscott,,,President,,Libertarian,Harry Browne,0
Granville,,,President,,Democratic,No Preference,0
Worthington,,,President,,Democratic,Total Votes Cast,115
Scituate,,,President,,Democratic,Al Gore,934
Pembroke,,,President,,Democratic,Total Votes Cast,1321
Alford,,,President,,Republican,Steve Forbes,0
Braintree,,,President,,Libertarian,Blank Votes,4
Pepperell,,,President,,Republican,Blank Votes,2
New Marlborough,,,President,,Libertarian,L. Neil Smith,0
Brookline,,,President,,Democratic,Blank Votes,92
Pelham,,,President,,Republican,Gary Bauer,0
Orleans,,,President,,Libertarian,All Others,0
Charlton,,,President,,Democratic,No Preference,9
Plainfield,,,President,,Democratic,Al Gore,37
Savoy,,,President,,Republican,Gary Bauer,0
Heath,,,President,,Republican,Gary Bauer,0
N. Attleborough,,,President,,Republican,Steve Forbes,2
Hadley,,,President,,Libertarian,Larry Hines,0
Canton,,,President,,Libertarian,Kip Lee,0
Agawam,,,President,,Democratic,Total Votes Cast,1768
Winchendon,,,President,,Republican,No Preference,0
Agawam,,,President,,Republican,No Preference,6
Taunton,,,President,,Republican,Steve Forbes,7
Northfield,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Melrose,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Palmer,,,President,,Republican,Total Votes Cast,686
Great Barrington,,,President,,Democratic,Al Gore,251
Danvers,,,President,,Democratic,Bill Bradley,785
Marshfield,,,President,,Libertarian,Total Votes Cast,7
Newton,,,President,,Democratic,No Preference,80
Becket,,,President,,Republican,Blank Votes,0
Wayland,,,President,,Republican,Gary Bauer,2
Groton,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
Northborough,,,President,,Libertarian,All Others,0
Quincy,,,President,,Republican,All Others,26
Conway,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Rutland,,,President,,Democratic,Bill Bradley,151
Grafton,,,President,,Republican,All Others,0
Rochester,,,President,,Democratic,Blank Votes,5
Becket,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Milton,,,President,,Republican,Alan Keyes,62
Freetown,,,President,,Democratic,Total Votes Cast,651
N. Attleborough,,,President,,Republican,Blank Votes,26
Peabody,,,President,,Libertarian,David Lynn Hollist,0
Dennis,,,President,,Democratic,Bill Bradley,689
Hanson,,,President,,Republican,Orrin Hatch,0
Erving,,,President,,Democratic,Total Votes Cast,63
Northbridge,,,President,,Libertarian,Harry Browne,0
Revere,,,President,,Libertarian,Harry Browne,3
Leyden,,,President,,Democratic,Bill Bradley,24
Oak Bluffs,,,President,,Libertarian,Total Votes Cast,3
Wilbraham,,,President,,Democratic,All Others,11
Shelburne,,,President,,Republican,Blank Votes,0
Greenfield,,,President,,Republican,Total Votes Cast,1329
Bourne,,,President,,Democratic,No Preference,31
Granby,,,President,,Libertarian,Larry Hines,0
Orange,,,President,,Democratic,Bill Bradley,125
Manchester-by-the-Sea,,,President,,Libertarian,All Others,0
Otis,,,President,,Republican,John McCain,72
Plymouth,,,President,,Republican,John McCain,3369
Clinton,,,President,,Libertarian,Kip Lee,0
Athol,,,President,,Libertarian,Larry Hines,0
Malden,,,President,,Libertarian,David Lynn Hollist,0
Swansea,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Beverly,,,President,,Libertarian,Total Votes Cast,23
Dracut,,,President,,Democratic,Total Votes Cast,2806
Berlin,,,President,,Libertarian,Harry Browne,2
Worthington,,,President,,Libertarian,Blank Votes,0
Conway,,,President,,Democratic,No Preference,2
Sharon,,,President,,Democratic,All Others,4
Dartmouth,,,President,,Republican,Orrin Hatch,1
Palmer,,,President,,Democratic,No Preference,31
Wayland,,,President,,Democratic,Bill Bradley,867
Somerville,,,President,,Libertarian,Total Votes Cast,25
N. Reading,,,President,,Democratic,Al Gore,786
Swampscott,,,President,,Libertarian,L. Neil Smith,0
Arlington,,,President,,Democratic,Blank Votes,70
Millis,,,President,,Democratic,Blank Votes,4
Leverett,,,President,,Republican,Gary Bauer,0
Grafton,,,President,,Democratic,Total Votes Cast,861
Boxford,,,President,,Libertarian,L. Neil Smith,0
Bourne,,,President,,Libertarian,Total Votes Cast,4
Norwood,,,President,,Democratic,Total Votes Cast,3569
Sheffield,,,President,,Republican,Total Votes Cast,231
Wenham,,,President,,Democratic,Al Gore,132
Marblehead,,,President,,Republican,Alan Keyes,39
Norwood,,,President,,Libertarian,Larry Hines,0
Sudbury,,,President,,Libertarian,Larry Hines,1
Douglas,,,President,,Democratic,Total Votes Cast,327
Provincetown,,,President,,Libertarian,Harry Browne,5
Rehoboth,,,President,,Republican,Orrin Hatch,1
Dover,,,President,,Libertarian,David Lynn Hollist,0
Millis,,,President,,Republican,Blank Votes,2
Colrain,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
TOTALS,,,President,,Republican,Orrin Hatch,262
Auburn,,,President,,Democratic,Total Votes Cast,1359
Avon,,,President,,Democratic,Al Gore,299
Westborough,,,President,,Republican,No Preference,3
Abington,,,President,,Libertarian,"Edison P. McDaniels, Sr.",1
Newbury,,,President,,Republican,Alan Keyes,25
Rehoboth,,,President,,Republican,Gary Bauer,2
Shelburne,,,President,,Democratic,All Others,0
Shelburne,,,President,,Libertarian,No Preference,0
Shrewsbury,,,President,,Libertarian,David Lynn Hollist,1
Brookline,,,President,,Republican,No Preference,4
Stow,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Mashpee,,,President,,Democratic,Blank Votes,5
Stockbridge,,,President,,Republican,No Preference,1
Hubbardston,,,President,,Republican,Gary Bauer,0
Newburyport,,,President,,Democratic,All Others,16
Belmont,,,President,,Democratic,All Others,14
Mattapoisett,,,President,,Libertarian,No Preference,0
Sheffield,,,President,,Republican,Gary Bauer,0
Southbridge,,,President,,Republican,John McCain,511
Hancock,,,President,,Republican,All Others,0
Shrewsbury,,,President,,Republican,John McCain,2086
Billerica,,,President,,Libertarian,Harry Browne,14
Pelham,,,President,,Republican,George W. Bush,34
Grafton,,,President,,Libertarian,Larry Hines,2
Hardwick,,,President,,Republican,Gary Bauer,0
Dartmouth,,,President,,Democratic,No Preference,46
Ashburnham,,,President,,Democratic,Al Gore,246
Carver,,,President,,Democratic,No Preference,23
Revere,,,President,,Republican,All Others,2
Waltham,,,President,,Libertarian,Larry Hines,1
Chatham,,,President,,Republican,Steve Forbes,6
Hadley,,,President,,Republican,Orrin Hatch,0
Danvers,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",9
Wendell,,,President,,Libertarian,L. Neil Smith,0
Middleborough,,,President,,Republican,Blank Votes,8
Needham,,,President,,Democratic,Bill Bradley,1833
Belmont,,,President,,Democratic,Blank Votes,27
Southwick,,,President,,Democratic,No Preference,13
Granville,,,President,,Democratic,All Others,0
Bellingham,,,President,,Republican,George W. Bush,383
Ashland,,,President,,Republican,Gary Bauer,0
Millville,,,President,,Libertarian,Harry Browne,0
Somerset,,,President,,Democratic,All Others,36
Berlin,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",2
Agawam,,,President,,Libertarian,Blank Votes,0
Pembroke,,,President,,Libertarian,Kip Lee,1
Leicester,,,President,,Democratic,No Preference,22
Holden,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",3
Northborough,,,President,,Republican,John McCain,1140
Holland,,,President,,Libertarian,All Others,1
Dighton,,,President,,Libertarian,No Preference,0
E. Longmeadow,,,President,,Democratic,Bill Bradley,438
Truro,,,President,,Democratic,Al Gore,142
Savoy,,,President,,Libertarian,Blank Votes,0
W. Newbury,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Phillipston,,,President,,Republican,John McCain,119
Chelmsford,,,President,,Republican,No Preference,10
Winthrop,,,President,,Democratic,Blank Votes,30
Westford,,,President,,Republican,Orrin Hatch,1
Scituate,,,President,,Libertarian,Blank Votes,2
Topsfield,,,President,,Republican,John McCain,768
Ayer,,,President,,Republican,No Preference,0
Holden,,,President,,Republican,Orrin Hatch,1
Hanson,,,President,,Democratic,Bill Bradley,255
Williamstown,,,President,,Republican,All Others,0
Cheshire,,,President,,Republican,George W. Bush,80
Waltham,,,President,,Republican,Steve Forbes,10
Blandford,,,President,,Libertarian,All Others,0
Halifax,,,President,,Republican,No Preference,0
Fairhaven,,,President,,Libertarian,Blank Votes,0
Plympton,,,President,,Democratic,All Others,3
Belchertown,,,President,,Republican,George W. Bush,302
Dover,,,President,,Libertarian,Kip Lee,0
Millville,,,President,,Republican,Orrin Hatch,0
Williamsburg,,,President,,Republican,Total Votes Cast,217
Acushnet,,,President,,Libertarian,Total Votes Cast,2
Montague,,,President,,Libertarian,Larry Hines,0
Burlington,,,President,,Democratic,Blank Votes,19
Lexington,,,President,,Republican,John McCain,2181
Hanson,,,President,,Democratic,Total Votes Cast,649
Tyngsborough,,,President,,Democratic,No Preference,15
Southwick,,,President,,Democratic,Al Gore,293
Groveland,,,President,,Republican,Alan Keyes,24
Sherborn,,,President,,Libertarian,No Preference,0
Conway,,,President,,Democratic,Total Votes Cast,260
Mashpee,,,President,,Libertarian,No Preference,0
Acushnet,,,President,,Republican,No Preference,5
Freetown,,,President,,Republican,Gary Bauer,1
Chelmsford,,,President,,Democratic,All Others,19
Agawam,,,President,,Republican,Blank Votes,6
Dracut,,,President,,Republican,Gary Bauer,35
Millbury,,,President,,Democratic,Al Gore,657
Hull,,,President,,Republican,No Preference,2
Barnstable,,,President,,Democratic,Total Votes Cast,4038
Wilmington,,,President,,Libertarian,Kip Lee,1
Melrose,,,President,,Libertarian,Harry Browne,2
Whately,,,President,,Democratic,Total Votes Cast,165
Shutesbury,,,President,,Democratic,No Preference,0
W. Bridgewater,,,President,,Libertarian,Blank Votes,0
Hadley,,,President,,Democratic,Al Gore,235
Williamstown,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Topsfield,,,President,,Republican,Orrin Hatch,0
Leverett,,,President,,Libertarian,Total Votes Cast,1
Lawrence,,,President,,Libertarian,All Others,2
Barnstable,,,President,,Republican,All Others,6
Dudley,,,President,,Libertarian,David Lynn Hollist,0
Scituate,,,President,,Democratic,No Preference,37
Swansea,,,President,,Libertarian,Larry Hines,0
Northbridge,,,President,,Republican,Gary Bauer,3
Shutesbury,,,President,,Republican,Alan Keyes,0
Tyringham,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Winthrop,,,President,,Libertarian,Harry Browne,1
Norton,,,President,,Libertarian,Blank Votes,0
Falmouth,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",7
Westfield,,,President,,Libertarian,No Preference,1
Provincetown,,,President,,Democratic,Total Votes Cast,697
Lexington,,,President,,Democratic,Total Votes Cast,5234
Northfield,,,President,,Democratic,Total Votes Cast,225
Clarksburg,,,President,,Republican,All Others,0
Monroe,,,President,,Republican,Orrin Hatch,0
Medway,,,President,,Republican,All Others,0
Wrentham,,,President,,Libertarian,No Preference,0
Lynn,,,President,,Republican,Total Votes Cast,3581
Nantucket,,,President,,Republican,John McCain,652
Brimfield,,,President,,Democratic,Blank Votes,0
Wendell,,,President,,Republican,All Others,0
Arlington,,,President,,Republican,George W. Bush,1336
Tisbury,,,President,,Republican,John McCain,265
TOTALS,,,President,,Democratic,All Others,4073
Duxbury,,,President,,Republican,Blank Votes,25
Plainfield,,,President,,Republican,Orrin Hatch,0
Dighton,,,President,,Republican,Alan Keyes,19
Hatfield,,,President,,Republican,John McCain,134
Ipswich,,,President,,Libertarian,David Lynn Hollist,0
Auburn,,,President,,Libertarian,Kip Lee,0
Oakham,,,President,,Libertarian,David Lynn Hollist,0
Burlington,,,President,,Republican,Gary Bauer,2
Wayland,,,President,,Republican,George W. Bush,617
Seekonk,,,President,,Democratic,Blank Votes,4
Northfield,,,President,,Democratic,All Others,3
Dracut,,,President,,Libertarian,David Lynn Hollist,1
Shelburne,,,President,,Libertarian,Kip Lee,0
Berkley,,,President,,Libertarian,"Edison P. McDaniels, Sr.",1
Dracut,,,President,,Libertarian,No Preference,0
Acushnet,,,President,,Republican,Gary Bauer,1
Lenox,,,President,,Libertarian,No Preference,1
W. Newbury,,,President,,Democratic,Al Gore,175
Goshen,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Mendon,,,President,,Democratic,Blank Votes,4
W. Boylston,,,President,,Libertarian,Blank Votes,0
W. Bridgewater,,,President,,Republican,No Preference,2
Weymouth,,,President,,Libertarian,No Preference,1
Athol,,,President,,Libertarian,Total Votes Cast,2
Amesbury,,,President,,Republican,Steve Forbes,6
Norwell,,,President,,Libertarian,David Lynn Hollist,0
Plymouth,,,President,,Republican,Alan Keyes,134
Brookline,,,President,,Libertarian,L. Neil Smith,0
Chelmsford,,,President,,Republican,Blank Votes,16
Chelsea,,,President,,Republican,Steve Forbes,3
Provincetown,,,President,,Republican,No Preference,1
Dover,,,President,,Republican,Blank Votes,9
Mashpee,,,President,,Republican,Blank Votes,2
Concord,,,President,,Republican,Alan Keyes,49
Arlington,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",27
Dudley,,,President,,Libertarian,No Preference,0
Ipswich,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Boxford,,,President,,Libertarian,Kip Lee,0
Duxbury,,,President,,Libertarian,All Others,1
Sudbury,,,President,,Republican,Alan Keyes,33
Boxborough,,,President,,Republican,All Others,3
Montgomery,,,President,,Republican,John McCain,53
Brookfield,,,President,,Democratic,Al Gore,101
Egremont,,,President,,Democratic,Total Votes Cast,122
Peru,,,President,,Republican,Alan Keyes,4
Natick,,,President,,Republican,Steve Forbes,10
Leicester,,,President,,Democratic,Al Gore,503
Sunderland,,,President,,Democratic,Total Votes Cast,299
Springfield,,,President,,Republican,Alan Keyes,125
Sherborn,,,President,,Libertarian,Total Votes Cast,2
Charlton,,,President,,Libertarian,L. Neil Smith,0
Spencer,,,President,,Republican,All Others,1
Bolton,,,President,,Libertarian,Larry Hines,0
Somerville,,,President,,Libertarian,No Preference,4
Douglas,,,President,,Republican,Alan Keyes,5
Orange,,,President,,Libertarian,Blank Votes,0
Holden,,,President,,Democratic,Total Votes Cast,1267
Pittsfield,,,President,,Republican,Alan Keyes,73
Warren,,,President,,Libertarian,No Preference,0
Ashfield,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Lee,,,President,,Republican,Orrin Hatch,0
Pepperell,,,President,,Libertarian,David Lynn Hollist,0
Heath,,,President,,Republican,Alan Keyes,20
Brookline,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Stoneham,,,President,,Republican,Gary Bauer,3
Natick,,,President,,Republican,Total Votes Cast,3614
Randolph,,,President,,Libertarian,All Others,1
Westford,,,President,,Republican,Blank Votes,12
Orange,,,President,,Democratic,Blank Votes,7
Leyden,,,President,,Republican,Orrin Hatch,0
Acton,,,President,,Libertarian,Blank Votes,1
N. Andover,,,President,,Democratic,No Preference,46
Somerset,,,President,,Democratic,Al Gore,1674
Mansfield,,,President,,Republican,Total Votes Cast,2116
Easthampton,,,President,,Democratic,Bill Bradley,409
Brewster,,,President,,Republican,Gary Bauer,0
Reading,,,President,,Libertarian,All Others,5
Goshen,,,President,,Democratic,Total Votes Cast,97
New Marlborough,,,President,,Libertarian,Kip Lee,1
Chilmark,,,President,,Democratic,Total Votes Cast,150
Everett,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",23
Westport,,,President,,Libertarian,Blank Votes,2
Worthington,,,President,,Libertarian,Total Votes Cast,1
Dracut,,,President,,Libertarian,Blank Votes,1
Danvers,,,President,,Republican,Total Votes Cast,3369
Winchendon,,,President,,Republican,George W. Bush,228
Colrain,,,President,,Libertarian,Kip Lee,0
Hinsdale,,,President,,Republican,Alan Keyes,5
Duxbury,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Stoughton,,,President,,Libertarian,Total Votes Cast,6
Westfield,,,President,,Libertarian,David Lynn Hollist,0
Sudbury,,,President,,Republican,Orrin Hatch,0
Billerica,,,President,,Democratic,Blank Votes,39
Winchendon,,,President,,Democratic,All Others,8
Avon,,,President,,Republican,Blank Votes,4
Dennis,,,President,,Libertarian,All Others,2
Beverly,,,President,,Libertarian,"Edison P. McDaniels, Sr.",3
Pelham,,,President,,Republican,Orrin Hatch,0
Seekonk,,,President,,Republican,All Others,0
Chelmsford,,,President,,Republican,Gary Bauer,8
N. Brookfield,,,President,,Republican,Orrin Hatch,0
Falmouth,,,President,,Libertarian,Larry Hines,1
Sherborn,,,President,,Republican,Gary Bauer,0
Stoughton,,,President,,Republican,Gary Bauer,3
Easton,,,President,,Republican,Steve Forbes,5
Springfield,,,President,,Republican,John McCain,1622
Gardner,,,President,,Democratic,Total Votes Cast,1401
Dartmouth,,,President,,Libertarian,David Lynn Hollist,0
Stoughton,,,President,,Democratic,Total Votes Cast,2714
Russell,,,President,,Democratic,No Preference,2
Boxford,,,President,,Libertarian,Blank Votes,0
Abington,,,President,,,All Others,2
Wayland,,,President,,Republican,Blank Votes,6
New Marlborough,,,President,,Libertarian,David Lynn Hollist,0
Southampton,,,President,,Democratic,Blank Votes,8
Holland,,,President,,Libertarian,Harry Browne,0
Leominster,,,President,,Republican,Gary Bauer,4
Blandford,,,President,,Republican,Alan Keyes,3
Wilmington,,,President,,Democratic,Total Votes Cast,1930
Fitchburg,,,President,,Republican,Total Votes Cast,2146
Raynham,,,President,,Libertarian,Total Votes Cast,2
Stow,,,President,,Libertarian,L. Neil Smith,0
Eastham,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
Waltham,,,President,,Democratic,All Others,0
Northampton,,,President,,Democratic,No Preference,34
Hampden,,,President,,Republican,Gary Bauer,1
Paxton,,,President,,Republican,John McCain,364
Nantucket,,,President,,Libertarian,Kip Lee,0
Monson,,,President,,Republican,Steve Forbes,3
Chester,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Yarmouth,,,President,,Republican,Alan Keyes,79
Somerville,,,President,,Libertarian,Larry Hines,0
Avon,,,President,,Republican,Orrin Hatch,1
Yarmouth,,,President,,Republican,All Others,0
Maynard,,,President,,Republican,Gary Bauer,3
Ayer,,,President,,Libertarian,Larry Hines,0
Brookfield,,,President,,Libertarian,All Others,0
Millis,,,President,,Democratic,Total Votes Cast,674
Norfolk,,,President,,Republican,Gary Bauer,2
Nahant,,,President,,Republican,Alan Keyes,11
Erving,,,President,,Democratic,Blank Votes,0
N. Brookfield,,,President,,Democratic,Bill Bradley,70
Eastham,,,President,,Republican,Alan Keyes,23
Sherborn,,,President,,Democratic,Bill Bradley,255
Groveland,,,President,,Republican,Orrin Hatch,0
Royalston,,,President,,Democratic,Total Votes Cast,74
Plympton,,,President,,Democratic,Bill Bradley,72
Hubbardston,,,President,,Libertarian,Larry Hines,0
Wayland,,,President,,Republican,No Preference,2
Gloucester,,,President,,Democratic,Bill Bradley,900
Lincoln,,,President,,Libertarian,No Preference,1
Bedford,,,President,,Democratic,Blank Votes,19
Phillipston,,,President,,Republican,Blank Votes,0
Auburn,,,President,,Libertarian,Blank Votes,1
Middleton,,,President,,Libertarian,Harry Browne,1
Rutland,,,President,,Republican,Steve Forbes,4
Buckland,,,President,,Libertarian,Blank Votes,0
Gloucester,,,President,,Libertarian,Total Votes Cast,9
Plympton,,,President,,Libertarian,Kip Lee,0
Eastham,,,President,,Libertarian,No Preference,1
Watertown,,,President,,Democratic,Al Gore,2545
Holland,,,President,,Republican,Blank Votes,0
Holbrook,,,President,,Republican,Blank Votes,5
Huntington,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Dighton,,,President,,Libertarian,Harry Browne,0
Ayer,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
Salisbury,,,President,,Libertarian,Kip Lee,0
Longmeadow,,,President,,Democratic,No Preference,22
Marblehead,,,President,,Libertarian,Kip Lee,0
Foxborough,,,President,,Republican,Steve Forbes,7
Williamstown,,,President,,Republican,Blank Votes,7
Fitchburg,,,President,,Republican,Blank Votes,9
Williamstown,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
Stoughton,,,President,,Republican,Orrin Hatch,2
Agawam,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Methuen,,,President,,Democratic,All Others,82
Westport,,,President,,Libertarian,No Preference,0
Revere,,,President,,Democratic,All Others,41
E. Bridgewater,,,President,,Libertarian,David Lynn Hollist,1
Bolton,,,President,,Republican,George W. Bush,212
Southampton,,,President,,Republican,George W. Bush,209
Eastham,,,President,,Republican,John McCain,621
Windsor,,,President,,Republican,George W. Bush,37
Norton,,,President,,Republican,George W. Bush,440
Windsor,,,President,,Democratic,All Others,1
Holyoke,,,President,,Libertarian,David Lynn Hollist,0
Haverhill,,,President,,Republican,Steve Forbes,15
Ludlow,,,President,,Democratic,Blank Votes,50
Brookline,,,President,,Republican,George W. Bush,785
Plainfield,,,President,,Republican,Gary Bauer,0
W. Tisbury,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Warren,,,President,,Libertarian,Larry Hines,0
New Bedford,,,President,,Libertarian,Kip Lee,0
Cambridge,,,President,,Republican,No Preference,3
Westfield,,,President,,Democratic,All Others,23
Reading,,,President,,Libertarian,L. Neil Smith,0
Tewksbury,,,President,,Libertarian,Total Votes Cast,12
Northborough,,,President,,Libertarian,David Lynn Hollist,0
Quincy,,,President,,Republican,Total Votes Cast,5898
W. Bridgewater,,,President,,Democratic,All Others,2
Halifax,,,President,,Republican,Alan Keyes,21
Medfield,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",2
Uxbridge,,,President,,Libertarian,Total Votes Cast,7
Holbrook,,,President,,Democratic,Total Votes Cast,1148
Sandwich,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Cummington,,,President,,Democratic,All Others,1
Harwich,,,President,,Libertarian,Larry Hines,0
Conway,,,President,,Democratic,Al Gore,114
Tyngsborough,,,President,,Democratic,Blank Votes,15
Oxford,,,President,,Libertarian,All Others,2
Lee,,,President,,Democratic,Total Votes Cast,357
Pelham,,,President,,Libertarian,L. Neil Smith,0
Seekonk,,,President,,Democratic,Bill Bradley,278
Tisbury,,,President,,Libertarian,Total Votes Cast,2
Gill,,,President,,Libertarian,Larry Hines,0
Amesbury,,,President,,Republican,Alan Keyes,47
Belchertown,,,President,,Democratic,Al Gore,440
Acushnet,,,President,,Democratic,All Others,8
Maynard,,,President,,Democratic,Al Gore,697
Carlisle,,,President,,Democratic,All Others,0
Hamilton,,,President,,Republican,Alan Keyes,46
Bedford,,,President,,Democratic,Bill Bradley,665
Berlin,,,President,,Democratic,Total Votes Cast,204
Plainfield,,,President,,Republican,No Preference,1
Alford,,,President,,Republican,Orrin Hatch,0
Stow,,,President,,Democratic,No Preference,6
Northborough,,,President,,Libertarian,Total Votes Cast,7
Buckland,,,President,,Republican,Total Votes Cast,190
Millis,,,President,,Republican,Alan Keyes,20
Boston,,,President,,Libertarian,Larry Hines,4
Attleboro,,,President,,Democratic,Total Votes Cast,2043
N. Attleborough,,,President,,Republican,George W. Bush,927
Southwick,,,President,,Democratic,Total Votes Cast,441
Melrose,,,President,,Democratic,Blank Votes,22
Lynnfield,,,President,,Republican,Total Votes Cast,2205
Longmeadow,,,President,,Libertarian,Blank Votes,0
Cohasset,,,President,,Republican,George W. Bush,402
