town,ward,precinct,office,district,party,candidate,votes
E. Bridgewater,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
W. Bridgewater,,,President,,Republican,Blank Votes,6
Mattapoisett,,,President,,Republican,John McCain,704
Avon,,,President,,Republican,George W. Bush,169
Goshen,,,President,,Libertarian,Total Votes Cast,2
Upton,,,President,,Republican,All Others,0
Foxborough,,,President,,Libertarian,Harry Browne,3
Monson,,,President,,Democratic,Al Gore,319
Agawam,,,President,,Republican,Total Votes Cast,1959
Walpole,,,President,,Democratic,Al Gore,1134
E. Brookfield,,,President,,Libertarian,All Others,1
Plymouth,,,President,,Democratic,Al Gore,1976
Oak Bluffs,,,President,,Democratic,All Others,3
New Ashford,,,President,,Republican,Steve Forbes,0
Sutton,,,President,,Republican,Alan Keyes,15
Oakham,,,President,,Libertarian,Total Votes Cast,1
Medway,,,President,,Democratic,No Preference,0
Lynnfield,,,President,,Democratic,Blank Votes,6
Plymouth,,,President,,Republican,Gary Bauer,9
Sturbridge,,,President,,Democratic,Bill Bradley,206
Richmond,,,President,,Republican,Gary Bauer,0
Wayland,,,President,,Libertarian,L. Neil Smith,0
New Ashford,,,President,,Republican,No Preference,0
Littleton,,,President,,Libertarian,Kip Lee,0
Mashpee,,,President,,Democratic,Total Votes Cast,966
Warren,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Hadley,,,President,,Democratic,All Others,6
Leominster,,,President,,Libertarian,Blank Votes,0
Gosnold,,,President,,Republican,No Preference,1
Swampscott,,,President,,Libertarian,Larry Hines,0
Berkley,,,President,,Democratic,Blank Votes,4
Wenham,,,President,,Libertarian,No Preference,1
Winthrop,,,President,,Republican,George W. Bush,425
Malden,,,President,,Republican,Alan Keyes,75
E. Bridgewater,,,President,,Democratic,Total Votes Cast,755
Medway,,,President,,Democratic,"Lyndon H. LaRouche, Jr.",5
Abington,,,President,,Libertarian,Harry Browne,4
Wenham,,,President,,Libertarian,Larry Hines,0
Westborough,,,President,,Democratic,All Others,8
Arlington,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Lancaster,,,President,,Republican,Alan Keyes,48
Reading,,,President,,Libertarian,Larry Hines,0
Marblehead,,,President,,Republican,No Preference,7
Paxton,,,President,,Republican,No Preference,1
Williamstown,,,President,,Libertarian,All Others,0
Merrimac,,,President,,Libertarian,All Others,0
Montague,,,President,,Democratic,Bill Bradley,261
Carver,,,President,,Libertarian,"Edison P. McDaniels, Sr.",0
Medfield,,,President,,Republican,Gary Bauer,1
Provincetown,,,President,,Republican,Blank Votes,1
Holbrook,,,President,,Republican,Total Votes Cast,1252
Southwick,,,President,,Republican,Blank Votes,5
