town,ward,precinct,office,district,party,candidate,votes
Barnstable,-,6,State Senate,Cape and Islands,Republican,All Others,0
Lynn,4,1,State Senate,3rd Essex and Middlesex,Democratic,All Others,0
Wilmington,-,2,U.S. House,6th,Republican,Total Votes Cast,38
Springfield,5,D,State Senate,1st Hampden and Hampshire,Republican,Brian P. Lees,14
Leominster,5,B,State House,4th Worcester,Democratic,Kathleen T. Perla,38
Salem,2,1,U.S. House,6th,Democratic,Total Votes Cast,429
Marshfield,-,4,U.S. House,10th,Democratic,Total Votes Cast,101
Arlington,-,7,State Senate,4th Middlesex,Republican,Blank Votes,2
Quincy,1,1,U.S. House,10th,Republican,Blank Votes,3
Auburn,-,3,U.S. House,3rd,Republican,All Others,1
Boston,21,8,State Senate,2nd Suffolk and Middlesex,Democratic,All Others,0
Plymouth,-,12,State House,1st Plymouth,Republican,Total Votes Cast,91
Everett,2,3,Governor's Council,6th,Democratic,Total Votes Cast,215
TOTALS,,,State House,4th Worcester,Democratic,Total Votes Cast,6071
Worcester,1,5,U.S. House,3rd,Republican,All Others,0
Boston,18,14,U.S. House,8th,Democratic,All Others,1
Medford,7,1,U.S. House,7th,Republican,All Others,0
Shutesbury,-,1,Governor's Council,8th,Democratic,Michael D. Bissonnette,3
Ashby,-,1,U.S. House,1st,Democratic,Total Votes Cast,139
Plymouth,-,13,Governor's Council,1st,Republican,Total Votes Cast,83
Dennis,-,2,U.S. House,10th,Democratic,All Others,0
Springfield,6,C,Governor's Council,8th,Democratic,Michael D. Bissonnette,35
Lincoln,-,3,U.S. House,7th,Republican,Kenneth G. Chase,2
Somerville,2,2,State House,26th Middlesex,Democratic,Avi E. Green,350
Groton,-,2,U.S. House,5th,Republican,Thomas P. Tierney,13
Orange,-,2,U.S. House,1st,Republican,Blank Votes,18
Attleboro,6,B,State Senate,Bristol and Norfolk,Republican,Total Votes Cast,35
Boston,18,9,State House,14th Suffolk,Democratic,Blank Votes,122
Weymouth,-,10,State House,4th Norfolk,Democratic,All Others,0
Chelmsford,-,8,State Senate,3rd Middlesex,Democratic,Blank Votes,35
Marshfield,-,6,U.S. House,10th,Republican,Blank Votes,17
Everett,2,3,U.S. House,7th,Republican,Total Votes Cast,5
Boston,4,1,State House,3rd Suffolk,Democratic,Salvatore F. DiMasi,174
Boston,1,13,State House,1st Suffolk,Democratic,Total Votes Cast,233
Boston,16,11,U.S. House,9th,Democratic,All Others,6
Boston,1,11,State Senate,1st Suffolk and Middlesex,Republican,Total Votes Cast,12
Richmond,-,1,State House,2nd Berkshire,Democratic,Blank Votes,53
Chelmsford,-,4,Governor's Council,3rd,Democratic,All Others,1
Taunton,8,B,U.S. House,4th,Democratic,All Others,0
Natick,-,4,State Senate,2nd Middlesex and Norfolk,Republican,All Others,0
Arlington,-,4,State Senate,4th Middlesex,Democratic,"Robert A. Havern, III",67
Lowell,10,2,State House,17th Middlesex,Republican,Clifford R. Krieger,1
Barnstable,-,1,State House,2nd Barnstable,Republican,Blank Votes,13
New Bedford,2,F,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,196
Springfield,3,C,Governor's Council,8th,Democratic,Blank Votes,4
Boston,1,15,Governor's Council,4th,Democratic,All Others,0
N. Andover,-,4,U.S. House,6th,Democratic,Blank Votes,5
Boston,4,3,Governor's Council,4th,Democratic,All Others,0
Plymouth,-,1,State Senate,Plymouth and Barnstable,Republican,All Others,0
Blandford,-,1,State House,4th Berkshire,Democratic,"William ""Smitty"" Pignatelli",30
Somerville,3,3,Governor's Council,6th,Democratic,Blank Votes,53
Dracut,-,8,Governor's Council,5th,Democratic,Total Votes Cast,440
Walpole,-,3,Governor's Council,2nd,Republican,Blank Votes,36
Norwood,-,5,Governor's Council,2nd,Democratic,Total Votes Cast,96
Westwood,-,1,Governor's Council,2nd,Republican,All Others,0
Attleboro,5,B,State Senate,Bristol and Norfolk,Democratic,All Others,0
Oxford,-,4,State Senate,Worcester and Norfolk,Democratic,Blank Votes,77
Foxborough,-,3,U.S. House,4th,Democratic,Total Votes Cast,75
Middleborough,-,4,State House,12th Bristol,Democratic,Mark A. Howland,31
Bolton,-,1,State Senate,Worcester and Middlesex,Green-Rainbow,Total Votes Cast,1
Braintree,-,7,State Senate,Norfolk and Plymouth,Democratic,All Others,0
Monson,-,B,State Senate,"Worcester, Hampden, Hampshire and Franklin",Libertarian,All Others,0
Leominster,5,A,State House,4th Worcester,Democratic,Total Votes Cast,393
Boston,20,13,Governor's Council,2nd,Republican,Michael W. McCue,0
Peabody,5,2,U.S. House,6th,Democratic,All Others,4
Boston,3,4,Governor's Council,6th,Democratic,Blank Votes,110
Gardner,1,A,Governor's Council,7th,Democratic,All Others,0
Dennis,-,4,State Senate,Cape and Islands,Democratic,Total Votes Cast,150
Whitman,-,1,State Senate,2nd Plymouth and Bristol,Republican,Lawrence P. Novak,71
N. Andover,-,3,U.S. House,6th,Republican,Blank Votes,3
Acton,-,6,U.S. House,5th,Democratic,Total Votes Cast,110
Beverly,5,1,U.S. House,6th,Republican,Blank Votes,5
Mansfield,-,6,State Senate,Bristol and Norfolk,Republican,All Others,0
Cambridge,6,1,State House,26th Middlesex,Republican,Blank Votes,1
Worcester,4,1,State Senate,1st Worcester,Republican,Blank Votes,2
New Bedford,3,C,Governor's Council,1st,Democratic,Blank Votes,57
Swampscott,-,1,Governor's Council,5th,Democratic,Total Votes Cast,371
Weymouth,-,2,Governor's Council,4th,Democratic,Total Votes Cast,147
Upton,-,1,Governor's Council,7th,Democratic,William A. Trotta,49
Leverett,-,1,State House,1st Franklin,Republican,Blank Votes,0
Springfield,5,B,Governor's Council,8th,Democratic,Total Votes Cast,58
Ipswich,-,3,State House,4th Essex,Republican,Bradford R. Hill,69
Brookline,-,13,State Senate,1st Middlesex and Norfolk,Republican,Total Votes Cast,5
Arlington,-,15,U.S. House,7th,Republican,Blank Votes,7
Worcester,7,3,U.S. House,3rd,Democratic,Blank Votes,35
Salem,6,2,U.S. House,6th,Democratic,John F. Tierney,409
Swansea,-,2,State House,5th Bristol,Democratic,All Others,0
Boston,19,11,State Senate,Suffolk and Norfolk,Democratic,Blank Votes,38
Hopkinton,-,4,State House,8th Middlesex,Republican,Total Votes Cast,39
Framingham,-,14,State Senate,2nd Middlesex and Norfolk,Republican,Blank Votes,3
Revere,2,1,State Senate,1st Suffolk and Middlesex,Republican,Gilbert R. Lavoie,10
Ashby,-,1,U.S. House,1st,Democratic,All Others,0
Wrentham,-,2,State Senate,"Norfolk, Bristol and Middlesex",Democratic,All Others,0
Waltham,8,2,State House,10th Middlesex,Democratic,Blank Votes,8
Springfield,8,F,Governor's Council,8th,Democratic,Peter Vickery,9
Pepperell,-,1,State House,1st Middlesex,Republican,Robert S. Hargraves,46
Barnstable,-,6,Governor's Council,1st,Republican,Arthur C. Larrivee,0
Framingham,-,2,State House,6th Middlesex,Democratic,All Others,5
Saugus,-,4,State House,9th Essex,Republican,All Others,4
Boston,21,11,State Senate,2nd Suffolk and Middlesex,Republican,Total Votes Cast,2
Lee,-,6,State House,4th Berkshire,Democratic,All Others,0
N. Attleborough,-,2,State House,14th Bristol,Republican,Elizabeth A. Poirier,92
Westwood,-,3,U.S. House,9th,Democratic,All Others,0
Franklin,-,1,State House,10th Norfolk,,All Others,0
Lawrence,F,1,State House,14th Essex,Republican,Ellen E. Johnson,26
Springfield,4,A,State Senate,Hampden,Democratic,Total Votes Cast,78
Fall River,8,D,Governor's Council,1st,Democratic,Carole A. Fiola,126
Needham,-,B,State Senate,"Norfolk, Bristol and Middlesex",Special Republican,Blank Votes,2
Reading,-,6,State House,20th Middlesex,Republican,Blank Votes,6
Chicopee,3,C,U.S. House,2nd,Democratic,Total Votes Cast,56
N. Attleborough,-,3,U.S. House,3rd,Democratic,Total Votes Cast,75
Newton,8,3,Governor's Council,3rd,Democratic,All Others,0
Fall River,1,A,U.S. House,3rd,Democratic,Blank Votes,55
Acton,-,5,State House,37th Middlesex,Republican,Thomas J. Dyer,71
Winchester,-,1,U.S. House,7th,Republican,Blank Votes,3
Abington,-,3,State House,7th Plymouth,Republican,Joshua Hyre,19
Millbury,-,4,State House,7th Worcester,Republican,All Others,0
Franklin,-,4,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Patricia B. Ross,5
Wilmington,-,5,Governor's Council,5th,Democratic,Total Votes Cast,206
Marshfield,-,3,U.S. House,10th,Republican,All Others,1
Marlborough,4,1,U.S. House,3rd,Democratic,All Others,0
Worcester,7,1,U.S. House,3rd,Democratic,Blank Votes,78
Taunton,2,A,State House,3rd Bristol,Democratic,Blank Votes,24
Lynn,3,4,Governor's Council,5th,Democratic,Blank Votes,63
Lynn,5,3,State House,10th Essex,Democratic,Blank Votes,1
Goshen,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,All Others,0
Wayland,-,3,Governor's Council,2nd,Republican,Total Votes Cast,66
Leominster,5,C,State Senate,Worcester and Middlesex,Green-Rainbow,Total Votes Cast,0
Boston,12,5,State Senate,2nd Suffolk,Democratic,Dianne Wilkerson,146
Stoneham,-,6,State Senate,Middlesex and Essex,Republican,Blank Votes,2
Marblehead,-,5,State House,8th Essex,Democratic,Blank Votes,1
Arlington,-,2,State House,24th Middlesex,Republican,Total Votes Cast,17
Newton,7,4,State Senate,1st Middlesex and Norfolk,Republican,Matthew J. Fraser,2
Belmont,-,8,State House,24th Middlesex,Democratic,Anne M. Paulsen,116
Haverhill,4,3,U.S. House,5th,Republican,Ilana Freedman,7
Duxbury,-,6,State Senate,Plymouth and Norfolk,Republican,All Others,0
Wrentham,-,2,State House,9th Norfolk,Democratic,"George R. Smith, Jr.",100
Quincy,5,4,U.S. House,10th,Republican,Total Votes Cast,42
New Bedford,6,A,Governor's Council,1st,Democratic,Blank Votes,45
Holyoke,6,A,U.S. House,1st,Republican,Steven E. Adam,0
Quincy,6,2,State House,1st Norfolk,Democratic,Total Votes Cast,227
Reading,-,2,Governor's Council,6th,Democratic,Michael J. Callahan,132
New Bedford,4,A,State House,13th Bristol,Democratic,Antonio F.D. Cabral,84
Westwood,-,1,State House,11th Norfolk,Democratic,Blank Votes,21
Saugus,-,5,State House,9th Essex,Democratic,Mark V. Falzone,236
Stoughton,-,6,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Blank Votes,35
Lynn,2,2,Governor's Council,5th,Democratic,Total Votes Cast,46
Lawrence,F,2,State Senate,2nd Essex and Middlesex,Republican,All Others,0
Gardner,2,B,U.S. House,1st,Republican,Total Votes Cast,17
Braintree,-,6,State House,5th Norfolk,Republican,All Others,0
Foxborough,-,1,Governor's Council,2nd,Republican,All Others,0
Easton,-,1,State Senate,2nd Plymouth and Bristol,Republican,All Others,0
Lowell,3,1,State Senate,1st Middlesex,Republican,Brooks T. Lyman,6
Dracut,-,2,U.S. House,5th,Republican,Blank Votes,1
Westborough,-,4,State Senate,Middlesex and Worcester,Democratic,Total Votes Cast,231
Topsfield,-,1,U.S. House,6th,Republican,Blank Votes,12
Barnstable,-,5,U.S. House,10th,Republican,Michael J. Jones,106
Amesbury,-,1,U.S. House,6th,Republican,Blank Votes,11
Holyoke,2,A,Governor's Council,8th,Democratic,Michael D. Bissonnette,11
Lenox,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Total Votes Cast,635
Lincoln,-,3,State Senate,3rd Middlesex,Republican,Blank Votes,0
Needham,-,B,State Senate,"Norfolk, Bristol and Middlesex",Special Democratic,James F. Klocke,23
Eastham,-,1,Governor's Council,1st,Republican,All Others,0
Barnstable,-,3,State Senate,Cape and Islands,Democratic,Blank Votes,10
Springfield,6,H,State Senate,Hampden,Democratic,All Others,1
Arlington,-,6,State Senate,4th Middlesex,Republican,All Others,0
Brockton,2,D,State Senate,2nd Plymouth and Bristol,Republican,Blank Votes,2
Shirley,-,1,U.S. House,5th,Democratic,All Others,0
Boston,16,4,Governor's Council,4th,Republican,All Others,0
Worcester,5,3,U.S. House,3rd,Democratic,Blank Votes,103
Shrewsbury,-,8,Governor's Council,7th,Democratic,Kathleen C. Norbut,67
Springfield,2,D,U.S. House,2nd,Democratic,Richard E. Neal,241
Boston,17,11,Governor's Council,4th,Democratic,Total Votes Cast,77
Watertown,-,10,U.S. House,7th,Democratic,Total Votes Cast,94
Fall River,1,A,State Senate,1st Bristol and Plymouth,,All Others,0
Boston,11,10,State Senate,2nd Suffolk,Democratic,All Others,0
Brookline,-,11,Governor's Council,3rd,Democratic,Blank Votes,32
Charlton,-,2,State House,6th Worcester,Republican,Blank Votes,7
Lowell,4,2,State House,17th Middlesex,Democratic,Total Votes Cast,66
Sandwich,-,7,State House,5th Barnstable,Democratic,All Others,0
Arlington,-,8,State House,23rd Middlesex,Republican,Eric R. Steinhilber,4
Springfield,3,G,State Senate,Hampden,Republican,Total Votes Cast,1
Wrentham,-,2,State Senate,"Norfolk, Bristol and Middlesex",Special Democratic,Richard W. Gatto,8
Holliston,-,1,U.S. House,3rd,Republican,Total Votes Cast,51
Nantucket,-,1,State House,"Barnstable, Dukes and Nantucket",Democratic,Total Votes Cast,1079
Boston,4,5,Governor's Council,4th,Democratic,Blank Votes,34
Melrose,7,1,State House,32nd Middlesex,Democratic,Michael E. Festa,54
W. Springfield,-,8,State House,6th Hampden,Democratic,Total Votes Cast,57
Falmouth,-,1,State Senate,Plymouth and Barnstable,Republican,Timothy E. Duncan,67
N. Attleborough,-,4,State House,14th Bristol,Democratic,All Others,0
Seekonk,-,1,U.S. House,3rd,Democratic,All Others,1
Southbridge,-,4,State House,6th Worcester,Republican,David M. Singer,25
Leicester,-,2,State Senate,2nd Worcester,Democratic,Blank Votes,89
Lexington,-,9,State Senate,3rd Middlesex,Republican,Total Votes Cast,52
Sandwich,-,2,State House,5th Barnstable,Republican,All Others,0
Everett,3,3,State House,28th Middlesex,Democratic,All Others,1
Lowell,9,2,State House,16th Middlesex,Democratic,Blank Votes,8
Wenham,-,1,Governor's Council,5th,Democratic,Total Votes Cast,42
Peabody,6,2,State House,13th Essex,Republican,Judith F. Judson,45
Peabody,2,3,State House,12th Essex,Republican,Total Votes Cast,27
Fairhaven,-,5,State Senate,2nd Bristol and Plymouth,Democratic,All Others,1
Freetown,-,1,State Senate,1st Bristol and Plymouth,Democratic,All Others,2
Springfield,8,A,Governor's Council,8th,Democratic,Timothy J. Rooke,85
Rutland,-,1,U.S. House,3rd,Democratic,James P. McGovern,260
Boston,16,7,State Senate,1st Suffolk,Democratic,Blank Votes,52
Framingham,-,8,State House,7th Middlesex,Republican,Blank Votes,6
Springfield,4,C,State Senate,Hampden,Democratic,Total Votes Cast,53
Burlington,-,2,U.S. House,6th,Republican,"Stephen P. O'Malley, Jr.",24
Worcester,5,5,U.S. House,3rd,Republican,Total Votes Cast,36
N. Attleborough,-,6,State House,14th Bristol,Democratic,All Others,0
Danvers,-,7,U.S. House,6th,Republican,Blank Votes,7
Springfield,1,C,State Senate,Hampden,Republican,All Others,0
Tyngsborough,-,3,State Senate,1st Middlesex,Republican,Total Votes Cast,40
Woburn,7,1,State Senate,4th Middlesex,Republican,Total Votes Cast,24
Warren,-,A,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Blank Votes,16
Boston,5,7,State Senate,2nd Suffolk,Democratic,All Others,2
Great Barrington,-,A,Governor's Council,8th,Democratic,Total Votes Cast,117
Boston,4,4,State House,9th Suffolk,Democratic,Total Votes Cast,268
Rutland,-,2,U.S. House,3rd,Democratic,All Others,2
Medway,-,1,Governor's Council,2nd,Democratic,All Others,1
Framingham,-,2,State Senate,2nd Middlesex and Norfolk,Republican,Total Votes Cast,65
Saugus,-,5,Governor's Council,5th,Democratic,Mary-Ellen Manning,310
Bourne,-,2,U.S. House,10th,Republican,Michael J. Jones,57
Methuen,-,1,Governor's Council,5th,Democratic,All Others,0
Worcester,3,3,Governor's Council,7th,Democratic,Total Votes Cast,217
Sunderland,-,1,State House,1st Franklin,Democratic,Stephen Kulik,108
Somerville,5,2,State Senate,2nd Middlesex,Democratic,All Others,4
Canton,-,1,U.S. House,9th,Democratic,Stephen F. Lynch,198
Townsend,-,3,U.S. House,1st,Democratic,All Others,0
Boston,15,1,Governor's Council,4th,Republican,Blank Votes,0
Sunderland,-,1,State Senate,Hampshire and Franklin,Democratic,All Others,0
Quincy,2,3,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,15
Mount Washington,-,1,State Senate,"Berkshire, Hampshire and Franklin",Republican,Total Votes Cast,2
Everett,1,3,Governor's Council,6th,Democratic,Total Votes Cast,258
Lowell,8,1,State Senate,1st Middlesex,Democratic,Total Votes Cast,82
Quincy,1,5,Governor's Council,4th,Democratic,Blank Votes,45
Chicopee,9,B,State House,8th Hampden,Democratic,All Others,2
Quincy,2,4,Governor's Council,4th,Republican,Donald A. Hussey,16
Princeton,-,1,U.S. House,3rd,Republican,Ronald A. Crews,55
Middleborough,-,3,State House,10th Bristol,Republican,Total Votes Cast,66
Falmouth,-,2,State Senate,Plymouth and Barnstable,Democratic,Blank Votes,8
Randolph,-,4,State House,7th Norfolk,Democratic,Total Votes Cast,213
Boston,3,2,State Senate,1st Suffolk and Middlesex,Democratic,Robert E. Travaglini,110
Greenfield,-,3,Governor's Council,8th,Democratic,Blank Votes,8
Dartmouth,-,3,Governor's Council,1st,Republican,Blank Votes,9
Middleborough,-,6,U.S. House,4th,Democratic,Blank Votes,10
Brookline,-,6,Governor's Council,3rd,Democratic,Total Votes Cast,89
Boxford,-,2,State Senate,1st Essex and Middlesex,Democratic,Paul M. McGeary,34
Springfield,4,H,State Senate,Hampden,Republican,Blank Votes,0
Boston,16,12,U.S. House,9th,Democratic,Stephen F. Lynch,438
Reading,-,5,State Senate,Middlesex and Essex,Democratic,Blank Votes,34
Fitchburg,5,B,State Senate,Worcester and Middlesex,Republican,All Others,0
TOTALS,,,State House,5th Barnstable,Republican,Jeffrey Davis Perry,1051
Pittsfield,3,B,State House,3rd Berkshire,Democratic,Peter J. Larkin,463
New Bedford,4,C,Governor's Council,1st,Republican,All Others,2
Marlborough,4,2,State House,4th Middlesex,Democratic,Blank Votes,6
Boston,21,5,Governor's Council,3rd,Democratic,Blank Votes,15
Quincy,1,1,State House,2nd Norfolk,,All Others,2
Boston,18,8,Governor's Council,2nd,Democratic,Blank Votes,142
TOTALS,,,State House,6th Middlesex,Republican,Total Votes Cast,503
Newton,7,3,State Senate,1st Middlesex and Norfolk,Democratic,Total Votes Cast,35
Marblehead,-,7,State House,8th Essex,Democratic,Blank Votes,1
Monson,-,C,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Stephen M. Brewer,102
