town,ward,precinct,office,district,party,candidate,votes
Needham,-,B,State Senate,"Norfolk, Bristol and Middlesex",Republican,All Others,0
Chelsea,4,4,State House,2nd Suffolk,Democratic,All Others,0
Swansea,-,5,Governor's Council,1st,Democratic,All Others,0
Amherst,-,6,State Senate,Hampshire and Franklin,Democratic,Stanley C. Rosenberg,217
Fairhaven,-,1,Governor's Council,1st,Republican,Blank Votes,72
New Bedford,6,G,State Senate,2nd Bristol and Plymouth,Democratic,Blank Votes,23
Worcester,5,5,U.S. House,3rd,Democratic,Blank Votes,158
Waltham,4,2,State House,9th Middlesex,Republican,All Others,0
Northborough,-,3,U.S. House,3rd,Democratic,Total Votes Cast,212
Malden,3,1,State Senate,Middlesex and Essex,Republican,Richard R. Tisei,20
Fairhaven,-,2,State House,10th Bristol,Republican,All Others,0
Attleboro,2,A,State House,2nd Bristol,Republican,Blank Votes,2
Somerset,-,3,Governor's Council,1st,Republican,Total Votes Cast,27
Tewksbury,-,1A,U.S. House,5th,Democratic,Martin T. Meehan,132
Brockton,5,D,State House,10th Plymouth,Democratic,Christine E. Canavan,175
Leominster,3,B,Governor's Council,7th,Democratic,All Others,0
Lowell,1,1,U.S. House,5th,Democratic,Blank Votes,26
Taunton,1,B,State House,3rd Bristol,Democratic,Blank Votes,18
Haverhill,6,1,U.S. House,5th,Republican,Ilana Freedman,3
Woburn,7,2,U.S. House,7th,Republican,Kenneth G. Chase,32
Lynn,5,2,State House,11th Essex,Democratic,Blank Votes,1
Mount Washington,-,1,U.S. House,1st,Democratic,John W. Olver,22
Springfield,8,B,State Senate,1st Hampden and Hampshire,Republican,Blank Votes,0
Belchertown,-,D,Governor's Council,8th,Democratic,All Others,0
Palmer,-,2,U.S. House,2nd,Democratic,Total Votes Cast,205
Gardner,3,A,State Senate,Worcester and Middlesex,Green-Rainbow,Richard R. Zitola,0
Groveland,-,1,State Senate,1st Essex and Middlesex,Democratic,Paul M. McGeary,54
Raynham,-,3,State Senate,1st Plymouth and Bristol,Republican,Blank Votes,13
Lynn,2,2,U.S. House,6th,Republican,Total Votes Cast,3
Weymouth,-,16,U.S. House,10th,Democratic,Total Votes Cast,153
Leominster,1,C,State Senate,Worcester and Middlesex,Republican,Total Votes Cast,72
Leominster,4,B,State Senate,Worcester and Middlesex,Green-Rainbow,Richard R. Zitola,0
TOTALS,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Libertarian,Total Votes Cast,37
Natick,-,9,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Patricia B. Ross,18
TOTALS,,,State Senate,2nd Essex and Middlesex,Republican,All Others,6
Ashland,-,4,U.S. House,3rd,Democratic,Blank Votes,85
Holyoke,6,B,U.S. House,1st,Democratic,John W. Olver,97
Weymouth,-,10,State Senate,Plymouth and Norfolk,Republican,"Robert L. Hedlund, Jr.",34
Wayland,-,2,State Senate,"Norfolk, Bristol and Middlesex",Special Republican,Earl Henry Sholley,4
Danvers,-,5,U.S. House,6th,Republican,Blank Votes,10
Bridgewater,-,4,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,22
Boston,11,4,U.S. House,8th,Democratic,Michael E. Capuano,163
Westfield,2,B,Governor's Council,8th,Democratic,Peter Vickery,8
Lowell,3,3,U.S. House,5th,Democratic,Total Votes Cast,84
Worcester,8,5,State Senate,2nd Worcester,Republican,All Others,1
Weymouth,-,1,Governor's Council,4th,Republican,All Others,0
Agawam,-,4,Governor's Council,8th,Democratic,All Others,0
Salisbury,-,1,State House,1st Essex,Republican,Erford C. Fowler,62
Williamstown,-,3,U.S. House,1st,Democratic,All Others,2
Rockland,-,4,State House,5th Plymouth,Democratic,Blank Votes,6
Holyoke,1,B,State House,5th Hampden,Democratic,All Others,0
Saugus,-,9,State House,9th Essex,Democratic,All Others,0
Adams,-,4,State House,1st Berkshire,Democratic,Total Votes Cast,311
Newton,3,4,U.S. House,4th,Democratic,Barney Frank,82
Plymouth,-,8,State Senate,Plymouth and Barnstable,Democratic,All Others,0
Lowell,9,2,Governor's Council,3rd,Democratic,All Others,0
Boston,16,10,State Senate,1st Suffolk,Democratic,Jack Hart,189
Boston,16,7,State Senate,1st Suffolk,Democratic,All Others,4
Needham,-,A,State Senate,"Norfolk, Bristol and Middlesex",Special Democratic,Daniel P. Matthews,77
Dedham,-,1,U.S. House,9th,Democratic,Total Votes Cast,168
Mount Washington,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Blank Votes,3
Braintree,-,6,State Senate,Norfolk and Plymouth,Democratic,All Others,0
Sudbury,-,2,U.S. House,5th,Republican,Ilana Freedman,13
Shrewsbury,-,7,Governor's Council,7th,Democratic,Blank Votes,54
Sandwich,-,7,State House,5th Barnstable,Republican,All Others,0
Watertown,-,1,Governor's Council,3rd,Democratic,Blank Votes,11
Boston,18,14,Governor's Council,2nd,Democratic,Total Votes Cast,95
Boston,12,1,U.S. House,8th,Democratic,Michael E. Capuano,149
TOTALS,,,State House,11th Suffolk,Green-Rainbow,David Ebony-Allen Barkley,104
Orleans,-,1,U.S. House,10th,Democratic,William D. Delahunt,220
Boston,9,5,State Senate,2nd Suffolk,Democratic,Total Votes Cast,317
TOTALS,,,State House,26th Middlesex,Republican,Blank Votes,42
Worcester,1,1,Governor's Council,7th,Democratic,William A. Trotta,117
Quincy,3,1,U.S. House,10th,Republican,Total Votes Cast,25
Brockton,4,C,Governor's Council,4th,Republican,All Others,0
Boston,6,1,U.S. House,9th,Democratic,Stephen F. Lynch,161
Framingham,-,14,Governor's Council,2nd,Democratic,Total Votes Cast,166
Montague,-,5,State House,1st Franklin,Republican,All Others,0
Tyngsborough,-,4,State House,36th Middlesex,Democratic,Colleen M. Garry,106
Duxbury,-,4,U.S. House,10th,Republican,Total Votes Cast,42
Merrimac,-,1,U.S. House,6th,Democratic,John F. Tierney,48
Wareham,-,2,State Senate,1st Plymouth and Bristol,Republican,All Others,1
Hancock,-,1,Governor's Council,8th,Democratic,Peter Vickery,18
Chicopee,2,CN,Governor's Council,8th,Democratic,Total Votes Cast,35
Pittsfield,7,A,State Senate,"Berkshire, Hampshire and Franklin",Republican,Blank Votes,4
Haverhill,7,1,U.S. House,5th,Republican,Thomas P. Tierney,28
Boston,19,6,Governor's Council,4th,Republican,Total Votes Cast,4
Springfield,5,H,Governor's Council,8th,Democratic,Timothy J. Rooke,185
Fitchburg,1,A,Governor's Council,7th,Democratic,Blank Votes,75
Webster,-,1,State House,8th Worcester,Democratic,All Others,20
Everett,6,3,U.S. House,7th,Democratic,All Others,2
Springfield,5,B,State Senate,Hampden,Democratic,Blank Votes,13
Haverhill,2,1,State House,18th Essex,Democratic,Blank Votes,6
Bridgewater,-,6,State Senate,1st Plymouth and Bristol,Republican,All Others,0
Taunton,8,A,Governor's Council,1st,Democratic,Blank Votes,34
Haverhill,4,1,Governor's Council,5th,Democratic,Total Votes Cast,54
Marlborough,3,1,State House,4th Middlesex,Democratic,Stephen P. LeDuc,66
Sudbury,-,4,U.S. House,5th,Democratic,Total Votes Cast,186
Lynnfield,-,4,State Senate,Middlesex and Essex,Republican,All Others,0
Worcester,2,5,U.S. House,3rd,Democratic,Blank Votes,4
Woburn,4,1,U.S. House,7th,Democratic,Total Votes Cast,408
Natick,-,3,Governor's Council,2nd,Republican,Michael W. McCue,0
Essex,-,1,Governor's Council,5th,Democratic,Total Votes Cast,38
Amherst,-,6,U.S. House,1st,Republican,Blank Votes,7
Gill,-,1,State House,2nd Franklin,Democratic,Total Votes Cast,88
Boston,18,13,Governor's Council,2nd,Democratic,All Others,0
Boston,19,10,State House,14th Suffolk,Republican,All Others,0
Norton,-,1,U.S. House,4th,Democratic,Total Votes Cast,45
Brockton,7,B,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",86
Norfolk,-,3,Governor's Council,2nd,Republican,All Others,12
Lawrence,E,3,Governor's Council,5th,Democratic,All Others,0
Pelham,-,1,Governor's Council,8th,Democratic,Timothy J. Rooke,1
Attleboro,1,B,U.S. House,3rd,Democratic,Blank Votes,8
Abington,-,4,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,37
Bridgewater,-,3,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,102
Methuen,-,7,State House,18th Essex,Republican,Total Votes Cast,16
Boston,19,6,U.S. House,8th,Democratic,Michael E. Capuano,294
Somerset,-,3,Governor's Council,1st,Republican,Blank Votes,27
Norfolk,-,1,State Senate,"Norfolk, Bristol and Middlesex",Libertarian,Blank Votes,2
Boxford,-,1,State Senate,1st Essex and Middlesex,Democratic,Paul M. McGeary,10
Sutton,-,2,U.S. House,2nd,Democratic,Blank Votes,81
Saugus,-,3,State Senate,3rd Essex and Middlesex,Democratic,Thomas M. McGee,131
Mashpee,-,5,U.S. House,10th,Republican,Michael J. Jones,85
Holliston,-,4,Governor's Council,2nd,Democratic,Kelly A. Timilty,161
New Bedford,6,G,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,93
Plainville,-,1,Governor's Council,2nd,Democratic,Total Votes Cast,115
Brewster,-,3,U.S. House,10th,Republican,Total Votes Cast,165
Easton,-,2,U.S. House,9th,Democratic,All Others,1
