town,ward,precinct,office,district,party,candidate,votes
Chicopee,3,B,President,,,Blanks,5
Boston,21,2,President,,,Blanks,3
Boston,22,7,U.S. Senate,,,All Others,2
Wareham,-,1,U.S. Senate,,,Blanks,33
Fall River,1,A,U.S. Senate,,Democratic,Edward J. Markey,836
Pittsfield,4,A,U.S. Senate,,,All Others,1
Palmer,-,3,Governor's Council, 7th,,All Others,12
Billerica,-,3,U.S. Senate,,,Blanks,50
Longmeadow,-,B,U.S. House,1st,,All Others,66
Quincy,6,5,U.S. House,8th,,Total Votes Cast,2142
Concord,-,5,State Senate,3rd Middlesex,Democratic,Michael J. Barrett,1403
Ludlow,-,6,State House,7th Hampden,,Total Votes Cast,2291
Billerica,-,3,State House,22nd Middlesex,,Total Votes Cast,2270
Northampton,3,B,Governor's Council, 8th,,Total Votes Cast,1335
Windsor,-,1,U.S. Senate,,,Blanks,27
W. Springfield,-,8,U.S. Senate,,Republican,Kevin J. O'Connor,603
Blackstone,-,3,Governor's Council, 7th,Democratic,Paul M. Depalo,1099
Fairhaven,-,1,U.S. House,9th,Republican,Helen Brady,506
Wareham,-,2,President,,,Blanks,11
Swampscott,-,2,Governor's Council, 6th,,Total Votes Cast,1737
Shirley,-,1,State Senate,Middlesex and Worcester,Democratic,James B. Eldridge,2547
Brockton,5,D,President,,Republican,Donald J. Trump,435
Belmont,-,7,U.S. Senate,, (Write-In),Shiva Ayyadurai,1
Westfield,6,A,State Senate,2nd Hampden and Hampshire,,Blanks,1
Newton,2,4,President,,Democratic,"Joseph R. Biden, Jr.",1550
Haverhill,5,3,State House,3rd Essex,Democratic,Andres X. Vargas,1285
W. Brookfield,-,1,Governor's Council, 7th,Democratic,Paul M. Depalo,1548
Framingham,-,15,U.S. House,5th,Democratic,Katherine M. Clark,919
Springfield,4,H,U.S. House,1st,,All Others,4
Barnstable,-,10,State Senate,Cape and Islands,,Blanks,703
Lynnfield,-,1,U.S. Senate,, (Write-In),Shiva Ayyadurai,21
N. Andover,-,5,Governor's Council, 5th,Democratic,Eileen R. Duff,1109
Southbridge,-,2,State Senate,Worcester and Norfolk,,All Others,2
Holyoke,3,A,President,,,Total Votes Cast,1240
Melrose,4,2,President,,Libertarian,Jo Jorgensen,14
Waltham,6,1,Governor's Council, 3rd,Democratic,Marilyn Petitto Devaney,1228
Boston,8,2,President,,Republican,Donald J. Trump,148
Chelmsford,-,5,U.S. House,3rd,,Total Votes Cast,2523
Malden,1,1,U.S. House,5th,,Blanks,75
Colrain,-,1,President,,Republican,Donald J. Trump,306
Revere,2,3A,U.S. Senate,,Republican,Kevin J. O'Connor,38
Beverly,5,1,State Senate,2nd Essex,,All Others,3
Boston,7,1,Governor's Council, 4th,,Total Votes Cast,1144
Taunton,5,A,U.S. Senate,,Republican,Kevin J. O'Connor,488
Medford,1,2,Governor's Council, 6th,,Blanks,415
Framingham,-,15,U.S. Senate,,,All Others,2
Boston,2,5,U.S. Senate,,Republican,Kevin J. O'Connor,353
Pittsfield,5,B,Governor's Council, 8th,,All Others,10
Sudbury,-,4,U.S. House,5th,,All Others,2
Dedham,-,1,State Senate,Norfolk and Suffolk,,Total Votes Cast,2320
Framingham,-,14,President,,Green-Rainbow,Howard Hawkins,10
Bernardston,-,1,President,,Democratic,"Joseph R. Biden, Jr.",916
Bourne,-,3,State Senate,Plymouth and Barnstable,,All Others,0
Worcester,8,5,State Senate,2nd Worcester,,Total Votes Cast,1027
N. Brookfield,-,1,State House,5th Worcester,,Blanks,62
Williamstown,-,3,State Senate,"Berkshire, Hampshire, Franklin & Hampden",,Total Votes Cast,1584
Gill,-,1,State House,2nd Franklin,,All Others,3
Middlefield,-,1,President,,Libertarian,Jo Jorgensen,9
Boston,12,8,State House,7th Suffolk,Democratic,Chynah Tyler,467
Holyoke,6,B,U.S. House,1st,,Total Votes Cast,1371
Dartmouth,-,9,President,,Libertarian,Jo Jorgensen,29
Holyoke,3,B,Governor's Council, 8th,Democratic,Mary E. Hurley,1109
Oakham,-,1,President,,,No Preference,0
Sudbury,-,1,U.S. House,3rd,,Blanks,423
Boston,9,3,President,,,Total Votes Cast,1964
Westport,-,D,President,,,All Others,2
Westford,-,4,U.S. Senate,,,All Others,20
Boston,18,21,State House,12th Suffolk,,Total Votes Cast,1390
Norwood,-,7,U.S. House,8th,,All Others,8
Hingham,-,1,President,,Libertarian,Jo Jorgensen,32
Chelmsford,-,1,State Senate,3rd Middlesex,Democratic,Michael J. Barrett,1715
Newton,3,4,U.S. Senate,,Republican,Kevin J. O'Connor,395
Westfield,3,B,Governor's Council, 8th,,Total Votes Cast,1730
Great Barrington,-,D,President,,,Blanks,9
Fitchburg,5,B,President,,Republican,Donald J. Trump,285
Boston,11,4,U.S. House,7th,Unenrolled,"Roy A. Owens, Sr",71
Pembroke,-,5,State Senate,Plymouth and Barnstable,,Total Votes Cast,201
Hampden,-,1,U.S. House,1st,,Total Votes Cast,3375
Plymouth,-,14,State Senate,Plymouth and Barnstable,,All Others,0
Hanover,-,2,State House,5th Plymouth,,Blanks,75
Whitman,-,2,Governor's Council, 4th,,Blanks,623
Longmeadow,-,D,President,,,Total Votes Cast,2026
Newton,8,1,President,,Libertarian,Jo Jorgensen,26
Pembroke,-,1,U.S. House,9th,Unenrolled,Michael Manley,46
Lawrence,A,3,Governor's Council, 5th,Democratic,Eileen R. Duff,780
Dracut,-,4,President,,,No Preference,0
Westfield,4,A,President,,Republican,Donald J. Trump,338
Acton,-,5,U.S. House,3rd,,Blanks,391
Boston,1,15,U.S. Senate,,Democratic,Edward J. Markey,1
Ashland,-,2,U.S. House,5th,Democratic,Katherine M. Clark,1452
Lowell,9,1,U.S. House,3rd,,Total Votes Cast,1131
Revere,5,2A,U.S. House,5th,,Blanks,56
Boston,6,9,U.S. House,8th,Democratic,Stephen F. Lynch,965
Springfield,7,C,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,1036
Webster,-,2,U.S. House,2nd,,Total Votes Cast,1114
Chelsea,4,4,U.S. House,7th,,All Others,0
Burlington,-,4,President,,,Blanks,12
Boston,14,6,U.S. House,7th,,Blanks,36
Norwood,-,2,U.S. Senate,,,All Others,1
Franklin,-,4,President,,,Blanks,42
Lowell,5,3,U.S. Senate,, (Write-In),Shiva Ayyadurai,9
Wakefield,-,4,U.S. Senate,,,All Others,8
Newburyport,1,1,State Senate,1st Essex,,Blanks,406
Boston,14,14,President,,Green-Rainbow,Howard Hawkins,1
Lowell,3,1,Governor's Council, 5th,Democratic,Eileen R. Duff,766
Weymouth,-,7,U.S. Senate,,,Total Votes Cast,1736
Natick,-,1,U.S. House,5th,,Blanks,52
Richmond,-,1,President,,,Total Votes Cast,1064
Tyngsborough,-,1,Governor's Council, 5th,,All Others,0
Somerville,4,2,U.S. House,7th,Unenrolled,"Roy A. Owens, Sr",197
Springfield,4,G,State House,11th Hampden,Democratic,Bud L. Williams,619
Concord,-,5,State House,14th Middlesex,,Blanks,357
Amherst,-,5,State Senate,"Hampshire, Franklin and Worcester",,Total Votes Cast,1149
Boston,19,5,President,,,Total Votes Cast,1104
Saugus,-,1,State Senate,3rd Essex,,All Others,8
Revere,4,3,U.S. Senate,,Republican,Kevin J. O'Connor,360
W. Bridgewater,-,1,President,,Democratic,"Joseph R. Biden, Jr.",1156
Boston,18,2,President,,,All Others,2
Concord,-,5,U.S. House,3rd,,Total Votes Cast,1757
Scituate,-,2,State Senate,Plymouth and Norfolk,Democratic,Meg Wheeler,1002
Sudbury,-,4,U.S. House,5th,,Total Votes Cast,2571
Winchester,-,8,State House,31st Middlesex,,All Others,3
Woburn,4,2,U.S. Senate,,Republican,Kevin J. O'Connor,466
Boston,7,10,U.S. House,7th, (Write-In),Rayla Danella Campbell,0
Holland,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",,All Others,1
Lynnfield,-,2,President,,,No Preference,0
Acton,-,6,President,,,All Others,14
Ashland,-,3,President,,Democratic,"Joseph R. Biden, Jr.",1373
Athol,-,2,U.S. Senate,,,Blanks,28
Charlton,-,1,U.S. Senate,,Democratic,Edward J. Markey,915
Winchester,-,1,State House,31st Middlesex,,Total Votes Cast,1788
Leominster,2,A,U.S. House,2nd,,Total Votes Cast,1099
Beverly,2,2,U.S. House,6th,Republican,John Paul Moran,445
Weymouth,-,2,State House,4th Norfolk,,Blanks,100
TOTALS,,,Governor's Council, 4th,Democratic,"Christopher A. Iannella, Jr.",330732
Westwood,-,1,Governor's Council, 2nd,,All Others,11
Uxbridge,-,1,President,,Republican,Donald J. Trump,1078
Northborough,-,3,U.S. House,2nd,Democratic,James P. McGovern,1604
Gill,-,1,State House,2nd Franklin,,Blanks,98
Boston,20,5,U.S. House,8th,,Blanks,144
Hardwick,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Steven R. Hall,629
Framingham,-,17,State House,7th Middlesex,,Total Votes Cast,712
Dennis,-,5,U.S. Senate,,,All Others,5
Tyngsborough,-,2,Governor's Council, 5th,,Total Votes Cast,1883
Boston,3,7,U.S. Senate,,,Total Votes Cast,2827
Oxford,-,2,State House,7th Worcester,,Total Votes Cast,1856
Chelsea,2,1,State Senate,Middlesex and Suffolk,Democratic,Sal N. DiDomenico,1042
E. Longmeadow,-,4,President,,,All Others,12
Easton,-,4,U.S. Senate,,,All Others,6
Raynham,-,2A,President,,,All Others,0
N. Adams,5,5,Governor's Council, 8th,Democratic,Mary E. Hurley,879
Dighton,-,2,State Senate,1st Plymouth and Bristol,,All Others,47
Nantucket,-,1,State House,"Barnstable, Dukes and Nantucket",,Total Votes Cast,7338
Woburn,3,1,U.S. Senate,,,Blanks,45
Maynard,-,2,President,,Republican,Donald J. Trump,379
Wakefield,-,3,President,,Democratic,"Joseph R. Biden, Jr.",1441
Pembroke,-,1,State Senate,Plymouth and Barnstable,,Blanks,153
Boston,1,10,President,,,Blanks,4
Gloucester,2,2,President,,Libertarian,Jo Jorgensen,12
Lowell,9,1,U.S. Senate,,Democratic,Edward J. Markey,761
Sharon,-,3,U.S. House,4th,,Total Votes Cast,2392
Middleborough,-,1,U.S. House,9th,,Total Votes Cast,2865
Adams,-,2,U.S. House,1st,,Blanks,149
Greenfield,-,3,U.S. House,2nd,,All Others,2
Salem,3,1,U.S. House,6th,Democratic,Seth W. Moulton,1186
New Bedford,5,E,President,,Libertarian,Jo Jorgensen,16
Clinton,-,2,President,,Libertarian,Jo Jorgensen,44
Marion,-,1,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,2622
Auburn,-,5,U.S. House,2nd,,Total Votes Cast,1939
Boston,7,9,State Senate,1st Suffolk,,Blanks,157
Lexington,-,1,U.S. House,5th,,Blanks,76
Burlington,-,6,President,,,All Others,6
Quincy,3,4,President,,,Total Votes Cast,1589
Gloucester,4,2,Governor's Council, 5th,,Total Votes Cast,2227
Fitchburg,1,B,Governor's Council, 7th,,All Others,18
Northampton,1,B,U.S. Senate,, (Write-In),Shiva Ayyadurai,5
Needham,-,F,U.S. Senate,,Democratic,Edward J. Markey,1451
Brookline,-,14,U.S. House,4th,Democratic,Jake Auchincloss,1672
Needham,-,C,President,,,Blanks,11
Watertown,-,4,State Senate,2nd Suffolk and Middlesex,Democratic,William N. Brownsberger,1424
Plymouth,-,12,President,,Libertarian,Jo Jorgensen,47
Springfield,2,E,State House,6th Hampden,,Blanks,210
Burlington,-,5,President,,,Total Votes Cast,2340
Chelsea,2,1,President,,Libertarian,Jo Jorgensen,19
Marshfield,-,7,U.S. Senate,,Democratic,Edward J. Markey,1390
Haverhill,1,3,U.S. Senate,,,Blanks,37
Springfield,6,F,U.S. House,1st,Democratic,Richard E. Neal,683
Somerville,6,2,President,,Democratic,"Joseph R. Biden, Jr.",2136
Boston,20,14,Governor's Council, 2nd,,All Others,22
Medford,4,1,President,,,No Preference,0
Barnstable,-,11,U.S. House,9th,,Blanks,70
Boston,10,5,U.S. Senate,,,Total Votes Cast,785
N. Andover,-,5,President,,Republican,Donald J. Trump,537
W. Springfield,-,2,State House,6th Hampden,,Total Votes Cast,1210
Randolph,-,6,U.S. House,7th,,Blanks,88
Charlton,-,3,President,,Green-Rainbow,Howard Hawkins,13
Boston,15,8,U.S. House,7th,,Total Votes Cast,665
Boston,19,9,U.S. House,8th,Unenrolled,Jonathan D. Lott,117
Wayland,-,1,President,,Republican,Donald J. Trump,410
Westfield,2,B,Governor's Council, 8th,,Blanks,477
Brockton,5,C,U.S. House,8th,,Blanks,99
Springfield,1,F,State Senate,Hampden,,All Others,9
Hudson,-,3,State Senate,Middlesex and Worcester,,Total Votes Cast,1787
Stockbridge,-,1,U.S. House,1st, (Write-In),Alex B. Morse,8
Belmont,-,8,State House,24th Middlesex,,Blanks,589
Weymouth,-,3,State House,4th Norfolk,Democratic,James Michael Murphy,1173
Agawam,-,2,U.S. House,1st,Democratic,Richard E. Neal,1408
Wakefield,-,6,President,,,Total Votes Cast,2521
Medford,6,1,President,,,No Preference,0
Lexington,-,8,Governor's Council, 3rd,,Blanks,550
Boston,18,20,U.S. Senate,,,Total Votes Cast,1636
Holyoke,5,A,Governor's Council, 8th,Democratic,Mary E. Hurley,1358
Boston,6,3,U.S. House,8th,Democratic,Stephen F. Lynch,1264
Oak Bluffs,-,1,U.S. Senate,,Democratic,Edward J. Markey,2393
Barnstable,-,10,Governor's Council, 1st,,All Others,5
Wenham,-,1,U.S. House,6th,,Total Votes Cast,2647
Rockland,-,6,U.S. House,9th,,Blanks,69
Fall River,5,B1,President,,,All Others,0
Winchester,-,6,President,,,No Preference,0
Charlemont,-,1,U.S. Senate,,,All Others,0
Blackstone,-,1,Governor's Council, 7th, (Write-In),Peter A. Stefan,0
Randolph,-,12,U.S. Senate,,,Total Votes Cast,1714
Marlborough,2,1,U.S. House,3rd,,Total Votes Cast,1514
Boston,19,10,Governor's Council, 2nd,Democratic,Robert L. Jubinville,1075
Dracut,-,9,President,,Democratic,"Joseph R. Biden, Jr.",951
Falmouth,-,5,U.S. House,9th,,Total Votes Cast,2685
Sharon,-,1,State Senate,Bristol and Norfolk,,Blanks,700
Boston,8,6,State Senate,2nd Suffolk,,Total Votes Cast,343
Billerica,-,3,U.S. House,6th,Republican,John Paul Moran,1007
Lexington,-,6,President,,,Blanks,12
Stoneham,-,7,State House,31st Middlesex,,Total Votes Cast,1946
Winchendon,-,2,U.S. House,3rd,,All Others,72
Saugus,-,7,Governor's Council, 6th,Democratic,Terrence W. Kennedy,1055
Pittsfield,1,A,President,,,All Others,1
Brockton,5,A,U.S. House,8th,Democratic,Stephen F. Lynch,1025
W. Springfield,-,1,State House,6th Hampden,Democratic,Michael J. Finn,662
Chelmsford,-,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,1849
Boston,7,8,State Senate,1st Suffolk,,Total Votes Cast,1075
Northampton,6,B,State Senate,"Hampshire, Franklin and Worcester",,Total Votes Cast,1539
Auburn,-,1,President,,,Total Votes Cast,2171
Lowell,7,3,U.S. Senate,,Republican,Kevin J. O'Connor,140
Billerica,-,8,U.S. House,6th,Democratic,Seth W. Moulton,1210
Boston,12,2,U.S. House,7th,Unenrolled,"Roy A. Owens, Sr",56
Brewster,-,1,State House,1st Barnstable,,Total Votes Cast,2546
Westford,-,6,Governor's Council, 5th,Democratic,Eileen R. Duff,1718
Springfield,3,G,U.S. Senate,, (Write-In),Shiva Ayyadurai,0
TOTALS,,,State House,10th Hampden,,Blanks,1868
Revere,6,1,President,,,Total Votes Cast,1443
Newton,1,1,Governor's Council, 3rd,Democratic,Marilyn Petitto Devaney,1136
Holyoke,5,B,State Senate,2nd Hampden and Hampshire,,Total Votes Cast,1326
Princeton,-,1,President,,Democratic,"Joseph R. Biden, Jr.",1530
Bellingham,-,4A,Governor's Council, 7th,,Blanks,85
Raynham,-,1A,U.S. House,4th,,Blanks,17
Boston,1,9,U.S. House,7th,,All Others,8
Hamilton,-,2,Governor's Council, 5th,Democratic,Eileen R. Duff,1314
Boston,2,7,U.S. Senate,,Republican,Kevin J. O'Connor,377
Boston,14,13,President,,,All Others,0
Weymouth,-,2,President,,,All Others,15
Adams,-,1,President,,,All Others,2
Millis,-,2,President,,Democratic,"Joseph R. Biden, Jr.",1109
Webster,-,5,President,,,All Others,11
Duxbury,-,4,President,,Democratic,"Joseph R. Biden, Jr.",1122
Watertown,-,4,U.S. Senate,,Republican,Kevin J. O'Connor,266
Yarmouth,-,1,State Senate,Cape and Islands,,Total Votes Cast,2428
Yarmouth,-,7,State Senate,Cape and Islands, (Write-In),Leah Christine Mercurio,6
TOTALS,,,State House,9th Plymouth,,All Others,27
Barnstable,-,1,President,,,No Preference,0
Groton,-,1,President,,,No Preference,0
Holyoke,3,B,U.S. House,1st,,All Others,7
Ipswich,-,1,Governor's Council, 5th,,All Others,14
Great Barrington,-,C,Governor's Council, 8th,Democratic,Mary E. Hurley,673
Holden,-,5,State House,1st Worcester,,All Others,30
Cambridge,7,1,State Senate,Middlesex and Suffolk,,Blanks,295
Newton,4,1,U.S. House,4th,Democratic,Jake Auchincloss,1261
Lowell,4,3,U.S. Senate,,,Total Votes Cast,941
Somerville,3,3,State House,27th Middlesex,,All Others,44
TOTALS,,,State Senate,1st Hampden and Hampshire,,Blanks,22394
Wakefield,-,5,President,,Republican,Donald J. Trump,825
Wilbraham,-,A,President,,Republican,Donald J. Trump,1056
S. Hadley,-,D,President,,,No Preference,0
Newton,2,2,U.S. House,4th,Democratic,Jake Auchincloss,900
Weymouth,-,17,President,,,All Others,8
Malden,2,2,State Senate,5th Middlesex,,Blanks,420
Brockton,2,C,State Senate,2nd Plymouth and Bristol,,Blanks,136
Boston,6,5,State Senate,1st Suffolk,,All Others,17
Boston,5,3,U.S. House,8th,,All Others,9
Ipswich,-,1,State House,4th Essex,Republican,Bradford R. Hill,1689
Lexington,-,6,President,,Republican,Donald J. Trump,376
Boston,21,9,State Senate,2nd Suffolk and Middlesex,,Total Votes Cast,1345
Marlborough,6,2,President,,,All Others,9
Boston,15,3,State Senate,1st Suffolk,,Total Votes Cast,414
Andover,-,4,U.S. Senate,,,Total Votes Cast,2479
Quincy,1,2,Governor's Council, 4th,Democratic,"Christopher A. Iannella, Jr.",921
Pembroke,-,5,Governor's Council, 1st,,All Others,30
Lancaster,-,1,Governor's Council, 7th,,All Others,23
Winthrop,-,3,President,,,Blanks,6
Northampton,4,B,U.S. Senate,,,Total Votes Cast,1239
Malden,2,1,Governor's Council, 6th,,Blanks,314
Springfield,6,E,President,,Green-Rainbow,Howard Hawkins,3
Shrewsbury,-,4,U.S. Senate,,,Total Votes Cast,2161
Wareham,-,1,President,,Green-Rainbow,Howard Hawkins,8
Cambridge,9,3,U.S. Senate,, (Write-In),Shiva Ayyadurai,10
Springfield,3,C,U.S. Senate,,,All Others,2
Milton,-,10,State Senate,"Norfolk, Bristol and Plymouth",,All Others,13
Quincy,5,2,U.S. House,8th,,Blanks,141
Boston,16,8,State House,12th Suffolk,,All Others,26
Newbury,-,1,Governor's Council, 5th,,All Others,36
Melrose,2,1,Governor's Council, 6th,,Total Votes Cast,1403
Somerville,6,2,U.S. Senate,,Republican,Kevin J. O'Connor,166
Quincy,2,1,Governor's Council, 4th,,Blanks,337
Canton,-,1,State House,6th Norfolk,,Blanks,476
Boston,11,9,Governor's Council, 4th,,Blanks,191
Palmer,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",,All Others,2
Braintree,-,2A,President,,Republican,Donald J. Trump,724
Hudson,-,4,State Senate,Middlesex and Worcester,Democratic,James B. Eldridge,1272
Braintree,-,6B,U.S. Senate,,Republican,Kevin J. O'Connor,797
Westfield,5,B,President,,,Total Votes Cast,2248
Boston,19,4,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D?az,1191
Everett,6,1,President,,Democratic,"Joseph R. Biden, Jr.",969
Westwood,-,3,U.S. Senate,,,Blanks,83
New Bedford,6,A,State Senate,2nd Bristol and Plymouth,,All Others,22
Whitman,-,3,State House,7th Plymouth,,Total Votes Cast,2076
Taunton,8,A,State House,3rd Bristol,,All Others,2
Somerville,3,3,State House,27th Middlesex,Democratic,Erika Uyterhoeven,2015
Charlton,-,1,Governor's Council, 7th,Democratic,Paul M. Depalo,1244
New Bedford,1,F,Governor's Council, 1st,,Total Votes Cast,1037
TOTALS,,,State House,18th Suffolk,,Total Votes Cast,14707
Westfield,6,A,U.S. House,1st,,Total Votes Cast,2015
Sheffield,-,1,U.S. Senate,, (Write-In),Shiva Ayyadurai,8
Lawrence,C,3,U.S. Senate,,Republican,Kevin J. O'Connor,111
Lynn,1,1,President,,Republican,Donald J. Trump,853
Worcester,10,1,President,,Green-Rainbow,Howard Hawkins,7
Boston,14,13,President,,Libertarian,Jo Jorgensen,4
Marlborough,7,2,President,,Libertarian,Jo Jorgensen,14
Pittsfield,4,B,President,,Libertarian,Jo Jorgensen,19
Wrentham,-,1,U.S. Senate,, (Write-In),Shiva Ayyadurai,9
Boston,14,7,U.S. House,7th,,All Others,2
Westfield,3,B,State House,4th Hampden,Unenrolled,Ethan Flaherty,145
Taunton,4,A,U.S. House,4th,Republican,Julie A. Hall,913
Kingston,-,3,State House,12th Plymouth,Democratic,Kathleen R. Lanatra,1333
Milton,-,5,President,,Democratic,"Joseph R. Biden, Jr.",1132
Danvers,-,7,State House,13th Essex,Unenrolled,William J. Bates,223
Bedford,-,1,Governor's Council, 3rd,,Total Votes Cast,2388
Medford,2,1,U.S. Senate,,,All Others,3
Northampton,1,B,President,,,Blanks,8
Edgartown,-,1,President,,,All Others,8
Springfield,8,F,Governor's Council, 8th,,Blanks,189
Boston,5,7,U.S. Senate,,,Total Votes Cast,1705
Plymouth,-,13,U.S. House,9th,,Total Votes Cast,2592
Freetown,-,3,Governor's Council, 1st,Democratic,Joseph C. Ferreira,1180
Webster,-,2,State Senate,Worcester and Norfolk,Democratic,Christine Crean,532
Holyoke,2,A,U.S. Senate,, (Write-In),Shiva Ayyadurai,0
Beverly,2,1,U.S. Senate,,,All Others,0
Quincy,5,1,President,,,Blanks,16
Marblehead,-,3,State House,8th Essex,,Total Votes Cast,2212
Springfield,2,H,Governor's Council, 8th,Democratic,Mary E. Hurley,820
Boston,4,10,State House,7th Suffolk,,Blanks,22
Holyoke,7,B,President,,Republican,Donald J. Trump,364
Quincy,5,2,State Senate,Norfolk and Plymouth,,Total Votes Cast,1400
Boston,16,5,U.S. House,8th,Democratic,Stephen F. Lynch,812
Holbrook,-,1,U.S. Senate,,Democratic,Edward J. Markey,1008
Lynnfield,-,1,State Senate,3rd Essex,,Blanks,736
Fall River,6,B,U.S. House,9th,Republican,Helen Brady,284
Georgetown,-,1,President,,Republican,Donald J. Trump,948
Lowell,4,1,President,,,Blanks,0
Agawam,-,7,U.S. Senate,, (Write-In),Shiva Ayyadurai,25
Boston,21,10,U.S. House,7th, (Write-In),Rachel Nicole Miselman,0
Wakefield,-,5,State House,32nd Middlesex,,Blanks,0
Lawrence,E,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,1121
Boston,10,8,President,,,No Preference,0
Wakefield,-,1,U.S. Senate,,Democratic,Edward J. Markey,1450
Freetown,-,1,Governor's Council, 1st,,Blanks,581
Lakeville,-,1,Governor's Council, 1st,,All Others,18
Billerica,-,9,U.S. House,6th,,Total Votes Cast,2238
Boston,10,2,U.S. House,7th,Unenrolled,"Roy A. Owens, Sr",71
Worcester,8,5,State Senate,2nd Worcester,,Blanks,163
Melrose,4,2,State House,32nd Middlesex,,Total Votes Cast,1476
Cambridge,8,3,State House,25th Middlesex,,Total Votes Cast,295
Malden,4,1,U.S. House,5th,,All Others,3
Boston,1,3,President,,,Total Votes Cast,2165
Newburyport,1,P,Governor's Council, 5th,,Total Votes Cast,523
Weston,-,4,U.S. Senate,,,Blanks,45
Chelsea,2,4,State House,2nd Suffolk,,All Others,0
Norton,-,1,U.S. House,4th,,Blanks,132
Boston,3,8,President,,Republican,Donald J. Trump,614
Wakefield,-,7,State House,9th Essex,,Total Votes Cast,2336
Somerville,2,1,State House,26th Middlesex,,Blanks,233
Boston,16,5,President,,Democratic,"Joseph R. Biden, Jr.",788
Andover,-,3,U.S. House,3rd,,Total Votes Cast,2394
Milford,-,5,U.S. Senate,,,All Others,2
Framingham,-,8,Governor's Council, 2nd,,All Others,26
Lawrence,B,2,U.S. Senate,,Democratic,Edward J. Markey,552
Yarmouth,-,5,Governor's Council, 1st,Democratic,Joseph C. Ferreira,1395
Danvers,-,5,Governor's Council, 5th,,Total Votes Cast,2275
Melrose,2,1,Governor's Council, 6th,,All Others,11
Westborough,-,2,U.S. Senate,,Democratic,Edward J. Markey,1155
Norwell,-,3,State Senate,Plymouth and Norfolk,Democratic,Meg Wheeler,1097
Boston,1,9,President,,,Total Votes Cast,842
Cambridge,5,3,U.S. House,7th,,Total Votes Cast,1404
Lynn,5,3,State House,10th Essex,,Total Votes Cast,758
Gardner,2,B,U.S. House,3rd,Democratic,Lori Loureiro Trahan,904
Salem,1,2,U.S. House,6th,,Blanks,34
Williamsburg,-,1,State House,1st Franklin,,Total Votes Cast,1835
