town,ward,precinct,office,district,party,candidate,votes
Canton,-,3,Governor's Council, 2nd,,Total Votes Cast,2364
Lancaster,-,2,President,,,Total Votes Cast,2282
Lawrence,A,2,U.S. House,3rd,,Blanks,120
Springfield,5,H,State House,9th Hampden,,Blanks,128
E. Bridgewater,-,3,U.S. Senate,, (Write-In),Shiva Ayyadurai,13
Orleans,-,1,U.S. Senate,,,All Others,2
Seekonk,-,1,U.S. House,4th,Democratic,Jake Auchincloss,918
Boston,6,3,U.S. House,8th,,All Others,13
Waltham,9,2,U.S. Senate,,,Total Votes Cast,1215
Boston,21,11,U.S. Senate,,,All Others,4
Springfield,1,G,U.S. House,1st,Democratic,Richard E. Neal,581
W. Newbury,-,1,President,,Libertarian,Jo Jorgensen,72
Adams,-,4,President,,Libertarian,Jo Jorgensen,13
Billerica,-,9,President,,Republican,Donald J. Trump,1048
Weymouth,-,10,U.S. Senate,,Democratic,Edward J. Markey,856
Ludlow,-,6,Governor's Council, 8th,Democratic,Mary E. Hurley,1563
Arlington,-,3,U.S. House,5th,,Blanks,35
Boston,16,2,U.S. House,8th,Democratic,Stephen F. Lynch,518
Concord,-,4,U.S. House,3rd,,Total Votes Cast,2909
Norwell,-,2,U.S. House,9th,Democratic,Bill Keating,1406
Boston,20,4,U.S. Senate,,,Total Votes Cast,1125
Uxbridge,-,3,Governor's Council, 7th,,Total Votes Cast,2182
Waltham,9,2,President,,,Blanks,5
Mashpee,-,2,U.S. Senate,,,All Others,0
Pepperell,-,1,U.S. House,3rd,,Blanks,714
Carlisle,-,1,U.S. Senate,,Republican,Kevin J. O'Connor,930
Mashpee,-,2,U.S. House,9th,Republican,Helen Brady,739
Clinton,-,4,State Senate,1st Worcester,,All Others,44
Andover,-,6,U.S. House,3rd,,All Others,41
Groton,-,2,State House,1st Middlesex,Democratic,Deborah L. Busser,1243
Chicopee,9,B,U.S. Senate,,,Total Votes Cast,1842
Foxborough,-,1,U.S. Senate,, (Write-In),Shiva Ayyadurai,11
W. Springfield,-,5,U.S. House,1st,Democratic,Richard E. Neal,1504
Wareham,-,3,U.S. Senate,, (Write-In),Shiva Ayyadurai,19
Billerica,-,4,U.S. House,6th,Republican,John Paul Moran,888
Newton,5,4,U.S. Senate,,,Total Votes Cast,1857
Shrewsbury,-,8,U.S. Senate,,,Total Votes Cast,2489
Boston,14,11,Governor's Council, 4th,,All Others,13
Sandwich,-,6,State Senate,Plymouth and Barnstable,,Total Votes Cast,430
Boston,17,12,Governor's Council, 4th,,All Others,7
Orange,-,2,President,,Republican,Donald J. Trump,792
Sandwich,-,1,President,,,No Preference,0
Natick,-,6,U.S. Senate,,Republican,Kevin J. O'Connor,595
