town,ward,precinct,office,district,party,candidate,votes
Hull,-,2,State House,3rd Plymouth,United Independent Party,Keri B. Thompson,3
W. Springfield,-,6,State Senate,Hampden,Democratic,All Others,1
Webster,-,3,U.S. House,2nd,Democratic,Blank Votes,0
Athol,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Blank Votes,14
Hingham,-,5,State House,3rd Plymouth,United Independent Party,All Others,1
Medford,1,1,Governor's Council,6th,Democratic,Blank Votes,28
Erving,-,1,Governor's Council,8th,Democratic,Total Votes Cast,46
Fall River,2,C,Governor's Council,1st,Democratic,Total Votes Cast,40
Huntington,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Total Votes Cast,109
Abington,-,4,Governor's Council,4th,Democratic,Blank Votes,5
Hinsdale,-,1,Governor's Council,8th,Democratic,Blank Votes,24
Worcester,2,1,Governor's Council,7th,Republican,Blank Votes,5
Norfolk,-,2,Governor's Council,2nd,Democratic,Total Votes Cast,170
Boston,16,4,Governor's Council,4th,Democratic,Stephen F. Flynn,17
Holyoke,1,B,State House,5th Hampden,Democratic,All Others,0
Pittsfield,1,B,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Rinaldo Del Gallo,28
Lakeville,-,2,Governor's Council,1st,Democratic,Blank Votes,4
Boston,18,6,State Senate,1st Suffolk,Democratic,All Others,4
Brockton,3,D,State House,11th Plymouth,Democratic,Claire D. Cronin,65
W. Tisbury,-,1,State Senate,Cape and Islands,Democratic,Blank Votes,162
N. Adams,2,2,State Senate,"Berkshire, Hampshire and Franklin",Republican,All Others,0
Townsend,-,2,U.S. House,3rd,Republican,Total Votes Cast,35
New Bedford,6,D,Governor's Council,1st,Democratic,Blank Votes,3
Boston,21,10,State House,17th Suffolk,Democratic,All Others,0
Hingham,-,3,State Senate,Plymouth and Norfolk,Republican,Total Votes Cast,121
Brockton,4,C,State Senate,2nd Plymouth and Bristol,Democratic,Blank Votes,2
Pittsfield,3,B,State House,3rd Berkshire,Democratic,Michael E. Bloomberg,264
Barnstable,-,8,Governor's Council,1st,Democratic,All Others,1
Newton,6,3,Governor's Council,3rd,Democratic,Peter Georgiou,26
Revere,6,2,State Senate,1st Suffolk and Middlesex,Special Democratic,Lydia Marie Edwards,8
Boston,16,5,State House,13th Suffolk,Democratic,Total Votes Cast,131
Amesbury,-,2,State House,1st Essex,Republican,James M. Kelcourse,21
Tyngsborough,-,4,Governor's Council,5th,Republican,Blank Votes,1
Whately,-,1,U.S. House,2nd,Democratic,James P. McGovern,66
Weymouth,-,6,Governor's Council,4th,Democratic,Total Votes Cast,117
Ashburnham,-,1,Governor's Council,7th,Republican,Blank Votes,7
Bourne,-,2,U.S. House,9th,Republican,All Others,0
Marblehead,-,6,State House,8th Essex,Democratic,Lori A. Ehrlich,171
Weymouth,-,8,State Senate,Plymouth and Norfolk,Democratic,Blank Votes,0
Worcester,10,5,State Senate,1st Worcester,Democratic,Blank Votes,3
Hanover,-,3,State House,5th Plymouth,Democratic,All Others,0
New Bedford,1,B,U.S. House,9th,Republican,Blank Votes,0
Somerville,3,2,Governor's Council,6th,Democratic,Richard J. Dimeo,15
Wrentham,-,1,State House,9th Norfolk,Democratic,Brian P. Hamlin,18
Middleton,-,1,Governor's Council,5th,Republican,All Others,0
Cambridge,10,1,Governor's Council,6th,Democratic,All Others,4
Methuen,-,2,U.S. House,3rd,Republican,Blank Votes,1
Rockland,-,6,U.S. House,9th,Democratic,All Others,3
Boston,14,5,U.S. House,7th,Democratic,Michael E. Capuano,82
Attleboro,2,A,Governor's Council,2nd,Democratic,Robert L. Jubinville,34
Boston,18,9,State Senate,Norfolk and Suffolk,,Total Votes Cast,191
Melrose,5,2,U.S. House,5th,Democratic,All Others,2
Fitchburg,4,A,State House,3rd Worcester,Special Republican,Dean Tran,0
Easton,-,3,U.S. House,4th,Democratic,Blank Votes,12
Chicopee,6,AN,State Senate,1st Hampden and Hampshire,Democratic,All Others,0
Bridgewater,-,6,State Senate,1st Plymouth and Bristol,Republican,All Others,0
Middleborough,-,1,State House,12th Plymouth,Republican,Michael E. Cowett,112
Marshfield,-,5,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,60
Barnstable,-,11,State Senate,Cape and Islands,Democratic,Brian R. Mannal,33
Worcester,8,5,U.S. House,2nd,Democratic,Total Votes Cast,44
Swampscott,-,4,Governor's Council,6th,Democratic,Stephen Borelli,8
Grafton,-,1,Governor's Council,7th,Democratic,All Others,0
Middlefield,-,1,State House,1st Franklin,Democratic,Stephen Kulik,68
Boston,22,10,State House,17th Suffolk,Democratic,Kevin G. Honan,81
TOTALS,,,State House,21st Middlesex,Democratic,Total Votes Cast,1163
TOTALS,,,Governor's Council,6th,Democratic,Stephen Borelli,7600
Maynard,-,2,State Senate,Middlesex and Worcester,Democratic,Blank Votes,3
Boston,18,9,Governor's Council,2nd,Republican,Total Votes Cast,7
Boston,18,3,Governor's Council,4th,Democratic,Total Votes Cast,218
Winthrop,-,1,State Senate,1st Suffolk and Middlesex,Special Democratic,Steven Morabito,1
Peabody,4,1,State House,12th Essex,Special Democratic,Craig S. Welton,26
Hingham,-,4,State Senate,Plymouth and Norfolk,Democratic,Paul J. Gannon,17
Rockport,-,1,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,42
Bellingham,-,3,Governor's Council,7th,Democratic,Blank Votes,6
Chicopee,9,B,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,197
Melrose,4,2,State House,32nd Middlesex,Democratic,All Others,2
Easton,-,6,U.S. House,4th,Democratic,"Joseph P. Kennedy, III",82
Newbury,-,2,U.S. House,6th,Democratic,Blank Votes,21
New Bedford,1,D,Governor's Council,1st,Democratic,Joseph C. Ferreira,24
Harwich,-,4,State House,4th Barnstable,Democratic,Blank Votes,17
Charlton,-,2,Governor's Council,7th,Republican,Jennie L. Caissie,12
Chester,-,1,Governor's Council,8th,Democratic,Total Votes Cast,104
Attleboro,4,B,U.S. House,4th,Democratic,Total Votes Cast,42
Townsend,-,1,State Senate,Worcester and Middlesex,Democratic,Total Votes Cast,28
Wayland,-,2,State House,13th Middlesex,Democratic,Blank Votes,11
Boston,16,10,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",66
Arlington,-,3,U.S. House,5th,Democratic,Total Votes Cast,121
Northampton,6,A,State House,1st Hampshire,Democratic,Total Votes Cast,269
Boston,21,8,State Senate,2nd Suffolk and Middlesex,Democratic,All Others,0
Melrose,4,1,State House,32nd Middlesex,Democratic,Blank Votes,2
Easton,-,3,U.S. House,4th,Republican,All Others,0
Waltham,3,2,Governor's Council,3rd,Democratic,William Bishop Humphrey,34
Dartmouth,-,8,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,110
Marlborough,5,2,State House,4th Middlesex,Democratic,All Others,0
Weston,-,1,U.S. House,5th,Democratic,All Others,1
Brookfield,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,1
New Bedford,2,E,State Senate,2nd Bristol and Plymouth,Democratic,Blank Votes,6
Waltham,9,1,State House,10th Middlesex,Democratic,Blank Votes,21
Boston,20,7,Governor's Council,2nd,Republican,Blank Votes,4
Fall River,9,A,U.S. House,4th,Republican,David A. Rosa,15
W. Bridgewater,-,1,State House,10th Plymouth,Democratic,Blank Votes,18
Framingham,-,18,Governor's Council,2nd,Republican,Total Votes Cast,5
Boston,10,8,U.S. House,7th,Democratic,All Others,2
Bedford,-,2,U.S. House,6th,Democratic,Seth W. Moulton,72
Arlington,-,4,U.S. House,5th,Democratic,All Others,1
Falmouth,-,5,Governor's Council,1st,Democratic,All Others,1
Oxford,-,4,State Senate,Worcester and Norfolk,Republican,Blank Votes,1
Dennis,-,4,Governor's Council,1st,Democratic,All Others,1
Milton,-,4,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,605
Boston,16,6,State Senate,1st Suffolk,Democratic,Total Votes Cast,154
Billerica,-,4,State House,22nd Middlesex,Republican,All Others,0
Framingham,-,15,State Senate,2nd Middlesex and Norfolk,Republican,All Others,1
Pittsfield,1,A,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Adam G. Hinds,112
Weymouth,-,8,U.S. House,8th,Democratic,Stephen F. Lynch,61
Norwell,-,2,State Senate,Plymouth and Norfolk,Democratic,Paul J. Gannon,45
Springfield,4,H,State House,11th Hampden,Democratic,Bud L. Williams,103
Boston,1,6,U.S. House,7th,Democratic,Blank Votes,13
Boxford,-,1,U.S. House,6th,Democratic,Blank Votes,6
Boston,11,1,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",48
Lexington,-,4,State House,15th Middlesex,Democratic,All Others,0
New Bedford,2,A,U.S. House,9th,Republican,Mark C. Alliegro,2
Natick,-,4,State Senate,2nd Middlesex and Norfolk,Republican,All Others,0
Boston,17,11,U.S. House,7th,Democratic,Blank Votes,10
Barnstable,-,10,State House,2nd Barnstable,Republican,Total Votes Cast,173
Monson,-,B,State House,2nd Hampden,Republican,Blank Votes,30
Mansfield,-,3,State House,1st Bristol,Democratic,Blank Votes,4
Worcester,8,1,U.S. House,2nd,Democratic,James P. McGovern,33
Wrentham,-,1,State House,9th Norfolk,Republican,Blank Votes,4
Boston,1,15,Governor's Council,4th,Democratic,All Others,0
Scituate,-,1,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,34
Wayland,-,3,State Senate,"Norfolk, Bristol and Middlesex",Republican,All Others,0
Plymouth,-,1,State Senate,Plymouth and Barnstable,Republican,All Others,0
Fall River,9,C,U.S. House,4th,Republican,All Others,0
Bellingham,-,3,Governor's Council,7th,Democratic,Total Votes Cast,37
Wales,-,1,Governor's Council,7th,Republican,Blank Votes,9
Swampscott,-,6,State Senate,3rd Essex,Democratic,Total Votes Cast,127
Plymouth,-,10,State House,1st Plymouth,Democratic,Total Votes Cast,100
Westwood,-,1,Governor's Council,2nd,Republican,All Others,0
Boston,21,9,State Senate,2nd Suffolk and Middlesex,Democratic,Blank Votes,7
Hardwick,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Total Votes Cast,69
Acton,-,6,State House,14th Middlesex,Green-rainbow,Daniel L. Factor,5
Attleboro,5,B,State Senate,Bristol and Norfolk,Democratic,All Others,0
Boston,7,4,State Senate,1st Suffolk,Democratic,Total Votes Cast,122
Lawrence,A,4,State Senate,2nd Essex and Middlesex,Democratic,Barbara A. L'Italien,163
Stoughton,-,7,U.S. House,8th,Republican,Total Votes Cast,13
Longmeadow,-,E,State Senate,1st Hampden and Hampshire,Democratic,Total Votes Cast,391
Boston,20,10,Governor's Council,2nd,Democratic,Robert L. Jubinville,146
Springfield,8,F,State Senate,Hampden,Democratic,Blank Votes,34
Brockton,1,A,State House,11th Plymouth,Democratic,Claire D. Cronin,46
Melrose,5,1,State Senate,5th Middlesex,Republican,Blank Votes,0
Revere,2,3A,Governor's Council,6th,Democratic,Terrence W. Kennedy,4
Easthampton,-,4,State House,2nd Hampshire,Democratic,All Others,2
Peabody,1,1,Governor's Council,5th,Democratic,Blank Votes,63
Attleboro,4,B,Governor's Council,2nd,Democratic,Total Votes Cast,42
New Bedford,2,D,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,17
Somerville,5,2,State House,27th Middlesex,Democratic,Denise Provost,406
Malden,7,1,Governor's Council,6th,Democratic,Blank Votes,8
Plymouth,-,3,State House,1st Plymouth,Democratic,"John T. Mahoney, Jr",102
Windsor,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Rinaldo Del Gallo,10
Amesbury,-,6,State House,1st Essex,Republican,All Others,0
Springfield,4,D,State House,11th Hampden,Democratic,Bud L. Williams,60
Brockton,5,D,Governor's Council,4th,Democratic,Total Votes Cast,105
Revere,1,1,State Senate,1st Suffolk and Middlesex,Special Democratic,All Others,0
Boston,4,8,State House,7th Suffolk,Democratic,Chynah Tyler,32
Marshfield,-,3,State House,4th Plymouth,Democratic,All Others,0
Florida,-,1,Governor's Council,8th,Democratic,Blank Votes,10
TOTALS,,,State House,3rd Middlesex,Democratic,Total Votes Cast,908
New Bedford,3,A,U.S. House,9th,Republican,"Thomas Joseph O'Malley, Jr",0
Swansea,-,2,State House,5th Bristol,Democratic,All Others,0
Newburyport,1,P,State House,1st Essex,Republican,James M. Kelcourse,22
Lexington,-,5,U.S. House,5th,Democratic,Blank Votes,21
Peabody,5,1,State House,12th Essex,Special Republican,All Others,0
Wales,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Blank Votes,9
Springfield,1,A,State Senate,Hampden,Democratic,James T. Welch,29
Grafton,-,3,U.S. House,2nd,Democratic,James P. McGovern,21
Greenfield,-,5,State Senate,"Hampshire, Franklin and Worcester",Republican,All Others,0
Chesterfield,-,1,U.S. House,1st,Democratic,Richard E. Neal,79
Sudbury,-,2,State Senate,Middlesex and Worcester,Republican,Total Votes Cast,15
Cheshire,-,1,U.S. House,1st,Democratic,Total Votes Cast,246
Brockton,7,A,State Senate,2nd Plymouth and Bristol,Democratic,All Others,0
Saugus,-,3,Governor's Council,6th,Democratic,Blank Votes,19
Brockton,4,C,Governor's Council,4th,Democratic,Total Votes Cast,56
Boston,16,2,U.S. House,8th,Republican,Total Votes Cast,4
Boston,19,1,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",93
Malden,5,2,Governor's Council,6th,Democratic,All Others,0
Belmont,-,1,State Senate,2nd Suffolk and Middlesex,,All Others,1
Worcester,5,2,State Senate,2nd Worcester,Republican,Total Votes Cast,15
Worcester,7,1,Governor's Council,7th,Democratic,All Others,2
Cambridge,3,1,State House,26th Middlesex,Democratic,Mike Connolly,247
Worcester,1,4,State Senate,1st Worcester,Democratic,All Others,1
Boston,1,8,Governor's Council,6th,Democratic,Terrence W. Kennedy,42
Stoughton,-,2,Governor's Council,2nd,Republican,Brad Williams,24
Wendell,-,1,State House,2nd Franklin,Democratic,All Others,0
Billerica,-,11,U.S. House,6th,Democratic,Seth W. Moulton,68
Pittsfield,5,A,U.S. House,1st,Democratic,Richard E. Neal,287
Boston,12,3,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D�az,91
Ludlow,-,4,State Senate,1st Hampden and Hampshire,Republican,Total Votes Cast,72
Carver,-,3,State Senate,1st Plymouth and Bristol,Republican,Blank Votes,22
Saugus,-,9,State Senate,3rd Essex,Democratic,All Others,0
Swansea,-,1,U.S. House,4th,Democratic,Blank Votes,1
Lexington,-,5,U.S. House,5th,Democratic,Katherine M. Clark,146
Randolph,-,6,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Nora Harrington,79
Plainville,-,1,Governor's Council,2nd,Republican,Total Votes Cast,62
Marlborough,4,1,U.S. House,3rd,Democratic,All Others,0
Northborough,-,3,U.S. House,2nd,Democratic,Blank Votes,9
Waltham,9,1,Governor's Council,3rd,Democratic,Peter Georgiou,13
Abington,-,5,U.S. House,8th,Republican,William Burke,27
Revere,1,3,State Senate,1st Suffolk and Middlesex,Democratic,Blank Votes,18
Gloucester,4,1,Governor's Council,5th,Republican,All Others,1
Stoneham,-,5,Governor's Council,6th,Democratic,All Others,1
Wilbraham,-,B,State House,12th Hampden,Democratic,"Angelo J. Puppolo, Jr.",293
Springfield,7,F,State Senate,1st Hampden and Hampshire,Democratic,Total Votes Cast,400
Lowell,3,3,Governor's Council,5th,Republican,All Others,0
Cambridge,4,3,U.S. House,5th,Democratic,All Others,0
Chicopee,9,A,State Senate,2nd Hampden and Hampshire,Republican,"Donald F. Humason, Jr",25
Goshen,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,All Others,0
Scituate,-,3,U.S. House,8th,Democratic,Blank Votes,35
Canton,-,6,U.S. House,8th,Republican,Total Votes Cast,36
Leominster,1,B,State Senate,Worcester and Middlesex,Democratic,Jennifer L. Flanagan,172
Rockland,-,3,Governor's Council,4th,Democratic,Blank Votes,12
Halifax,-,1,U.S. House,9th,Democratic,Blank Votes,5
N. Andover,-,8,Governor's Council,5th,Republican,Blank Votes,10
Lawrence,C,4,U.S. House,3rd,Republican,Total Votes Cast,9
Everett,6,2,State Senate,Middlesex and Suffolk,Democratic,All Others,2
Boston,7,8,State Senate,1st Suffolk,Democratic,Blank Votes,15
Holden,-,4,Governor's Council,7th,Republican,Total Votes Cast,95
Dedham,-,3,Governor's Council,2nd,Republican,Blank Votes,1
Boston,19,2,U.S. House,8th,Republican,Total Votes Cast,6
Quincy,6,4,State Senate,Norfolk and Plymouth,Democratic,All Others,0
TOTALS,,,State House,4th Suffolk,Democratic,All Others,43
Brockton,7,A,State Senate,2nd Plymouth and Bristol,Democratic,Michael D. Brady,19
Arlington,-,14,State Senate,4th Middlesex,Democratic,Total Votes Cast,141
Salem,7,2,State Senate,2nd Essex,Democratic,Total Votes Cast,134
Lowell,1,1,State Senate,1st Middlesex,Democratic,Total Votes Cast,97
Hampden,-,1,State House,2nd Hampden,Democratic,Brian M. Ashe,341
Greenfield,-,2,State Senate,"Hampshire, Franklin and Worcester",Democratic,Total Votes Cast,73
Grafton,-,5,State Senate,2nd Worcester,Democratic,Michael O. Moore,24
Taunton,1,A,State Senate,1st Plymouth and Bristol,Republican,All Others,1
Salem,6,2,State House,7th Essex,Democratic,Paul F. Tucker,136
New Bedford,5,C,U.S. House,9th,Republican,Mark C. Alliegro,4
Hudson,-,1,State House,3rd Middlesex,Democratic,Blank Votes,0
Northampton,6,B,State Senate,"Hampshire, Franklin and Worcester",Republican,All Others,0
Georgetown,-,1,State Senate,1st Essex and Middlesex,Republican,Blank Votes,2
Easthampton,-,1,State Senate,2nd Hampden and Hampshire,Democratic,Jerome Parker-O'grady,164
Foxborough,-,1,Governor's Council,2nd,Republican,All Others,0
N. Adams,1,1,U.S. House,1st,Democratic,Total Votes Cast,171
Fitchburg,3,A,State House,3rd Worcester,Special Republican,All Others,5
Belmont,-,4,Governor's Council,3rd,Democratic,Peter Georgiou,34
Sterling,-,2,Governor's Council,7th,Democratic,Total Votes Cast,50
Longmeadow,-,B,U.S. House,1st,Democratic,All Others,7
Boston,3,3,Governor's Council,6th,Democratic,All Others,1
Boston,19,3,U.S. House,8th,Democratic,Stephen F. Lynch,98
Braintree,-,6B,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,21
Lawrence,C,2,Governor's Council,5th,Republican,Total Votes Cast,6
Boston,18,3,State Senate,1st Suffolk,Democratic,All Others,2
Plymouth,-,1,U.S. House,9th,Democratic,All Others,1
Truro,-,1,State Senate,Cape and Islands,Democratic,Brian R. Mannal,1
Brimfield,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Anne M. Gobi,100
N. Attleborough,-,8,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Blank Votes,4
Deerfield,-,1,U.S. House,2nd,Democratic,Blank Votes,16
Marlborough,4,2,U.S. House,3rd,Democratic,Total Votes Cast,199
Weymouth,-,15,State Senate,Plymouth and Norfolk,Republican,Stephen D. Gill,11
Rockland,-,2,State House,5th Plymouth,Republican,David F. Decoste,41
Weymouth,-,17,U.S. House,8th,Democratic,Stephen F. Lynch,57
Danvers,-,2,U.S. House,6th,Democratic,Seth W. Moulton,177
Newton,4,1,State Senate,1st Middlesex and Norfolk,Democratic,Cynthia Stone Creem,96
Boston,14,9,Governor's Council,4th,Democratic,All Others,2
Easton,-,5,U.S. House,4th,Democratic,Blank Votes,36
Harvard,-,1,U.S. House,3rd,Republican,Blank Votes,1
Revere,5,1,State Senate,1st Suffolk and Middlesex,Democratic,Blank Votes,0
Dalton,-,2,State Senate,"Berkshire, Hampshire and Franklin",Republican,Blank Votes,0
Braintree,-,4B,State House,5th Norfolk,Democratic,Total Votes Cast,62
Brewster,-,1,U.S. House,9th,Democratic,William Richard Keating,326
Sherborn,-,1,Governor's Council,2nd,Democratic,Total Votes Cast,122
Pittsfield,5,B,Governor's Council,8th,Democratic,All Others,1
Salem,2,2,Governor's Council,5th,Democratic,Eileen R. Duff,134
Dracut,-,9,Governor's Council,5th,Republican,Total Votes Cast,38
Belmont,-,6,State House,24th Middlesex,Democratic,Total Votes Cast,269
N. Attleborough,-,8,Governor's Council,2nd,Democratic,Blank Votes,5
Stoughton,-,4,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Nora Harrington,124
Boston,1,10,State House,1st Suffolk,Democratic,Blank Votes,6
Brookline,-,16,State Senate,1st Middlesex and Norfolk,Democratic,Cynthia Stone Creem,110
Boston,18,1,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",154
Arlington,-,13,Governor's Council,3rd,Democratic,Total Votes Cast,143
Middleton,-,2,State House,13th Essex,Democratic,"Robert A. Croce, Jr",68
Quincy,4,2,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,17
Spencer,-,2,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,All Others,0
Needham,-,A,State Senate,"Norfolk, Bristol and Middlesex",Republican,Richard J. Ross,20
Tolland,-,1,State Senate,2nd Hampden and Hampshire,Democratic,Jerome Parker-O'grady,25
Springfield,6,E,U.S. House,1st,Democratic,Richard E. Neal,111
Billerica,-,2,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,49
Holliston,-,4,State Senate,2nd Middlesex and Norfolk,Democratic,Total Votes Cast,61
Springfield,3,B,State House,10th Hampden,Democratic,Blank Votes,15
Gloucester,2,1,State House,5th Essex,Democratic,All Others,1
Templeton,-,C,State House,2nd Franklin,Democratic,Blank Votes,6
Concord,-,5,State House,14th Middlesex,Republican,Total Votes Cast,16
Boston,4,5,Governor's Council,3rd,Democratic,All Others,0
Marlborough,6,1,Governor's Council,3rd,Democratic,Total Votes Cast,99
Springfield,1,C,U.S. House,1st,Democratic,All Others,0
Cambridge,3,2A,Governor's Council,6th,Democratic,Richard J. Dimeo,14
Northborough,-,3,U.S. House,2nd,Democratic,James P. McGovern,71
Dennis,-,1,Governor's Council,1st,Democratic,Joseph C. Ferreira,259
Chesterfield,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Blank Votes,13
Andover,-,2,U.S. House,3rd,Democratic,All Others,0
Yarmouth,-,1,State Senate,Cape and Islands,Democratic,Brian R. Mannal,15
Springfield,3,A,State Senate,Hampden,Democratic,All Others,1
Westwood,-,2,State Senate,Norfolk and Suffolk,Democratic,Total Votes Cast,121
W. Boylston,-,1,State Senate,1st Worcester,Democratic,Total Votes Cast,76
Boston,16,5,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",75
Boston,14,11,Governor's Council,4th,Democratic,Blank Votes,6
Westford,-,6,U.S. House,3rd,Democratic,All Others,1
Kingston,-,1,U.S. House,9th,Republican,All Others,0
Monson,-,B,State House,2nd Hampden,Democratic,Total Votes Cast,177
Boston,13,5,U.S. House,7th,Democratic,Blank Votes,23
Lowell,9,2,U.S. House,3rd,Democratic,Blank Votes,13
Wilbraham,-,D,State Senate,1st Hampden and Hampshire,Republican,Blank Votes,6
Hanover,-,1,State Senate,2nd Plymouth and Bristol,Democratic,Total Votes Cast,304
TOTALS,,,State House,32nd Middlesex,Democratic,Blank Votes,210
Worcester,8,5,Governor's Council,7th,Democratic,All Others,1
Falmouth,-,6,U.S. House,9th,Democratic,Total Votes Cast,561
Maynard,-,4,Governor's Council,3rd,Democratic,Peter Georgiou,18
Boston,5,3,State Senate,1st Suffolk and Middlesex,Special Democratic,Steven Morabito,0
Worcester,5,5,Governor's Council,7th,Republican,All Others,0
Plymouth,-,5,State House,1st Plymouth,Republican,Blank Votes,15
Lynn,2,2,State Senate,3rd Essex,Democratic,Blank Votes,23
Boston,17,13,Governor's Council,4th,Democratic,Stephen F. Flynn,53
Boston,6,8,U.S. House,8th,Republican,William Burke,6
Boston,1,14,Governor's Council,6th,Democratic,Total Votes Cast,62
Scituate,-,3,State Senate,Plymouth and Norfolk,Republican,Total Votes Cast,44
Northfield,-,1,State House,2nd Berkshire,Democratic,Total Votes Cast,131
Foxborough,-,1,State Senate,Bristol and Norfolk,Democratic,James E. Timilty,39
Saugus,-,10,U.S. House,6th,Democratic,Total Votes Cast,135
Waltham,8,2,U.S. House,5th,Democratic,Blank Votes,17
Malden,6,2,Governor's Council,6th,Democratic,Terrence W. Kennedy,112
Lowell,8,2,State House,18th Middlesex,Republican,Total Votes Cast,23
Sheffield,-,1,U.S. House,1st,Democratic,Blank Votes,33
