town,ward,precinct,office,district,party,candidate,votes
Barnstable,-,8,U.S. House,9th,Democratic,Blank Votes,12
Beverly,5,2,State Senate,2nd Essex,Democratic,Joan B. Lovely,110
Needham,-,B,State Senate,"Norfolk, Bristol and Middlesex",Republican,All Others,0
Newton,3,1,U.S. House,4th,Democratic,"Joseph P. Kennedy, III",129
Swansea,-,5,Governor's Council,1st,Democratic,All Others,0
Stoneham,-,1,State Senate,5th Middlesex,Democratic,Jason M. Lewis,117
Brockton,3,B,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",19
Middleborough,-,4,Governor's Council,1st,Democratic,Blank Votes,7
Peabody,2,1,Governor's Council,5th,Republican,Total Votes Cast,24
Wakefield,-,6,State House,32nd Middlesex,Democratic,All Others,1
Clinton,-,1,State Senate,Worcester and Middlesex,Democratic,Jennifer L. Flanagan,36
TOTALS,,,State Senate,"Hampshire, Franklin and Worcester",Republican,All Others,21
Chicopee,6,BE,State House,7th Hampden,Democratic,Blank Votes,89
Boston,12,7,State House,11th Suffolk,Democratic,All Others,2
Milton,-,10,State Senate,"Norfolk, Bristol and Plymouth",Democratic,All Others,0
Leominster,3,B,Governor's Council,7th,Democratic,All Others,0
Walpole,-,8,Governor's Council,2nd,Democratic,Robert L. Jubinville,43
Peabody,4,2,Governor's Council,5th,Republican,"Richard A. Baker, Jr.",40
Haverhill,1,3,U.S. House,3rd,Republican,Blank Votes,6
Boston,14,7,U.S. House,7th,Democratic,Total Votes Cast,80
Lowell,2,2,State House,18th Middlesex,Democratic,Cheth Khim,27
Waltham,2,2,State House,9th Middlesex,Democratic,All Others,0
Springfield,7,H,State Senate,1st Hampden and Hampshire,Republican,James Chip Harrington,11
Boston,18,12,Governor's Council,4th,Democratic,All Others,0
Boston,22,6,U.S. House,7th,Democratic,Michael E. Capuano,37
Winthrop,-,5,State Senate,1st Suffolk and Middlesex,Democratic,Joseph A. Boncore,424
Dracut,-,4,Governor's Council,5th,Democratic,All Others,0
Millbury,-,2,State Senate,2nd Worcester,Republican,Blank Votes,31
Belchertown,-,D,Governor's Council,8th,Democratic,All Others,0
Westford,-,4,State Senate,1st Middlesex,Democratic,Eileen M. Donoghue,44
Danvers,-,5,State House,13th Essex,Democratic,Theodore C. Speliotis,207
Boston,6,3,State Senate,1st Suffolk,Democratic,Linda Dorcena Forry,63
Weymouth,-,9,State Senate,Plymouth and Norfolk,Democratic,Paul J. Gannon,51
Stoneham,-,5,State House,31st Middlesex,Republican,Caroline Colarusso,87
Lawrence,B,3,Governor's Council,5th,Republican,All Others,0
Lynn,1,2,U.S. House,6th,Democratic,All Others,9
Wilbraham,-,C,State Senate,1st Hampden and Hampshire,Republican,All Others,1
Melrose,6,2,U.S. House,5th,Democratic,Blank Votes,6
Plymouth,-,12,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,98
Newton,8,2,Governor's Council,3rd,Democratic,William Bishop Humphrey,37
N. Andover,-,4,State House,14th Essex,Democratic,Blank Votes,3
Richmond,-,1,State House,4th Berkshire,Democratic,"William ""Smitty"" Pignatelli",281
Lynn,5,1,U.S. House,6th,Democratic,All Others,1
Boston,11,6,State House,11th Suffolk,Democratic,Blank Votes,4
Peabody,3,1,State House,12th Essex,Special Democratic,James Moutsoulas,75
Palmer,-,4,State House,1st Hampden,Republican,All Others,1
Hull,-,2,State House,3rd Plymouth,United Independent Party,Total Votes Cast,7
