town,ward,precinct,office,district,party,candidate,votes
Marlborough,4,1,President,,Green-rainbow,All Others,0
Barnstable,,3,President,,Democratic,Hillary Clinton,264
Southwick,,1,President,,Democratic,Hillary Clinton,175
Cambridge,6,2,President,,Republican,Rand Paul,2
Boston,14,4,President,,Republican,Mike Huckabee,0
Springfield,5,B,President,,Green-rainbow,Total Votes Cast,0
Medford,6,1,President,,Democratic,Total Votes Cast,1284
Chicopee,1,A,President,,Republican,Marco Rubio,28
Seekonk,,2,President,,Democratic,Bernie Sanders,272
Norwood,,1,President,,Republican,Rick Santorum,0
Gardner,2,B,President,,Green-rainbow,William P. Kreml,0
Gloucester,1,1,President,,Green-rainbow,Total Votes Cast,1
Boston,13,4,President,,Republican,Jim Gilmore,0
Mansfield,,5,President,,Republican,Jim Gilmore,0
Wendell,,1,President,,Green-rainbow,William P. Kreml,0
Mashpee,,5,President,,Green-rainbow,William P. Kreml,0
Lawrence,C,4,President,,Democratic,Hillary Clinton,345
Worcester,3,4,President,,Republican,Jim Gilmore,0
Belmont,,1,President,,Republican,No Preference,1
Melrose,6,2,President,,Democratic,No Preference,3
Marlborough,1,1,President,,Green-rainbow,William P. Kreml,0
Braintree,,4A,President,,Democratic,Bernie Sanders,281
Holden,,4,President,,Green-rainbow,No Preference,0
Scituate,,4,President,,Green-rainbow,Total Votes Cast,0
Fall River,1,C,President,,Democratic,Bernie Sanders,145
Leominster,4,B,President,,Democratic,Total Votes Cast,447
Marlborough,5,1,President,,Green-rainbow,All Others,0
Williamstown,,3,President,,Green-rainbow,Total Votes Cast,0
Boston,3,2,President,,Green-rainbow,Jill E. Stein,0
Waltham,7,1,President,,Republican,Ben Carson,7
Plainville,,3,President,,Republican,George Pataki,0
Springfield,5,G,President,,Democratic,Hillary Clinton,248
Boston,1,3,President,,Republican,Mike Huckabee,0
New Bedford,5,C,President,,Green-rainbow,Blank Votes,0
Lowell,3,1,President,,Republican,Mike Huckabee,0
Franklin,,5,President,,Republican,Chris Christie,2
Quincy,4,1,President,,Republican,No Preference,1
Marlborough,3,1,President,,Democratic,Hillary Clinton,125
Gardner,3,B,President,,Republican,Ben Carson,12
Leominster,2,C,President,,Green-rainbow,All Others,0
Wareham,,3,President,,Republican,Ted Cruz,21
Lawrence,C,4,President,,Green-rainbow,Total Votes Cast,0
Stoughton,,7,President,,Republican,Marco Rubio,53
N. Andover,,5,President,,Green-rainbow,Total Votes Cast,0
Malden,4,2,President,,Republican,Chris Christie,0
Weymouth,,1,President,,Republican,Ben Carson,4
Dighton,,2,President,,Republican,Blank Votes,0
Everett,5,1,President,,Republican,Donald J. Trump,103
Peabody,2,2,President,,Democratic,Roque De La Fuente,0
Newton,7,3,President,,Republican,Carly Fiorina,0
Georgetown,,1,President,,Democratic,Hillary Clinton,232
Marlborough,6,2,President,,Democratic,Blank Votes,0
Taunton,6,B,President,,Republican,Rand Paul,0
Merrimac,,1,President,,Republican,No Preference,5
Lexington,,4,President,,Democratic,Martin O'Malley,0
Springfield,4,C,President,,Republican,Jeb Bush,0
Winthrop,,1,President,,Republican,Total Votes Cast,369
N. Reading,,1,President,,Green-rainbow,All Others,0
Chicopee,4,A,President,,Republican,Chris Christie,0
Worcester,8,2,President,,Democratic,No Preference,0
Worcester,10,4,President,,Democratic,Bernie Sanders,117
Lynn,6,3,President,,Republican,All Others,2
Plymouth,,2,President,,Republican,Marco Rubio,70
Williamstown,,3,President,,Republican,Mike Huckabee,1
Salem,1,2,President,,Green-rainbow,William P. Kreml,0
Framingham,,18,President,,Democratic,Blank Votes,0
Fairhaven,,3,President,,Democratic,Blank Votes,10
Boston,6,4,President,,Republican,Jeb Bush,2
Adams,,3,President,,Republican,Ben Carson,0
Leverett,,1,President,,Democratic,Blank Votes,3
Norwell,,1,President,,Republican,No Preference,4
Lawrence,D,1,President,,Green-rainbow,No Preference,0
Rockland,,5,President,,Democratic,Bernie Sanders,268
Boston,4,5,President,,Green-rainbow,Kent Mesplay,0
Lexington,,2,President,,Republican,Blank Votes,1
Springfield,1,A,President,,Green-rainbow,William P. Kreml,0
Randolph,,11,President,,Republican,Jeb Bush,1
Bellingham,,4A,President,,Republican,Total Votes Cast,38
Dartmouth,,7,President,,Republican,Ben Carson,1
Boston,4,8,President,,Republican,John R. Kasich,12
Somerset,,5,President,,Republican,Ted Cruz,33
Somerville,5,3,President,,Republican,Marco Rubio,53
Pittsfield,5,B,President,,Republican,George Pataki,0
Falmouth,,6,President,,Republican,Total Votes Cast,502
Belmont,,2,President,,Democratic,No Preference,3
Boston,20,16,President,,Green-rainbow,Darryl Cherney,0
New Bedford,4,C,President,,Republican,Chris Christie,0
Haverhill,1,1,President,,Republican,Ted Cruz,10
Springfield,2,H,President,,Republican,All Others,6
Stoneham,,2,President,,Green-rainbow,Blank Votes,0
Agawam,,6,President,,Green-rainbow,All Others,1
Chicopee,4,A,President,,Republican,George Pataki,1
Boston,9,4,President,,Green-rainbow,William P. Kreml,0
Attleboro,3,A,President,,Green-rainbow,All Others,0
N. Attleborough,,4,President,,Republican,George Pataki,0
Monson,,C,President,,Green-rainbow,Jill E. Stein,0
Andover,,4,President,,Democratic,Bernie Sanders,328
Peabody,5,1,President,,Green-rainbow,Total Votes Cast,0
Pittsfield,1,A,President,,Green-rainbow,Darryl Cherney,0
Hudson,,7,President,,Democratic,Bernie Sanders,254
Bedford,,1,President,,Republican,No Preference,0
Newton,3,4,President,,Green-rainbow,Jill E. Stein,1
Walpole,,3,President,,Democratic,Hillary Clinton,273
Boxford,,2,President,,Republican,Rand Paul,4
Pittsfield,3,B,President,,Republican,Ted Cruz,25
Hingham,,2,President,,Green-rainbow,Darryl Cherney,0
Framingham,,8,President,,Republican,All Others,3
Lowell,7,1,President,,Republican,Jeb Bush,3
Middleborough,,3,President,,Green-rainbow,No Preference,4
Framingham,,14,President,,Democratic,Hillary Clinton,203
Newton,1,3,President,,Republican,No Preference,0
Petersham,,1,President,,Republican,Total Votes Cast,201
Melrose,7,2,President,,Green-rainbow,Jill E. Stein,0
W. Springfield,,6,President,,Green-rainbow,Kent Mesplay,0
Billerica,,11,President,,Green-rainbow,Jill E. Stein,0
Boston,13,6,President,,Republican,John R. Kasich,11
Boston,4,3,President,,Republican,Chris Christie,0
Sandwich,,5,President,,Republican,Donald J. Trump,285
Beverly,2,1,President,,Green-rainbow,Kent Mesplay,0
Wilbraham,,B,President,,Green-rainbow,Jill E. Stein,0
Marion,,1,President,,Republican,John R. Kasich,185
Sandwich,,5,President,,Democratic,All Others,1
Billerica,,9,President,,Republican,Rand Paul,3
Pembroke,,1,President,,Republican,All Others,0
Barnstable,,11,President,,Republican,Ben Carson,25
Yarmouth,,5,President,,Green-rainbow,Darryl Cherney,0
Milford,,3,President,,Green-rainbow,No Preference,0
Wilbraham,,D,President,,Democratic,Total Votes Cast,623
Pittsfield,2,B,President,,Republican,Total Votes Cast,165
Middleborough,,1,President,,Republican,Ben Carson,26
Bellingham,,4,President,,Democratic,All Others,1
Hanover,,3,President,,Democratic,Blank Votes,2
Lynn,7,3,President,,Republican,Marco Rubio,16
Boston,7,5,President,,Green-rainbow,Darryl Cherney,0
Randolph,,3,President,,Republican,No Preference,0
Billerica,,10,President,,Democratic,Blank Votes,5
Plymouth,,14,President,,Democratic,Total Votes Cast,524
Arlington,,21,President,,Republican,Jeb Bush,0
Northborough,,1,President,,Democratic,All Others,1
Sudbury,,5,President,,Green-rainbow,Skcm Curry,0
Wellesley,,A,President,,Democratic,Total Votes Cast,824
Worcester,2,4,President,,Republican,George Pataki,0
Quincy,5,1,President,,Green-rainbow,Kent Mesplay,0
Tyringham,,1,President,,Democratic,Blank Votes,0
Palmer,,1,President,,Democratic,Bernie Sanders,233
Aquinnah,,1,President,,Democratic,Martin O'Malley,0
Franklin,,4,President,,Democratic,All Others,3
Cambridge,8,1,President,,Democratic,Martin O'Malley,0
Chelmsford,,3,President,,Green-rainbow,William P. Kreml,0
Lowell,6,1,President,,Green-rainbow,Skcm Curry,0
Westford,,1,President,,Democratic,Blank Votes,0
Everett,5,2,President,,Republican,Rand Paul,0
Brockton,2,C,President,,Republican,Ted Cruz,4
Methuen,,8,President,,Republican,Marco Rubio,115
Lancaster,,1,President,,Republican,Rand Paul,1
Bridgewater,,2,President,,Green-rainbow,William P. Kreml,0
Boston,18,22,President,,Democratic,Total Votes Cast,653
Revere,2,1,President,,Republican,Chris Christie,0
Northampton,2,B,President,,Green-rainbow,Skcm Curry,0
Plymouth,,5,President,,Republican,Rick Santorum,0
Malden,5,2,President,,Republican,Chris Christie,3
Sudbury,,4,President,,Republican,George Pataki,0
Boston,18,12,President,,Republican,Rick Santorum,0
Plymouth,,7,President,,Green-rainbow,Skcm Curry,0
Brookline,,16,President,,Green-rainbow,No Preference,0
Brockton,5,D,President,,Democratic,Bernie Sanders,258
Westfield,1,B,President,,Democratic,Roque De La Fuente,1
Taunton,2,A,President,,Green-rainbow,All Others,1
Westfield,4,A,President,,Green-rainbow,No Preference,0
Clarksburg,,1,President,,Republican,No Preference,0
Norwood,,8,President,,Republican,Carly Fiorina,2
Worcester,2,1,President,,Green-rainbow,No Preference,0
Abington,,2,President,,Republican,George Pataki,0
Dracut,,9,President,,Republican,John R. Kasich,45
Northampton,4,A,President,,Republican,Ted Cruz,6
Ashland,,3,President,,Democratic,All Others,0
Braintree,,3B,President,,Green-rainbow,Total Votes Cast,1
Andover,,9,President,,Democratic,Martin O'Malley,0
Boston,10,2,President,,Republican,All Others,0
Revere,5,1,President,,Republican,Jeb Bush,2
Amesbury,,5,President,,Republican,Jeb Bush,6
Carlisle,,1,President,,Republican,Marco Rubio,163
Marlborough,4,2,President,,Republican,No Preference,2
Boston,21,8,President,,Republican,Carly Fiorina,0
Holbrook,,4,President,,Green-rainbow,Skcm Curry,0
Boston,8,2,President,,Democratic,Martin O'Malley,1
Worcester,4,5,President,,Republican,Rand Paul,1
Worcester,10,3,President,,Democratic,Martin O'Malley,2
Brookline,,16,President,,Republican,Chris Christie,0
Chelsea,3,4,President,,Democratic,Total Votes Cast,278
Chicopee,4,B,President,,Green-rainbow,All Others,0
New Bedford,2,E,President,,Green-rainbow,William P. Kreml,0
N. Reading,,4,President,,Republican,Rick Santorum,1
Brockton,4,C,President,,Green-rainbow,Kent Mesplay,0
Danvers,,2,President,,Democratic,No Preference,3
Boston,12,1,President,,Republican,Blank Votes,0
Somerville,7,3,President,,Republican,Donald J. Trump,91
Southbridge,,2,President,,Republican,Carly Fiorina,0
Tisbury,,1,President,,Republican,No Preference,3
Springfield,1,G,President,,Democratic,No Preference,1
Chicopee,6,AN,President,,Republican,Mike Huckabee,0
Bellingham,,1,President,,Democratic,Bernie Sanders,290
Randolph,,6,President,,Green-rainbow,Darryl Cherney,0
Westford,,3,President,,Republican,Rick Santorum,1
Greenfield,,7,President,,Republican,Marco Rubio,30
Springfield,2,B,President,,Republican,Marco Rubio,15
Stoughton,,1,President,,Democratic,Hillary Clinton,359
Brockton,5,C,President,,Green-rainbow,No Preference,0
Boston,21,14,President,,Republican,Ted Cruz,6
Marlborough,1,2,President,,Republican,George Pataki,0
Kingston,,2,President,,Green-rainbow,Kent Mesplay,0
Conway,,1,President,,Green-rainbow,All Others,2
Saugus,,4,President,,Green-rainbow,William P. Kreml,0
Cambridge,2,3,President,,Green-rainbow,Blank Votes,0
Shrewsbury,,3,President,,Republican,John R. Kasich,39
Boston,18,2,President,,Republican,All Others,1
Holbrook,,4,President,,Democratic,Blank Votes,0
Groton,,1,President,,Republican,Ted Cruz,72
Westborough,,4,President,,Republican,Rand Paul,1
Woburn,6,1,President,,Green-rainbow,Total Votes Cast,0
Weston,,1,President,,Republican,Rand Paul,1
Yarmouth,,5,President,,Republican,Total Votes Cast,407
Boston,19,10,President,,Republican,Rick Santorum,0
Holyoke,6,A,President,,Democratic,Total Votes Cast,422
Easthampton,,1,President,,Green-rainbow,Kent Mesplay,0
Townsend,,3,President,,Republican,Blank Votes,0
Gardner,1,B,President,,Republican,All Others,0
Boston,13,8,President,,Republican,Jim Gilmore,0
Brookline,,2,President,,Green-rainbow,Total Votes Cast,0
Southbridge,,3,President,,Republican,Total Votes Cast,248
Gardner,2,A,President,,Green-rainbow,Skcm Curry,0
Worcester,6,2,President,,Republican,John R. Kasich,10
Northampton,6,A,President,,Republican,Blank Votes,2
Amesbury,,2,President,,Green-rainbow,William P. Kreml,0
Billerica,,2,President,,Republican,Blank Votes,0
Hanson,,3,President,,Republican,Rick Santorum,0
Williamstown,,2,President,,Democratic,All Others,0
Raynham,,2,President,,Democratic,Total Votes Cast,383
Lynn,4,4,President,,Green-rainbow,Blank Votes,0
Worcester,3,1,President,,Republican,Carly Fiorina,0
Salisbury,,2,President,,Republican,Total Votes Cast,407
Auburn,,1,President,,Republican,Ben Carson,12
Northampton,4,B,President,,Democratic,Total Votes Cast,794
Boston,21,12,President,,Republican,No Preference,0
Lancaster,,1,President,,Green-rainbow,Total Votes Cast,1
Westborough,,3,President,,Republican,Rick Santorum,0
Boston,20,15,President,,Republican,Mike Huckabee,0
Plymouth,,1,President,,Republican,Jeb Bush,6
Seekonk,,3,President,,Republican,Mike Huckabee,0
Boston,5,7,President,,Green-rainbow,All Others,0
Franklin,,6,President,,Republican,George Pataki,0
Amesbury,,6,President,,Republican,George Pataki,0
Hingham,,5,President,,Republican,Blank Votes,1
Waltham,6,1,President,,Republican,Jeb Bush,3
Boston,4,5,President,,Republican,No Preference,0
Winthrop,,1,President,,Democratic,All Others,3
Hopkinton,,1,President,,Democratic,All Others,2
Stoughton,,8,President,,Republican,Carly Fiorina,1
Saugus,,9,President,,Democratic,Blank Votes,5
Hanson,,2,President,,Democratic,Blank Votes,2
Worcester,3,2,President,,Republican,George Pataki,0
Boxford,,2,President,,Democratic,All Others,1
Easthampton,,1,President,,Republican,Carly Fiorina,1
Boston,16,7,President,,Republican,Total Votes Cast,106
W. Stockbridge,,1,President,,Republican,Donald J. Trump,41
Belmont,,3,President,,Democratic,Blank Votes,1
Lynn,5,2,President,,Democratic,Total Votes Cast,202
Melrose,2,1,President,,Green-rainbow,Kent Mesplay,0
Braintree,,6B,President,,Green-rainbow,Kent Mesplay,0
Winchester,,8,President,,Democratic,Blank Votes,2
Boston,15,3,President,,Republican,No Preference,0
Boston,2,1,President,,Republican,Carly Fiorina,2
Lynn,5,4,President,,Republican,All Others,3
Boston,13,9,President,,Democratic,Total Votes Cast,455
Billerica,,8,President,,Green-rainbow,William P. Kreml,0
Lawrence,C,4,President,,Republican,Marco Rubio,3
Ashby,,1,President,,Green-rainbow,Skcm Curry,0
Medford,2,2,President,,Republican,George Pataki,0
Boston,21,13,President,,Republican,Total Votes Cast,161
Rockland,,2,President,,Republican,Rand Paul,1
Agawam,,4,President,,Democratic,Roque De La Fuente,1
Malden,1,2,President,,Republican,Chris Christie,0
Dartmouth,,9,President,,Green-rainbow,William P. Kreml,0
Boston,11,9,President,,Democratic,No Preference,0
Brockton,2,A,President,,Republican,Rick Santorum,0
Lexington,,1,President,,Democratic,Bernie Sanders,367
Watertown,,1,President,,Democratic,Blank Votes,1
Billerica,,11,President,,Republican,No Preference,2
Worcester,7,4,President,,Republican,Blank Votes,0
Chesterfield,,1,President,,Republican,Rand Paul,1
Worcester,9,5,President,,Republican,Carly Fiorina,0
Fall River,1,B,President,,Republican,Rick Santorum,0
Natick,,3,President,,Republican,All Others,0
Leominster,4,A,President,,Green-rainbow,Total Votes Cast,0
Medford,8,1,President,,Green-rainbow,Kent Mesplay,0
Chelsea,1,1,President,,Republican,Marco Rubio,7
Wilmington,,1,President,,Republican,All Others,4
Springfield,6,C,President,,Democratic,Total Votes Cast,303
Winchester,,3,President,,Democratic,Total Votes Cast,827
Burlington,,1,President,,Republican,George Pataki,0
Newton,2,4,President,,Green-rainbow,Blank Votes,0
Granby,,2,President,,Green-rainbow,No Preference,0
Northampton,5,A,President,,Democratic,Blank Votes,7
Chicopee,3,B,President,,Green-rainbow,Darryl Cherney,0
Belchertown,,C,President,,Green-rainbow,No Preference,0
Springfield,5,D,President,,Republican,Carly Fiorina,0
Quincy,5,5,President,,Green-rainbow,Darryl Cherney,1
Springfield,3,F,President,,Republican,All Others,1
Walpole,,5,President,,Republican,Rand Paul,0
Fall River,4,C,President,,Republican,Total Votes Cast,62
Sturbridge,,1,President,,Green-rainbow,Skcm Curry,0
Boston,18,15,President,,Green-rainbow,All Others,0
Springfield,8,F,President,,Republican,Rick Santorum,0
Worcester,4,5,President,,Republican,Mike Huckabee,0
Boston,20,7,President,,Republican,Rick Santorum,1
Weston,,4,President,,Democratic,Roque De La Fuente,0
Worcester,7,5,President,,Republican,Carly Fiorina,0
Swansea,,3,President,,Green-rainbow,Jill E. Stein,0
Halifax,,1,President,,Green-rainbow,Total Votes Cast,0
Somerville,7,2,President,,Republican,Ben Carson,2
Walpole,,7,President,,Green-rainbow,William P. Kreml,0
N. Andover,,3,President,,Republican,Marco Rubio,89
Easton,,5,President,,Republican,George Pataki,1
Lawrence,B,2,President,,Democratic,Martin O'Malley,2
Everett,4,1,President,,Green-rainbow,No Preference,0
Concord,,4,President,,Democratic,Roque De La Fuente,0
Leominster,3,A,President,,Democratic,No Preference,1
Concord,,1,President,,Democratic,Hillary Clinton,678
Mansfield,,4,President,,Republican,Ben Carson,7
Watertown,,7,President,,Republican,Chris Christie,3
Waltham,8,1,President,,Democratic,Hillary Clinton,248
Shrewsbury,,3,President,,Republican,Blank Votes,1
Somerville,4,1,President,,Democratic,All Others,4
Duxbury,,4,President,,Republican,Chris Christie,2
Boston,18,12,President,,Republican,Carly Fiorina,1
Plainville,,2,President,,Republican,Marco Rubio,74
Springfield,5,E,President,,Green-rainbow,All Others,0
Concord,,4,President,,Democratic,No Preference,3
Boston,19,2,President,,Democratic,No Preference,2
Boston,3,4,President,,Republican,Carly Fiorina,0
Wellesley,,E,President,,Green-rainbow,William P. Kreml,0
Gloucester,1,2,President,,Republican,George Pataki,0
Braintree,,6B,President,,Republican,Donald J. Trump,221
Fairhaven,,4,President,,Republican,Rick Santorum,1
Rockport,,2,President,,Green-rainbow,No Preference,0
Northampton,3,B,President,,Green-rainbow,No Preference,0
Sutton,,3,President,,Republican,Carly Fiorina,3
Leominster,4,B,President,,Green-rainbow,Skcm Curry,0
Amherst,,6,President,,Republican,Jeb Bush,1
Waltham,5,1,President,,Democratic,Hillary Clinton,393
Marlborough,6,1,President,,Republican,All Others,2
Springfield,1,C,President,,Green-rainbow,William P. Kreml,0
Salem,7,2,President,,Green-rainbow,All Others,2
Salem,4,1,President,,Green-rainbow,All Others,0
Beverly,2,1,President,,Green-rainbow,Skcm Curry,0
Norton,,2,President,,Green-rainbow,Jill E. Stein,0
Belmont,,7,President,,Green-rainbow,Skcm Curry,0
Randolph,,4,President,,Green-rainbow,Kent Mesplay,0
Framingham,,12,President,,Democratic,Blank Votes,0
Salem,3,1,President,,Republican,Total Votes Cast,201
Littleton,,1,President,,Republican,Ben Carson,12
Boston,15,2,President,,Republican,Chris Christie,0
Duxbury,,2,President,,Democratic,Hillary Clinton,227
Chelsea,2,4,President,,Republican,Total Votes Cast,22
Taunton,5,B,President,,Republican,George Pataki,0
Boston,2,6,President,,Democratic,Martin O'Malley,5
Bellingham,,1,President,,Republican,Donald J. Trump,185
Quincy,3,3,President,,Green-rainbow,All Others,0
Chelmsford,,1,President,,Democratic,Total Votes Cast,761
Barnstable,,7,President,,Democratic,Bernie Sanders,376
Melrose,7,1,President,,Democratic,All Others,3
Boston,17,10,President,,Green-rainbow,No Preference,0
Chicopee,4,B,President,,Republican,Donald J. Trump,123
New Bedford,6,E,President,,Green-rainbow,Darryl Cherney,0
Fall River,8,A,President,,Democratic,All Others,3
Taunton,6,B,President,,Republican,Jeb Bush,0
Lowell,11,3,President,,Republican,Jeb Bush,3
Chilmark,,1,President,,Democratic,Roque De La Fuente,0
Boston,22,1,President,,Green-rainbow,Skcm Curry,0
Boston,21,9,President,,Republican,Chris Christie,0
Holyoke,2,A,President,,Green-rainbow,William P. Kreml,0
Lakeville,,3,President,,Republican,All Others,0
Malden,8,1,President,,Green-rainbow,Kent Mesplay,0
Easthampton,,4,President,,Republican,Chris Christie,0
Raynham,,1,President,,Green-rainbow,Jill E. Stein,0
Sudbury,,1,President,,Democratic,Bernie Sanders,235
Beverly,4,1,President,,Republican,George Pataki,0
Boston,18,23,President,,Democratic,Roque De La Fuente,0
Whitman,,4,President,,Republican,Ted Cruz,50
Hingham,,6,President,,Republican,Blank Votes,2
Springfield,6,E,President,,Green-rainbow,Skcm Curry,0
Everett,1,1,President,,Green-rainbow,Darryl Cherney,0
Groveland,,1,President,,Republican,Mike Huckabee,1
Fairhaven,,6,President,,Republican,Donald J. Trump,193
Natick,,7,President,,Green-rainbow,All Others,0
Springfield,2,B,President,,Republican,No Preference,0
Dennis,,2,President,,Green-rainbow,No Preference,0
Falmouth,,2,President,,Democratic,Total Votes Cast,919
Worcester,6,2,President,,Green-rainbow,William P. Kreml,0
Milton,,8,President,,Democratic,All Others,2
Springfield,8,G,President,,Republican,Donald J. Trump,65
Chelsea,2,3,President,,Republican,Carly Fiorina,0
Becket,,1,President,,Republican,Jeb Bush,0
Rutland,,3,President,,Republican,Ted Cruz,74
Boston,14,1,President,,Green-rainbow,Blank Votes,0
Hudson,,3,President,,Green-rainbow,Darryl Cherney,0
Somerville,2,2,President,,Republican,Ben Carson,1
Lowell,11,1,President,,Republican,Ted Cruz,21
Boston,16,7,President,,Green-rainbow,Kent Mesplay,0
Dennis,,5,President,,Republican,All Others,1
Newton,1,1,President,,Republican,Rand Paul,4
Westport,,E,President,,Republican,No Preference,2
Dunstable,,1,President,,Republican,Mike Huckabee,0
Randolph,,5,President,,Republican,Donald J. Trump,100
Springfield,4,G,President,,Green-rainbow,William P. Kreml,0
Lynn,3,4,President,,Republican,George Pataki,0
Millbury,,1,President,,Green-rainbow,No Preference,0
Fall River,6,B,President,,Green-rainbow,Skcm Curry,0
Quincy,6,2,President,,Republican,George Pataki,0
Northampton,1,A,President,,Democratic,Bernie Sanders,429
Wareham,,2,President,,Republican,Ben Carson,15
New Bedford,6,E,President,,Green-rainbow,William P. Kreml,0
Saugus,,9,President,,Republican,Jeb Bush,4
Orange,,1,President,,Democratic,Roque De La Fuente,0
New Bedford,1,D,President,,Republican,Marco Rubio,33
Worcester,4,3,President,,Republican,Total Votes Cast,47
Boston,5,8,President,,Republican,Rick Santorum,0
Methuen,,6,President,,Republican,Marco Rubio,51
Lynn,2,3,President,,Republican,Rick Santorum,0
Harwich,,4,President,,Democratic,All Others,0
Lynn,5,2,President,,Green-rainbow,Total Votes Cast,1
Springfield,5,B,President,,Democratic,No Preference,3
Franklin,,4,President,,Green-rainbow,No Preference,0
Easton,,1,President,,Republican,John R. Kasich,65
Lowell,1,3,President,,Republican,Rick Santorum,0
Lynn,1,1,President,,Democratic,Bernie Sanders,315
Burlington,,4,President,,Green-rainbow,No Preference,0
Arlington,,11,President,,Democratic,No Preference,3
Everett,1,2,President,,Green-rainbow,No Preference,0
Brockton,6,A,President,,Democratic,Roque De La Fuente,0
Cambridge,4,2,President,,Republican,Blank Votes,0
Saugus,,5,President,,Republican,Total Votes Cast,459
Easton,,6,President,,Green-rainbow,Skcm Curry,0
Needham,,A,President,,Green-rainbow,William P. Kreml,0
Framingham,,12,President,,Democratic,Roque De La Fuente,0
Springfield,6,B,President,,Republican,John R. Kasich,21
Peabody,3,3,President,,Republican,George Pataki,0
Hopedale,,1,President,,Republican,George Pataki,1
Southbridge,,1,President,,Republican,Chris Christie,1
Somerville,6,1,President,,Republican,Marco Rubio,61
Medford,7,1,President,,Republican,John R. Kasich,14
Boston,11,7,President,,Green-rainbow,All Others,0
Holyoke,1,A,President,,Republican,Marco Rubio,6
Barnstable,,8,President,,Republican,Chris Christie,1
Lowell,2,3,President,,Republican,Marco Rubio,17
Hopkinton,,3,President,,Green-rainbow,Skcm Curry,0
Dudley,,3,President,,Democratic,Blank Votes,0
Raynham,,1,President,,Democratic,Total Votes Cast,394
Springfield,2,G,President,,Republican,Ben Carson,4
Rockport,,3,President,,Republican,Blank Votes,0
Greenfield,,8,President,,Republican,All Others,1
Dartmouth,,7,President,,Green-rainbow,Blank Votes,1
Bridgewater,,5,President,,Green-rainbow,Skcm Curry,0
Boston,20,10,President,,Republican,Carly Fiorina,0
Boston,6,6,President,,Green-rainbow,Blank Votes,0
Swansea,,3,President,,Republican,Total Votes Cast,290
Wareham,,2,President,,Democratic,No Preference,0
N. Reading,,3,President,,Republican,All Others,4
Newton,6,2,President,,Democratic,Roque De La Fuente,0
Wakefield,,4,President,,Green-rainbow,Total Votes Cast,0
Paxton,,1,President,,Green-rainbow,Jill E. Stein,0
Holbrook,,3,President,,Democratic,All Others,2
Salem,6,2,President,,Green-rainbow,Darryl Cherney,0
Methuen,,12,President,,Republican,No Preference,1
Templeton,,B,President,,Republican,George Pataki,0
Newton,2,2,President,,Democratic,Martin O'Malley,1
