town,ward,precinct,office,district,party,candidate,votes
Mattapoisett,,1,President,,Green-rainbow,Darryl Cherney,0
Aquinnah,,1,President,,Republican,Jeb Bush,0
Lawrence,D,1,President,,Republican,Carly Fiorina,0
Boston,21,8,President,,Republican,Total Votes Cast,51
Scituate,,1,President,,Republican,Ben Carson,10
Hardwick,,1,President,,Green-rainbow,Total Votes Cast,4
Lynn,2,3,President,,Green-rainbow,Kent Mesplay,0
W. Bridgewater,,1,President,,Democratic,Blank Votes,2
Ludlow,,4,President,,Republican,Blank Votes,0
Lowell,2,3,President,,Democratic,Blank Votes,1
Lawrence,D,3,President,,Democratic,Bernie Sanders,47
Dover,,1,President,,Green-rainbow,Blank Votes,0
Springfield,4,C,President,,Republican,Ted Cruz,0
Walpole,,8,President,,Green-rainbow,Total Votes Cast,0
Plymouth,,12,President,,Republican,Ben Carson,16
Revere,3,3,President,,Republican,Donald J. Trump,124
Worcester,3,1,President,,Green-rainbow,Jill E. Stein,0
Seekonk,,2,President,,Democratic,Total Votes Cast,495
Saugus,,2,President,,Democratic,Bernie Sanders,248
Boston,18,16,President,,Republican,Chris Christie,0
Hawley,,1,President,,Republican,No Preference,1
Shrewsbury,,7,President,,Green-rainbow,All Others,0
Lynn,6,1,President,,Republican,Donald J. Trump,41
Springfield,1,D,President,,Republican,Chris Christie,0
Fall River,4,C,President,,Green-rainbow,Total Votes Cast,2
Lunenburg,,C,President,,Republican,Rand Paul,2
Dartmouth,,4,President,,Republican,Rand Paul,4
Peabody,1,2,President,,Green-rainbow,Kent Mesplay,0
Boston,3,7,President,,Green-rainbow,No Preference,1
Milton,,5,President,,Republican,Blank Votes,0
Stoneham,,2,President,,Democratic,Total Votes Cast,720
Lawrence,B,1,President,,Green-rainbow,All Others,0
Boston,14,7,President,,Green-rainbow,Blank Votes,0
Foxborough,,5,President,,Republican,All Others,0
Lakeville,,2,President,,Republican,Blank Votes,5
New Bedford,3,E,President,,Republican,Blank Votes,0
Arlington,,6,President,,Republican,George Pataki,0
Framingham,,8,President,,Republican,Donald J. Trump,143
Boston,1,4,President,,Republican,Jeb Bush,0
Melrose,1,2,President,,Republican,Donald J. Trump,102
Lynn,1,4,President,,Democratic,No Preference,8
Gloucester,3,2,President,,Democratic,No Preference,5
Burlington,,4,President,,Green-rainbow,William P. Kreml,0
Revere,3,1,President,,Democratic,Martin O'Malley,0
Marshfield,,4,President,,Republican,Rand Paul,2
W. Boylston,,1,President,,Democratic,Hillary Clinton,272
Fitchburg,6,A,President,,Republican,Total Votes Cast,349
Malden,2,2,President,,Republican,Blank Votes,0
Fairhaven,,4,President,,Democratic,Roque De La Fuente,1
Cambridge,7,2,President,,Green-rainbow,No Preference,0
Cambridge,5,3,President,,Green-rainbow,Skcm Curry,0
