county,town,precinct,office,district,party,candidate,votes
Middlesex,Acton,1,President,,,BLANK,37
Middlesex,Acton,2,President,,,BLANK,33
Middlesex,Acton,3,President,,,BLANK,29
Middlesex,Acton,4,President,,,BLANK,18
Middlesex,Acton,5,President,,,BLANK,36
Middlesex,Acton,6,President,,,BLANK,31
Middlesex,Acton,1,President,,Democratic,CLINTON and KAINE,1459
Middlesex,Acton,2,President,,Democratic,CLINTON and KAINE,1550
Middlesex,Acton,3,President,,Democratic,CLINTON and KAINE,1580
Middlesex,Acton,4,President,,Democratic,CLINTON and KAINE,1675
Middlesex,Acton,5,President,,Democratic,CLINTON and KAINE,1580
Middlesex,Acton,6,President,,Democratic,CLINTON and KAINE,1354
Middlesex,Acton,1,President,,Libertarian,JOHNSON and WELD,89
Middlesex,Acton,2,President,,Libertarian,JOHNSON and WELD,96
Middlesex,Acton,3,President,,Libertarian,JOHNSON and WELD,90
Middlesex,Acton,4,President,,Libertarian,JOHNSON and WELD,104
Middlesex,Acton,5,President,,Libertarian,JOHNSON and WELD,95
Middlesex,Acton,6,President,,Libertarian,JOHNSON and WELD,78
Middlesex,Acton,1,President,,Green-Rainbow,STEIN and BARAKA,30
Middlesex,Acton,2,President,,Green-Rainbow,STEIN and BARAKA,26
Middlesex,Acton,3,President,,Green-Rainbow,STEIN and BARAKA,44
Middlesex,Acton,4,President,,Green-Rainbow,STEIN and BARAKA,45
Middlesex,Acton,5,President,,Green-Rainbow,STEIN and BARAKA,33
Middlesex,Acton,6,President,,Green-Rainbow,STEIN and BARAKA,30
Middlesex,Acton,1,President,,Republican,TRUMP and PENCE,438
Middlesex,Acton,2,President,,Republican,TRUMP and PENCE,480
Middlesex,Acton,3,President,,Republican,TRUMP and PENCE,435
Middlesex,Acton,4,President,,Republican,TRUMP and PENCE,414
Middlesex,Acton,5,President,,Republican,TRUMP and PENCE,387
Middlesex,Acton,6,President,,Republican,TRUMP and PENCE,401
Middlesex,Acton,1,President,,,EVAN MCMULLIN,4
Middlesex,Acton,2,President,,,EVAN MCMULLIN,8
Middlesex,Acton,3,President,,,EVAN MCMULLIN,14
Middlesex,Acton,4,President,,,EVAN MCMULLIN,4
Middlesex,Acton,5,President,,,EVAN MCMULLIN,4
Middlesex,Acton,6,President,,,EVAN MCMULLIN,6
Middlesex,Acton,1,President,,,SCATTERED,27
