"county","town","precinct","office","district","party","candidate","votes"
"Norfolk","Dedham","1","President",NA,"","BLANKS",28
"Norfolk","Dedham","1","President",NA,"Democratic","CLINTON and KAINE",1501
"Norfolk","Dedham","1","President",NA,"Libertarian","JOHNSON and WELD",103
"Norfolk","Dedham","1","President",NA,"Green-Rainbow","STEIN and BARAKA",19
"Norfolk","Dedham","1","President",NA,"Republican","TRUMP and PENCE",465
"Norfolk","Dedham","1","President",NA,"","Write-in votes",59
"Norfolk","Dedham","2","President",NA,"","BLANKS",28
"Norfolk","Dedham","2","President",NA,"Democratic","CLINTON and KAINE",1205
"Norfolk","Dedham","2","President",NA,"Libertarian","JOHNSON and WELD",76
"Norfolk","Dedham","2","President",NA,"Green-Rainbow","STEIN and BARAKA",27
"Norfolk","Dedham","2","President",NA,"Republican","TRUMP and PENCE",695
"Norfolk","Dedham","2","President",NA,"","Write-in votes",38
"Norfolk","Dedham","3","President",NA,"","BLANKS",17
"Norfolk","Dedham","3","President",NA,"Democratic","CLINTON and KAINE",1139
"Norfolk","Dedham","3","President",NA,"Libertarian","JOHNSON and WELD",56
"Norfolk","Dedham","3","President",NA,"Green-Rainbow","STEIN and BARAKA",22
"Norfolk","Dedham","3","President",NA,"Republican","TRUMP and PENCE",614
"Norfolk","Dedham","3","President",NA,"","Write-in votes",34
"Norfolk","Dedham","4","President",NA,"","BLANKS",28
"Norfolk","Dedham","4","President",NA,"Democratic","CLINTON and KAINE",1212
"Norfolk","Dedham","4","President",NA,"Libertarian","JOHNSON and WELD",79
"Norfolk","Dedham","4","President",NA,"Green-Rainbow","STEIN and BARAKA",21
"Norfolk","Dedham","4","President",NA,"Republican","TRUMP and PENCE",652
"Norfolk","Dedham","4","President",NA,"","Write-in votes",45
"Norfolk","Dedham","5","President",NA,"","BLANKS",29
"Norfolk","Dedham","5","President",NA,"Democratic","CLINTON and KAINE",1151
"Norfolk","Dedham","5","President",NA,"Libertarian","JOHNSON and WELD",89
"Norfolk","Dedham","5","President",NA,"Green-Rainbow","STEIN and BARAKA",23
"Norfolk","Dedham","5","President",NA,"Republican","TRUMP and PENCE",818
"Norfolk","Dedham","5","President",NA,"","Write-in votes",42
"Norfolk","Dedham","6","President",NA,"","BLANKS",33
"Norfolk","Dedham","6","President",NA,"Democratic","CLINTON and KAINE",1306
"Norfolk","Dedham","6","President",NA,"Libertarian","JOHNSON and WELD",86
"Norfolk","Dedham","6","President",NA,"Green-Rainbow","STEIN and BARAKA",23
"Norfolk","Dedham","6","President",NA,"Republican","TRUMP and PENCE",701
"Norfolk","Dedham","6","President",NA,"","Write-in votes",47
"Norfolk","Dedham","7","President",NA,"","BLANKS",36
"Norfolk","Dedham","7","President",NA,"Democratic","CLINTON and KAINE",1107
"Norfolk","Dedham","7","President",NA,"Libertarian","JOHNSON and WELD",81
"Norfolk","Dedham","7","President",NA,"Green-Rainbow","STEIN and BARAKA",14
"Norfolk","Dedham","7","President",NA,"Republican","TRUMP and PENCE",833
"Norfolk","Dedham","7","President",NA,"","Write-in votes",44
"Norfolk","Dedham","Total","President",NA,"","BLANKS",199
"Norfolk","Dedham","Total","President",NA,"Democratic","CLINTON and KAINE",8621
"Norfolk","Dedham","Total","President",NA,"Libertarian","JOHNSON and WELD",570
"Norfolk","Dedham","Total","President",NA,"Green-Rainbow","STEIN and BARAKA",149
"Norfolk","Dedham","Total","President",NA,"Republican","TRUMP and PENCE",4778
"Norfolk","Dedham","Total","President",NA,"","Write-in votes",309
"Norfolk","Dedham","1","U.S. House","8","","Blanks",172
"Norfolk","Dedham","1","U.S. House","8","Democratic","STEPHEN F. LYNCH",1455
"Norfolk","Dedham","1","U.S. House","8","Republican","WILLIAM BURKE",543
"Norfolk","Dedham","1","U.S. House","8","","Write-in votes",5
"Norfolk","Dedham","2","U.S. House","8","","Blanks",115
"Norfolk","Dedham","2","U.S. House","8","Democratic","STEPHEN F. LYNCH",1492
"Norfolk","Dedham","2","U.S. House","8","Republican","WILLIAM BURKE",462
"Norfolk","Dedham","2","U.S. House","8","","Write-in votes",0
"Norfolk","Dedham","3","U.S. House","8","","Blanks",73
"Norfolk","Dedham","3","U.S. House","8","Democratic","STEPHEN F. LYNCH",1422
"Norfolk","Dedham","3","U.S. House","8","Republican","WILLIAM BURKE",377
"Norfolk","Dedham","3","U.S. House","8","","Write-in votes",10
"Norfolk","Dedham","4","U.S. House","8","","Blanks",111
"Norfolk","Dedham","4","U.S. House","8","Democratic","STEPHEN F. LYNCH",1445
"Norfolk","Dedham","4","U.S. House","8","Republican","WILLIAM BURKE",478
"Norfolk","Dedham","4","U.S. House","8","","Write-in votes",3
"Norfolk","Dedham","5","U.S. House","8","","Blanks",103
"Norfolk","Dedham","5","U.S. House","8","Democratic","STEPHEN F. LYNCH",1522
"Norfolk","Dedham","5","U.S. House","8","Republican","WILLIAM BURKE",527
"Norfolk","Dedham","5","U.S. House","8","","Write-in votes",0
"Norfolk","Dedham","6","U.S. House","8","","Blanks",115
"Norfolk","Dedham","6","U.S. House","8","Democratic","STEPHEN F. LYNCH",1612
"Norfolk","Dedham","6","U.S. House","8","Republican","WILLIAM BURKE",465
"Norfolk","Dedham","6","U.S. House","8","","Write-in votes",4
"Norfolk","Dedham","7","U.S. House","8","","Blanks",120
"Norfolk","Dedham","7","U.S. House","8","Democratic","STEPHEN F. LYNCH",1466
"Norfolk","Dedham","7","U.S. House","8","Republican","WILLIAM BURKE",527
"Norfolk","Dedham","7","U.S. House","8","","Write-in votes",2
"Norfolk","Dedham","Total","U.S. House","8","","Blanks",809
"Norfolk","Dedham","Total","U.S. House","8","Democratic","STEPHEN F. LYNCH",10414
"Norfolk","Dedham","Total","U.S. House","8","Republican","WILLIAM BURKE",3379
"Norfolk","Dedham","Total","U.S. House","8","","Write-in votes",24
"Norfolk","Dedham","1","Councillor","2","","Blanks",385
"Norfolk","Dedham","1","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1150
"Norfolk","Dedham","1","Councillor","2","Republican","BRAD WILLIAMS",639
"Norfolk","Dedham","1","Councillor","2","","Write-in votes",1
"Norfolk","Dedham","2","Councillor","2","","Blanks",287
"Norfolk","Dedham","2","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1156
"Norfolk","Dedham","2","Councillor","2","Republican","BRAD WILLIAMS",622
"Norfolk","Dedham","2","Councillor","2","","Write-in votes",4
"Norfolk","Dedham","3","Councillor","2","","Blanks",245
"Norfolk","Dedham","3","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1123
"Norfolk","Dedham","3","Councillor","2","Republican","BRAD WILLIAMS",511
"Norfolk","Dedham","3","Councillor","2","","Write-in votes",3
"Norfolk","Dedham","4","Councillor","2","","Blanks",311
"Norfolk","Dedham","4","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1125
"Norfolk","Dedham","4","Councillor","2","Republican","BRAD WILLIAMS",600
"Norfolk","Dedham","4","Councillor","2","","Write-in votes",1
"Norfolk","Dedham","5","Councillor","2","","Blanks",306
"Norfolk","Dedham","5","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1159
"Norfolk","Dedham","5","Councillor","2","Republican","BRAD WILLIAMS",687
"Norfolk","Dedham","5","Councillor","2","","Write-in votes",0
"Norfolk","Dedham","6","Councillor","2","","Blanks",296
"Norfolk","Dedham","6","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1259
"Norfolk","Dedham","6","Councillor","2","Republican","BRAD WILLIAMS",636
"Norfolk","Dedham","6","Councillor","2","","Write-in votes",5
"Norfolk","Dedham","7","Councillor","2","","Blanks",335
"Norfolk","Dedham","7","Councillor","2","Democratic","ROBERT L. JUBINVILLE",1063
"Norfolk","Dedham","7","Councillor","2","Republican","BRAD WILLIAMS",714
"Norfolk","Dedham","7","Councillor","2","","Write-in votes",3
"Norfolk","Dedham","Total","Councillor","2","","Blanks",2165
"Norfolk","Dedham","Total","Councillor","2","Democratic","ROBERT L. JUBINVILLE",8035
"Norfolk","Dedham","Total","Councillor","2","Republican","BRAD WILLIAMS",4409
"Norfolk","Dedham","Total","Councillor","2","","Write-in votes",17
"Norfolk","Dedham","1","State Senate","Norfolk and Suffolk","","Blanks",767
"Norfolk","Dedham","1","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1396
"Norfolk","Dedham","1","State Senate","Norfolk and Suffolk","","Write-in votes",12
"Norfolk","Dedham","2","State Senate","Norfolk and Suffolk","","Blanks",523
"Norfolk","Dedham","2","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1533
"Norfolk","Dedham","2","State Senate","Norfolk and Suffolk","","Write-in votes",13
"Norfolk","Dedham","3","State Senate","Norfolk and Suffolk","","Blanks",425
"Norfolk","Dedham","3","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1445
"Norfolk","Dedham","3","State Senate","Norfolk and Suffolk","","Write-in votes",12
"Norfolk","Dedham","4","State Senate","Norfolk and Suffolk","","Blanks",569
"Norfolk","Dedham","4","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1454
"Norfolk","Dedham","4","State Senate","Norfolk and Suffolk","","Write-in votes",14
"Norfolk","Dedham","5","State Senate","Norfolk and Suffolk","","Blanks",544
"Norfolk","Dedham","5","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1594
"Norfolk","Dedham","5","State Senate","Norfolk and Suffolk","","Write-in votes",14
"Norfolk","Dedham","6","State Senate","Norfolk and Suffolk","","Blanks",543
"Norfolk","Dedham","6","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1635
"Norfolk","Dedham","6","State Senate","Norfolk and Suffolk","","Write-in votes",18
"Norfolk","Dedham","7","State Senate","Norfolk and Suffolk","","Blanks",599
"Norfolk","Dedham","7","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",1502
"Norfolk","Dedham","7","State Senate","Norfolk and Suffolk","","Write-in votes",14
"Norfolk","Dedham","Total","State Senate","Norfolk and Suffolk","","Blanks",3970
"Norfolk","Dedham","Total","State Senate","Norfolk and Suffolk","Democratic","MICHAEL F. RUSH",10559
"Norfolk","Dedham","Total","State Senate","Norfolk and Suffolk","","Write-in votes",97
"Norfolk","Dedham","1","State House","11th Norfolk","","Blanks",638
"Norfolk","Dedham","1","State House","11th Norfolk","Democratic","PAUL McMURTRY",1527
"Norfolk","Dedham","1","State House","11th Norfolk","","Write-in votes",10
"Norfolk","Dedham","2","State House","11th Norfolk","","Blanks",480
"Norfolk","Dedham","2","State House","11th Norfolk","Democratic","PAUL McMURTRY",1576
"Norfolk","Dedham","2","State House","11th Norfolk","","Write-in votes",13
"Norfolk","Dedham","3","State House","11th Norfolk","","Blanks",355
"Norfolk","Dedham","3","State House","11th Norfolk","Democratic","PAUL McMURTRY",1518
