"county","town","precinct","office","district","party","candidate","votes"
"Norfolk","Dedham","3","State House","11th Norfolk","","Write-in votes",9
"Norfolk","Dedham","4","State House","11th Norfolk","","Blanks",479
"Norfolk","Dedham","4","State House","11th Norfolk","Democratic","PAUL McMURTRY",1546
"Norfolk","Dedham","4","State House","11th Norfolk","","Write-in votes",12
"Norfolk","Dedham","5","State House","11th Norfolk","","Blanks",472
"Norfolk","Dedham","5","State House","11th Norfolk","Democratic","PAUL McMURTRY",1666
"Norfolk","Dedham","5","State House","11th Norfolk","","Write-in votes",14
"Norfolk","Dedham","6","State House","11th Norfolk","","Blanks",438
"Norfolk","Dedham","6","State House","11th Norfolk","Democratic","PAUL McMURTRY",1739
"Norfolk","Dedham","6","State House","11th Norfolk","","Write-in votes",19
"Norfolk","Dedham","7","State House","11th Norfolk","","Blanks",514
"Norfolk","Dedham","7","State House","11th Norfolk","Democratic","PAUL McMURTRY",1585
"Norfolk","Dedham","7","State House","11th Norfolk","","Write-in votes",16
"Norfolk","Dedham","Total","State House","11th Norfolk","","Blanks",3376
"Norfolk","Dedham","Total","State House","11th Norfolk","Democratic","PAUL McMURTRY",11157
"Norfolk","Dedham","Total","State House","11th Norfolk","","Write-in votes",93
