county,town,precinct,office,district,party,candidate,votes
Barnstable,Barnstable,1,President,,,Blanks,59
Barnstable,Barnstable,1,President,,Democratic,CLINTON-KAINE,1278
Barnstable,Barnstable,1,President,,Libertarian,JOHNSTON-WELD,91
Barnstable,Barnstable,1,President,,Green-Rainbow,STEIN-BARAKA,24
Barnstable,Barnstable,1,President,,Republican,TRUMP-PENCE,1015
Barnstable,Barnstable,1,President,,,Write-In,24
Barnstable,Barnstable,2,President,,,Blanks,29
Barnstable,Barnstable,2,President,,Democratic,CLINTON-KAINE,1022
Barnstable,Barnstable,2,President,,Libertarian,JOHNSTON-WELD,82
Barnstable,Barnstable,2,President,,Green-Rainbow,STEIN-BARAKA,32
Barnstable,Barnstable,2,President,,Republican,TRUMP-PENCE,946
Barnstable,Barnstable,2,President,,,Write-In,31
Barnstable,Barnstable,3,President,,,Blanks,20
Barnstable,Barnstable,3,President,,Democratic,CLINTON-KAINE,912
Barnstable,Barnstable,3,President,,Libertarian,JOHNSTON-WELD,53
Barnstable,Barnstable,3,President,,Green-Rainbow,STEIN-BARAKA,22
Barnstable,Barnstable,3,President,,Republican,TRUMP-PENCE,643
Barnstable,Barnstable,3,President,,,Write-In,33
Barnstable,Barnstable,4,President,,,Blanks,20
Barnstable,Barnstable,4,President,,Democratic,CLINTON-KAINE,994
Barnstable,Barnstable,4,President,,Libertarian,JOHNSTON-WELD,73
Barnstable,Barnstable,4,President,,Green-Rainbow,STEIN-BARAKA,32
Barnstable,Barnstable,4,President,,Republican,TRUMP-PENCE,879
Barnstable,Barnstable,4,President,,,Write-In,39
Barnstable,Barnstable,5,President,,,Blanks,38
Barnstable,Barnstable,5,President,,Democratic,CLINTON-KAINE,1049
Barnstable,Barnstable,5,President,,Libertarian,JOHNSTON-WELD,68
Barnstable,Barnstable,5,President,,Green-Rainbow,STEIN-BARAKA,14
Barnstable,Barnstable,5,President,,Republican,TRUMP-PENCE,1115
Barnstable,Barnstable,5,President,,,Write-In,43
Barnstable,Barnstable,6,President,,,Blanks,29
Barnstable,Barnstable,6,President,,Democratic,CLINTON-KAINE,1033
Barnstable,Barnstable,6,President,,Libertarian,JOHNSTON-WELD,107
Barnstable,Barnstable,6,President,,Green-Rainbow,STEIN-BARAKA,29
Barnstable,Barnstable,6,President,,Republican,TRUMP-PENCE,1006
Barnstable,Barnstable,6,President,,,Write-In,42
Barnstable,Barnstable,7,President,,,Blanks,33
Barnstable,Barnstable,7,President,,Democratic,CLINTON-KAINE,1252
Barnstable,Barnstable,7,President,,Libertarian,JOHNSTON-WELD,95
Barnstable,Barnstable,7,President,,Green-Rainbow,STEIN-BARAKA,29
