county,town,precinct,office,district,party,candidate,votes
Worcester,Spencer,1,President,NA,,Blanks,25
Worcester,Spencer,1,President,NA,Democratic,Clinton and Kaine,593
Worcester,Spencer,1,President,NA,Libertarian,Johnson and Weld,74
Worcester,Spencer,1,President,NA,Green-Rainbow,Stein and Baraka,11
Worcester,Spencer,1,President,NA,Republican,Trump and Pence,748
Worcester,Spencer,1,President,NA,,McMullin and Johnson,0
Worcester,Spencer,1,President,NA,,All Other Write Ins,17
Worcester,Spencer,2,President,NA,,Blanks,22
Worcester,Spencer,2,President,NA,Democratic,Clinton and Kaine,517
Worcester,Spencer,2,President,NA,Libertarian,Johnson and Weld,72
Worcester,Spencer,2,President,NA,Green-Rainbow,Stein and Baraka,16
Worcester,Spencer,2,President,NA,Republican,Trump and Pence,670
Worcester,Spencer,2,President,NA,,McMullin and Johnson,3
Worcester,Spencer,2,President,NA,,All Other Write Ins,22
Worcester,Spencer,3,President,NA,,Blanks,19
Worcester,Spencer,3,President,NA,Democratic,Clinton and Kaine,542
Worcester,Spencer,3,President,NA,Libertarian,Johnson and Weld,71
Worcester,Spencer,3,President,NA,Green-Rainbow,Stein and Baraka,29
Worcester,Spencer,3,President,NA,Republican,Trump and Pence,859
Worcester,Spencer,3,President,NA,,McMullin and Johnson,3
Worcester,Spencer,3,President,NA,,All Other Write Ins,32
Worcester,Spencer,4,President,NA,,Blanks,16
Worcester,Spencer,4,President,NA,Democratic,Clinton and Kaine,613
Worcester,Spencer,4,President,NA,Libertarian,Johnson and Weld,79
Worcester,Spencer,4,President,NA,Green-Rainbow,Stein and Baraka,27
Worcester,Spencer,4,President,NA,Republican,Trump and Pence,768
Worcester,Spencer,4,President,NA,,McMullin and Johnson,4
Worcester,Spencer,4,President,NA,,All Other Write Ins,23
Worcester,Spencer,Total,President,NA,,Blanks,82
Worcester,Spencer,Total,President,NA,Democratic,Clinton and Kaine,2265
Worcester,Spencer,Total,President,NA,Libertarian,Johnson and Weld,296
Worcester,Spencer,Total,President,NA,Green-Rainbow,Stein and Baraka,83
Worcester,Spencer,Total,President,NA,Republican,Trump and Pence,3045
Worcester,Spencer,Total,President,NA,,McMullin and Johnson,10
Worcester,Spencer,Total,President,NA,,All Other Write Ins,94
Worcester,Spencer,1,U.S. House,2,,Blanks,416
Worcester,Spencer,1,U.S. House,2,Democratic,James P. McGovern,1038
Worcester,Spencer,1,U.S. House,2,,Shane King,0
Worcester,Spencer,1,U.S. House,2,,Jim Polito,0
Worcester,Spencer,1,U.S. House,2,,Brian Hackett,0
Worcester,Spencer,1,U.S. House,2,,Wayne Gruden,0
Worcester,Spencer,1,U.S. House,2,,Pete Yanis,0
