town,ward,precinct,office,district,party,candidate,votes
Abington,,1,President,,Democratic,Clinton and Kaine,818
Abington,,1,President,,,No Preference,0
Abington,,1,U.S. House,8th,,All Others,2
Abington,,1,State House,7th Plymouth,,Blank Votes,476
Abington,,1,President,,(Write-In),Moorehead and Lilly,0
Abington,,1,State House,7th Plymouth,Republican,Geoff Diehl,1224
Abington,,1,President,,Green-rainbow,Stein and Baraka,25
Abington,,1,President,,(Write-In),Schoenke and Mitchel,0
Abington,,1,President,,Libertarian,Johnson and Weld,97
Abington,,1,State Senate,Norfolk and Plymouth,Unenrolled,Alexander N. Mendez,496
Abington,,1,U.S. House,8th,Republican,William Burke,587
Abington,,1,President,,(Write-In),Kotlikoff and Leamer,0
Abington,,1,President,,(Write-In),Mcmullin and Johnson,0
Abington,,1,U.S. House,8th,,Total Votes Cast,1709
Abington,,1,President,,,Total Votes Cast,1709
Abington,,1,State Senate,Norfolk and Plymouth,,All Others,2
Abington,,1,State House,7th Plymouth,,Total Votes Cast,1709
Abington,,1,State Senate,Norfolk and Plymouth,,Total Votes Cast,1709
Abington,,1,President,,,All Others,30
Abington,,1,State House,7th Plymouth,,All Others,9
Abington,,1,U.S. House,8th,Democratic,Stephen F. Lynch,1041
Abington,,1,President,,(Write-In),Feegbeh and O'Brien,0
Abington,,1,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,944
Abington,,1,President,,Republican,Trump and Pence,717
Abington,,1,U.S. House,8th,,Blank Votes,79
Abington,,1,President,,,Blank Votes,22
Abington,,1,State Senate,Norfolk and Plymouth,,Blank Votes,267
Abington,,2,State Senate,Norfolk and Plymouth,,All Others,0
Abington,,2,President,,,Total Votes Cast,1671
Abington,,2,U.S. House,8th,Republican,William Burke,588
Abington,,2,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,957
Abington,,2,President,,(Write-In),Schoenke and Mitchel,0
Abington,,2,U.S. House,8th,,Total Votes Cast,1671
Abington,,2,State House,7th Plymouth,Republican,Geoff Diehl,1216
Abington,,2,President,,(Write-In),Kotlikoff and Leamer,0
Abington,,2,State House,7th Plymouth,,Total Votes Cast,1671
Abington,,2,U.S. House,8th,Democratic,Stephen F. Lynch,1005
Abington,,2,President,,,All Others,12
Abington,,2,President,,Republican,Trump and Pence,785
Abington,,2,State House,7th Plymouth,,All Others,5
Abington,,2,President,,(Write-In),Moorehead and Lilly,0
Abington,,2,President,,(Write-In),Mcmullin and Johnson,0
Abington,,2,State Senate,Norfolk and Plymouth,Unenrolled,Alexander N. Mendez,445
Abington,,2,President,,Democratic,Clinton and Kaine,739
Abington,,2,President,,Green-rainbow,Stein and Baraka,27
Abington,,2,President,,(Write-In),Feegbeh and O'Brien,0
Abington,,2,President,,,No Preference,0
Abington,,2,U.S. House,8th,,All Others,0
Abington,,2,President,,Libertarian,Johnson and Weld,67
Abington,,2,State Senate,Norfolk and Plymouth,,Blank Votes,269
Abington,,2,President,,,Blank Votes,41
Abington,,2,U.S. House,8th,,Blank Votes,78
Abington,,2,State Senate,Norfolk and Plymouth,,Total Votes Cast,1671
Abington,,2,State House,7th Plymouth,,Blank Votes,450
Abington,,3,State House,7th Plymouth,,Total Votes Cast,1726
Abington,,3,President,,(Write-In),Feegbeh and O'Brien,0
Abington,,3,President,,Libertarian,Johnson and Weld,80
Abington,,3,U.S. House,8th,Democratic,Stephen F. Lynch,1017
Abington,,3,President,,,Blank Votes,34
Abington,,3,President,,(Write-In),Moorehead and Lilly,0
Abington,,3,President,,,All Others,13
Abington,,3,State Senate,Norfolk and Plymouth,,Total Votes Cast,1726
Abington,,3,President,,,No Preference,0
Abington,,3,President,,Democratic,Clinton and Kaine,773
Abington,,3,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,994
Abington,,3,U.S. House,8th,,Total Votes Cast,1726
Abington,,3,President,,Republican,Trump and Pence,808
Abington,,3,State Senate,Norfolk and Plymouth,Unenrolled,Alexander N. Mendez,467
Abington,,3,State Senate,Norfolk and Plymouth,,Blank Votes,265
Abington,,3,President,,(Write-In),Schoenke and Mitchel,0
Abington,,3,U.S. House,8th,Republican,William Burke,624
Abington,,3,President,,Green-rainbow,Stein and Baraka,18
Abington,,3,State Senate,Norfolk and Plymouth,,All Others,0
Abington,,3,President,,(Write-In),Kotlikoff and Leamer,0
Abington,,3,State House,7th Plymouth,Republican,Geoff Diehl,1290
Abington,,3,President,,(Write-In),Mcmullin and Johnson,0
Abington,,3,U.S. House,8th,,Blank Votes,85
Abington,,3,State House,7th Plymouth,,All Others,6
Abington,,3,U.S. House,8th,,All Others,0
Abington,,3,State House,7th Plymouth,,Blank Votes,430
Abington,,3,President,,,Total Votes Cast,1726
Abington,,4,President,,Republican,Trump and Pence,878
Abington,,4,President,,(Write-In),Feegbeh and O'Brien,0
Abington,,4,President,,Democratic,Clinton and Kaine,877
Abington,,4,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,1063
Abington,,4,State Senate,Norfolk and Plymouth,,Blank Votes,317
Abington,,4,President,,,All Others,26
Abington,,4,State Senate,Norfolk and Plymouth,,All Others,3
Abington,,4,U.S. House,8th,,All Others,2
Abington,,4,State Senate,Norfolk and Plymouth,Unenrolled,Alexander N. Mendez,536
Abington,,4,President,,,Total Votes Cast,1919
Abington,,4,U.S. House,8th,Democratic,Stephen F. Lynch,1175
Abington,,4,State House,7th Plymouth,,All Others,13
Abington,,4,President,,Green-rainbow,Stein and Baraka,16
Abington,,4,State House,7th Plymouth,,Total Votes Cast,1919
Abington,,4,President,,,Blank Votes,35
Abington,,4,President,,,No Preference,0
Abington,,4,President,,(Write-In),Schoenke and Mitchel,0
Abington,,4,President,,Libertarian,Johnson and Weld,87
Abington,,4,U.S. House,8th,,Blank Votes,87
Abington,,4,President,,(Write-In),Moorehead and Lilly,0
Abington,,4,President,,(Write-In),Mcmullin and Johnson,0
Abington,,4,State House,7th Plymouth,,Blank Votes,520
Abington,,4,State House,7th Plymouth,Republican,Geoff Diehl,1386
Abington,,4,President,,(Write-In),Kotlikoff and Leamer,0
Abington,,4,State Senate,Norfolk and Plymouth,,Total Votes Cast,1919
Abington,,4,U.S. House,8th,Republican,William Burke,655
Abington,,4,U.S. House,8th,,Total Votes Cast,1919
Abington,,5,President,,(Write-In),Kotlikoff and Leamer,0
Abington,,5,President,,(Write-In),Moorehead and Lilly,0
Abington,,5,U.S. House,8th,Democratic,Stephen F. Lynch,1166
Abington,,5,State Senate,Norfolk and Plymouth,,Total Votes Cast,1887
Abington,,5,President,,Republican,Trump and Pence,829
Abington,,5,State House,7th Plymouth,,All Others,12
Abington,,5,President,,(Write-In),Feegbeh and O'Brien,0
Abington,,5,President,,(Write-In),Mcmullin and Johnson,0
Abington,,5,President,,(Write-In),Schoenke and Mitchel,0
Abington,,5,U.S. House,8th,,Total Votes Cast,1887
Abington,,5,President,,Democratic,Clinton and Kaine,908
Abington,,5,U.S. House,8th,,Blank Votes,78
Abington,,5,State Senate,Norfolk and Plymouth,,All Others,2
Abington,,5,President,,,Blank Votes,28
Abington,,5,U.S. House,8th,,All Others,0
Abington,,5,President,,Libertarian,Johnson and Weld,86
Abington,,5,President,,,No Preference,0
Abington,,5,President,,,Total Votes Cast,1887
Abington,,5,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,1081
Abington,,5,President,,Green-rainbow,Stein and Baraka,16
Abington,,5,State Senate,Norfolk and Plymouth,,Blank Votes,291
Abington,,5,State Senate,Norfolk and Plymouth,Unenrolled,Alexander N. Mendez,513
