town,ward,precinct,office,district,party,candidate,votes
Abington,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,15
Abington,,1,U.S. Senate,,,Total Votes Cast,1554
Abington,,1,U.S. Senate,,,All Others,0
Abington,,1,U.S. Senate,,Republican,Scott P. Brown,1021
Abington,,1,U.S. Senate,,Democratic,Martha Coakley,518
Abington,,1,U.S. Senate,,,Blank Votes,0
Abington,,2,U.S. Senate,,,All Others,0
Abington,,2,U.S. Senate,,,Total Votes Cast,1304
Abington,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,16
Abington,,2,U.S. Senate,,Republican,Scott P. Brown,824
Abington,,2,U.S. Senate,,Democratic,Martha Coakley,464
Abington,,2,U.S. Senate,,,Blank Votes,0
Abington,,3,U.S. Senate,,,Blank Votes,0
Abington,,3,U.S. Senate,,Democratic,Martha Coakley,488
Abington,,3,U.S. Senate,,Republican,Scott P. Brown,1021
Abington,,3,U.S. Senate,,,All Others,0
Abington,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,17
Abington,,3,U.S. Senate,,,Total Votes Cast,1526
Abington,,4,U.S. Senate,,Democratic,Martha Coakley,618
Abington,,4,U.S. Senate,,,Total Votes Cast,1929
Abington,,4,U.S. Senate,,,Blank Votes,0
Abington,,4,U.S. Senate,,Republican,Scott P. Brown,1297
Abington,,4,U.S. Senate,,,All Others,1
Abington,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,13
Acton,,1,U.S. Senate,,,Total Votes Cast,1472
Acton,,1,U.S. Senate,,,Blank Votes,0
Acton,,1,U.S. Senate,,Democratic,Martha Coakley,861
Acton,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Acton,,1,U.S. Senate,,,All Others,0
Acton,,1,U.S. Senate,,Republican,Scott P. Brown,605
Acton,,2,U.S. Senate,,,Blank Votes,0
Acton,,2,U.S. Senate,,,Total Votes Cast,1550
Acton,,2,U.S. Senate,,,All Others,0
Acton,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Acton,,2,U.S. Senate,,Democratic,Martha Coakley,843
Acton,,2,U.S. Senate,,Republican,Scott P. Brown,698
Acton,,3,U.S. Senate,,,All Others,1
Acton,,3,U.S. Senate,,Democratic,Martha Coakley,1046
Acton,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,20
Acton,,3,U.S. Senate,,,Total Votes Cast,1799
Acton,,3,U.S. Senate,,,Blank Votes,1
Acton,,3,U.S. Senate,,Republican,Scott P. Brown,731
Acton,,4,U.S. Senate,,Democratic,Martha Coakley,922
Acton,,4,U.S. Senate,,,All Others,2
Acton,,4,U.S. Senate,,Republican,Scott P. Brown,619
Acton,,4,U.S. Senate,,,Blank Votes,0
Acton,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,16
Acton,,4,U.S. Senate,,,Total Votes Cast,1559
Acton,,5,U.S. Senate,,Democratic,Martha Coakley,921
Acton,,5,U.S. Senate,,,Blank Votes,0
Acton,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Acton,,5,U.S. Senate,,,Total Votes Cast,1501
Acton,,5,U.S. Senate,,Republican,Scott P. Brown,570
Acton,,5,U.S. Senate,,,All Others,1
Acton,,6,U.S. Senate,,,Blank Votes,0
Acton,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,11
Acton,,6,U.S. Senate,,,Total Votes Cast,1472
Acton,,6,U.S. Senate,,Republican,Scott P. Brown,678
Acton,,6,U.S. Senate,,Democratic,Martha Coakley,782
Acton,,6,U.S. Senate,,,All Others,1
Acushnet,,1,U.S. Senate,,,All Others,0
Acushnet,,1,U.S. Senate,,,Blank Votes,4
Acushnet,,1,U.S. Senate,,Republican,Scott P. Brown,559
Acushnet,,1,U.S. Senate,,Democratic,Martha Coakley,499
Acushnet,,1,U.S. Senate,,,Total Votes Cast,1072
Acushnet,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,10
Acushnet,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Acushnet,,2,U.S. Senate,,,Blank Votes,5
Acushnet,,2,U.S. Senate,,,All Others,0
Acushnet,,2,U.S. Senate,,Republican,Scott P. Brown,784
Acushnet,,2,U.S. Senate,,Democratic,Martha Coakley,580
Acushnet,,2,U.S. Senate,,,Total Votes Cast,1378
Acushnet,,3,U.S. Senate,,Democratic,Martha Coakley,548
Acushnet,,3,U.S. Senate,,,Blank Votes,3
Acushnet,,3,U.S. Senate,,,All Others,0
Acushnet,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,15
Acushnet,,3,U.S. Senate,,Republican,Scott P. Brown,796
Acushnet,,3,U.S. Senate,,,Total Votes Cast,1362
Adams,,1,U.S. Senate,,Democratic,Martha Coakley,278
Adams,,1,U.S. Senate,,Republican,Scott P. Brown,131
Adams,,1,U.S. Senate,,,Blank Votes,0
Adams,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Adams,,1,U.S. Senate,,,Total Votes Cast,416
Adams,,1,U.S. Senate,,,All Others,0
Adams,,2,U.S. Senate,,Republican,Scott P. Brown,174
Adams,,2,U.S. Senate,,Democratic,Martha Coakley,340
Adams,,2,U.S. Senate,,,Total Votes Cast,518
Adams,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,4
Adams,,2,U.S. Senate,,,All Others,0
Adams,,2,U.S. Senate,,,Blank Votes,0
Adams,,3,U.S. Senate,,Republican,Scott P. Brown,150
Adams,,3,U.S. Senate,,,Total Votes Cast,491
Adams,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,2
Adams,,3,U.S. Senate,,Democratic,Martha Coakley,339
Adams,,3,U.S. Senate,,,Blank Votes,0
Adams,,3,U.S. Senate,,,All Others,0
Adams,,4,U.S. Senate,,Democratic,Martha Coakley,287
Adams,,4,U.S. Senate,,,All Others,0
Adams,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Adams,,4,U.S. Senate,,Republican,Scott P. Brown,115
Adams,,4,U.S. Senate,,,Blank Votes,0
Adams,,4,U.S. Senate,,,Total Votes Cast,408
Adams,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Adams,,5,U.S. Senate,,,Blank Votes,0
Adams,,5,U.S. Senate,,,All Others,0
Adams,,5,U.S. Senate,,Republican,Scott P. Brown,178
Adams,,5,U.S. Senate,,Democratic,Martha Coakley,407
Adams,,5,U.S. Senate,,,Total Votes Cast,592
Agawam,,1,U.S. Senate,,Republican,Scott P. Brown,714
Agawam,,1,U.S. Senate,,,Blank Votes,0
Agawam,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,19
Agawam,,1,U.S. Senate,,Democratic,Martha Coakley,397
Agawam,,1,U.S. Senate,,,Total Votes Cast,1132
Agawam,,1,U.S. Senate,,,All Others,2
Agawam,,2,U.S. Senate,,,All Others,0
Agawam,,2,U.S. Senate,,,Blank Votes,0
Agawam,,2,U.S. Senate,,Republican,Scott P. Brown,1036
Agawam,,2,U.S. Senate,,,Total Votes Cast,1531
Agawam,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,20
Agawam,,2,U.S. Senate,,Democratic,Martha Coakley,475
Agawam,,3,U.S. Senate,,Republican,Scott P. Brown,765
Agawam,,3,U.S. Senate,,,All Others,0
Agawam,,3,U.S. Senate,,,Total Votes Cast,1241
Agawam,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,18
Agawam,,3,U.S. Senate,,Democratic,Martha Coakley,458
Agawam,,3,U.S. Senate,,,Blank Votes,0
Agawam,,4,U.S. Senate,,,Total Votes Cast,1157
Agawam,,4,U.S. Senate,,,All Others,0
Agawam,,4,U.S. Senate,,Republican,Scott P. Brown,706
Agawam,,4,U.S. Senate,,Democratic,Martha Coakley,425
Agawam,,4,U.S. Senate,,,Blank Votes,0
Agawam,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,26
Agawam,,5,U.S. Senate,,,Blank Votes,0
Agawam,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,20
Agawam,,5,U.S. Senate,,Democratic,Martha Coakley,516
Agawam,,5,U.S. Senate,,Republican,Scott P. Brown,900
Agawam,,5,U.S. Senate,,,Total Votes Cast,1437
Agawam,,5,U.S. Senate,,,All Others,1
Agawam,,6,U.S. Senate,,,All Others,0
Agawam,,6,U.S. Senate,,,Total Votes Cast,1310
Agawam,,6,U.S. Senate,,Republican,Scott P. Brown,879
Agawam,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,14
Agawam,,6,U.S. Senate,,,Blank Votes,0
Agawam,,6,U.S. Senate,,Democratic,Martha Coakley,417
Agawam,,7,U.S. Senate,,,All Others,1
Agawam,,7,U.S. Senate,,Democratic,Martha Coakley,451
Agawam,,7,U.S. Senate,,Republican,Scott P. Brown,847
Agawam,,7,U.S. Senate,,Unenrolled,Joseph L. Kennedy,17
Agawam,,7,U.S. Senate,,,Blank Votes,0
Agawam,,7,U.S. Senate,,,Total Votes Cast,1316
Agawam,,8,U.S. Senate,,Unenrolled,Joseph L. Kennedy,20
Agawam,,8,U.S. Senate,,Republican,Scott P. Brown,879
Agawam,,8,U.S. Senate,,Democratic,Martha Coakley,522
Agawam,,8,U.S. Senate,,,Total Votes Cast,1421
Agawam,,8,U.S. Senate,,,Blank Votes,0
Agawam,,8,U.S. Senate,,,All Others,0
Alford,,1,U.S. Senate,,,Total Votes Cast,227
Alford,,1,U.S. Senate,,Democratic,Martha Coakley,157
Alford,,1,U.S. Senate,,,All Others,0
Alford,,1,U.S. Senate,,Republican,Scott P. Brown,68
Alford,,1,U.S. Senate,,,Blank Votes,0
Alford,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,2
Amesbury,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Amesbury,,1,U.S. Senate,,Democratic,Martha Coakley,521
Amesbury,,1,U.S. Senate,,,Total Votes Cast,1320
Amesbury,,1,U.S. Senate,,,All Others,0
Amesbury,,1,U.S. Senate,,Republican,Scott P. Brown,792
Amesbury,,1,U.S. Senate,,,Blank Votes,1
Amesbury,,2,U.S. Senate,,Democratic,Martha Coakley,384
Amesbury,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Amesbury,,2,U.S. Senate,,,Blank Votes,0
Amesbury,,2,U.S. Senate,,,Total Votes Cast,913
Amesbury,,2,U.S. Senate,,,All Others,2
Amesbury,,2,U.S. Senate,,Republican,Scott P. Brown,518
Amesbury,,3,U.S. Senate,,Republican,Scott P. Brown,602
Amesbury,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,15
Amesbury,,3,U.S. Senate,,Democratic,Martha Coakley,500
Amesbury,,3,U.S. Senate,,,Blank Votes,0
Amesbury,,3,U.S. Senate,,,All Others,0
Amesbury,,3,U.S. Senate,,,Total Votes Cast,1117
Amesbury,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,11
Amesbury,,4,U.S. Senate,,,Total Votes Cast,725
Amesbury,,4,U.S. Senate,,Democratic,Martha Coakley,292
Amesbury,,4,U.S. Senate,,,All Others,0
Amesbury,,4,U.S. Senate,,,Blank Votes,0
Amesbury,,4,U.S. Senate,,Republican,Scott P. Brown,422
Amesbury,,5,U.S. Senate,,,All Others,1
Amesbury,,5,U.S. Senate,,Democratic,Martha Coakley,429
Amesbury,,5,U.S. Senate,,,Total Votes Cast,1195
Amesbury,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,12
Amesbury,,5,U.S. Senate,,,Blank Votes,0
Amesbury,,5,U.S. Senate,,Republican,Scott P. Brown,753
Amesbury,,6,U.S. Senate,,Republican,Scott P. Brown,394
Amesbury,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,17
Amesbury,,6,U.S. Senate,,,Total Votes Cast,834
Amesbury,,6,U.S. Senate,,,All Others,1
Amesbury,,6,U.S. Senate,,Democratic,Martha Coakley,418
Amesbury,,6,U.S. Senate,,,Blank Votes,4
Amherst,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Amherst,,1,U.S. Senate,,Democratic,Martha Coakley,440
Amherst,,1,U.S. Senate,,Republican,Scott P. Brown,73
Amherst,,1,U.S. Senate,,,Total Votes Cast,520
Amherst,,1,U.S. Senate,,,All Others,1
Amherst,,1,U.S. Senate,,,Blank Votes,0
Amherst,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,4
Amherst,,2,U.S. Senate,,,Total Votes Cast,919
Amherst,,2,U.S. Senate,,,All Others,0
Amherst,,2,U.S. Senate,,,Blank Votes,0
Amherst,,2,U.S. Senate,,Democratic,Martha Coakley,771
Amherst,,2,U.S. Senate,,Republican,Scott P. Brown,144
Amherst,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,4
Amherst,,3,U.S. Senate,,Democratic,Martha Coakley,398
Amherst,,3,U.S. Senate,,,Blank Votes,0
Amherst,,3,U.S. Senate,,Republican,Scott P. Brown,68
Amherst,,3,U.S. Senate,,,Total Votes Cast,470
Amherst,,3,U.S. Senate,,,All Others,0
Amherst,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,2
Amherst,,4,U.S. Senate,,,Total Votes Cast,425
Amherst,,4,U.S. Senate,,Republican,Scott P. Brown,73
Amherst,,4,U.S. Senate,,Democratic,Martha Coakley,350
Amherst,,4,U.S. Senate,,,Blank Votes,0
Amherst,,4,U.S. Senate,,,All Others,0
Amherst,,5,U.S. Senate,,Republican,Scott P. Brown,94
Amherst,,5,U.S. Senate,,,Total Votes Cast,727
Amherst,,5,U.S. Senate,,,Blank Votes,0
Amherst,,5,U.S. Senate,,,All Others,0
Amherst,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,8
Amherst,,5,U.S. Senate,,Democratic,Martha Coakley,625
Amherst,,6,U.S. Senate,,,Blank Votes,0
Amherst,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Amherst,,6,U.S. Senate,,Republican,Scott P. Brown,183
Amherst,,6,U.S. Senate,,Democratic,Martha Coakley,987
Amherst,,6,U.S. Senate,,,Total Votes Cast,1176
Amherst,,6,U.S. Senate,,,All Others,0
Amherst,,7,U.S. Senate,,,All Others,1
Amherst,,7,U.S. Senate,,Republican,Scott P. Brown,141
Amherst,,7,U.S. Senate,,Unenrolled,Joseph L. Kennedy,10
Amherst,,7,U.S. Senate,,Democratic,Martha Coakley,761
Amherst,,7,U.S. Senate,,,Blank Votes,0
Amherst,,7,U.S. Senate,,,Total Votes Cast,913
Amherst,,8,U.S. Senate,,Unenrolled,Joseph L. Kennedy,11
Amherst,,8,U.S. Senate,,,Blank Votes,0
Amherst,,8,U.S. Senate,,Republican,Scott P. Brown,226
Amherst,,8,U.S. Senate,,Democratic,Martha Coakley,1208
Amherst,,8,U.S. Senate,,,Total Votes Cast,1445
Amherst,,8,U.S. Senate,,,All Others,0
Amherst,,9,U.S. Senate,,,All Others,2
Amherst,,9,U.S. Senate,,Democratic,Martha Coakley,675
Amherst,,9,U.S. Senate,,,Total Votes Cast,810
Amherst,,9,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Amherst,,9,U.S. Senate,,Republican,Scott P. Brown,124
Amherst,,9,U.S. Senate,,,Blank Votes,0
Amherst,,10,U.S. Senate,,Democratic,Martha Coakley,339
Amherst,,10,U.S. Senate,,,Total Votes Cast,397
Amherst,,10,U.S. Senate,,,All Others,0
Amherst,,10,U.S. Senate,,,Blank Votes,0
Amherst,,10,U.S. Senate,,Unenrolled,Joseph L. Kennedy,4
Amherst,,10,U.S. Senate,,Republican,Scott P. Brown,54
Amherst,,10A,U.S. Senate,,,All Others,0
Amherst,,10A,U.S. Senate,,Democratic,Martha Coakley,0
Amherst,,10A,U.S. Senate,,Republican,Scott P. Brown,0
Amherst,,10A,U.S. Senate,,,Blank Votes,0
Amherst,,10A,U.S. Senate,,Unenrolled,Joseph L. Kennedy,0
Amherst,,10A,U.S. Senate,,,Total Votes Cast,0
Amherst,,3A,U.S. Senate,,,Total Votes Cast,0
Amherst,,3A,U.S. Senate,,Democratic,Martha Coakley,0
Amherst,,3A,U.S. Senate,,Unenrolled,Joseph L. Kennedy,0
Amherst,,3A,U.S. Senate,,Republican,Scott P. Brown,0
Amherst,,3A,U.S. Senate,,,All Others,0
Amherst,,3A,U.S. Senate,,,Blank Votes,0
Amherst,,4A,U.S. Senate,,,Blank Votes,0
Amherst,,4A,U.S. Senate,,Unenrolled,Joseph L. Kennedy,0
Amherst,,4A,U.S. Senate,,Democratic,Martha Coakley,0
Amherst,,4A,U.S. Senate,,Republican,Scott P. Brown,0
Amherst,,4A,U.S. Senate,,,Total Votes Cast,0
Amherst,,4A,U.S. Senate,,,All Others,0
Amherst,,9A,U.S. Senate,,,Total Votes Cast,0
Amherst,,9A,U.S. Senate,,,Blank Votes,0
Amherst,,9A,U.S. Senate,,Republican,Scott P. Brown,0
Amherst,,9A,U.S. Senate,,,All Others,0
Amherst,,9A,U.S. Senate,,Unenrolled,Joseph L. Kennedy,0
Amherst,,9A,U.S. Senate,,Democratic,Martha Coakley,0
Andover,,1,U.S. Senate,,,Total Votes Cast,1524
Andover,,1,U.S. Senate,,Republican,Scott P. Brown,729
Andover,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,10
Andover,,1,U.S. Senate,,Democratic,Martha Coakley,782
Andover,,1,U.S. Senate,,,Blank Votes,1
Andover,,1,U.S. Senate,,,All Others,2
Andover,,2,U.S. Senate,,,Blank Votes,1
Andover,,2,U.S. Senate,,Republican,Scott P. Brown,896
Andover,,2,U.S. Senate,,Democratic,Martha Coakley,600
Andover,,2,U.S. Senate,,,All Others,0
Andover,,2,U.S. Senate,,,Total Votes Cast,1504
Andover,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Andover,,3,U.S. Senate,,,All Others,0
Andover,,3,U.S. Senate,,Democratic,Martha Coakley,764
Andover,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,12
Andover,,3,U.S. Senate,,,Blank Votes,1
Andover,,3,U.S. Senate,,Republican,Scott P. Brown,932
Andover,,3,U.S. Senate,,,Total Votes Cast,1709
Andover,,4,U.S. Senate,,,All Others,2
Andover,,4,U.S. Senate,,,Blank Votes,0
Andover,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Andover,,4,U.S. Senate,,,Total Votes Cast,1461
Andover,,4,U.S. Senate,,Democratic,Martha Coakley,530
Andover,,4,U.S. Senate,,Republican,Scott P. Brown,924
Andover,,5,U.S. Senate,,,Total Votes Cast,1554
Andover,,5,U.S. Senate,,Republican,Scott P. Brown,941
Andover,,5,U.S. Senate,,,All Others,1
Andover,,5,U.S. Senate,,,Blank Votes,0
Andover,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Andover,,5,U.S. Senate,,Democratic,Martha Coakley,607
Andover,,6,U.S. Senate,,Republican,Scott P. Brown,970
Andover,,6,U.S. Senate,,,Total Votes Cast,1528
Andover,,6,U.S. Senate,,,All Others,0
Andover,,6,U.S. Senate,,,Blank Votes,0
Andover,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Andover,,6,U.S. Senate,,Democratic,Martha Coakley,553
Andover,,7,U.S. Senate,,Democratic,Martha Coakley,649
Andover,,7,U.S. Senate,,,All Others,0
Andover,,7,U.S. Senate,,Unenrolled,Joseph L. Kennedy,15
Andover,,7,U.S. Senate,,,Blank Votes,0
Andover,,7,U.S. Senate,,,Total Votes Cast,1632
Andover,,7,U.S. Senate,,Republican,Scott P. Brown,968
Andover,,8,U.S. Senate,,,Blank Votes,0
Andover,,8,U.S. Senate,,Democratic,Martha Coakley,753
Andover,,8,U.S. Senate,,Unenrolled,Joseph L. Kennedy,10
Andover,,8,U.S. Senate,,,All Others,0
Andover,,8,U.S. Senate,,Republican,Scott P. Brown,1025
Andover,,8,U.S. Senate,,,Total Votes Cast,1788
Andover,,9,U.S. Senate,,Republican,Scott P. Brown,953
Andover,,9,U.S. Senate,,,Total Votes Cast,1632
Andover,,9,U.S. Senate,,,All Others,0
Andover,,9,U.S. Senate,,Democratic,Martha Coakley,667
Andover,,9,U.S. Senate,,Unenrolled,Joseph L. Kennedy,12
Andover,,9,U.S. Senate,,,Blank Votes,0
Aquinnah,,1,U.S. Senate,,,Total Votes Cast,193
Aquinnah,,1,U.S. Senate,,Democratic,Martha Coakley,150
Aquinnah,,1,U.S. Senate,,Republican,Scott P. Brown,42
Aquinnah,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,1
Aquinnah,,1,U.S. Senate,,,All Others,0
Aquinnah,,1,U.S. Senate,,,Blank Votes,0
Arlington,,1,U.S. Senate,,,Blank Votes,0
Arlington,,1,U.S. Senate,,Republican,Scott P. Brown,175
Arlington,,1,U.S. Senate,,,Total Votes Cast,599
Arlington,,1,U.S. Senate,,,All Others,0
Arlington,,1,U.S. Senate,,Unenrolled,Joseph L. Kennedy,3
Arlington,,1,U.S. Senate,,Democratic,Martha Coakley,421
Arlington,,2,U.S. Senate,,Republican,Scott P. Brown,323
Arlington,,2,U.S. Senate,,,Total Votes Cast,957
Arlington,,2,U.S. Senate,,Democratic,Martha Coakley,621
Arlington,,2,U.S. Senate,,,Blank Votes,0
Arlington,,2,U.S. Senate,,,All Others,2
Arlington,,2,U.S. Senate,,Unenrolled,Joseph L. Kennedy,11
Arlington,,3,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Arlington,,3,U.S. Senate,,Democratic,Martha Coakley,639
Arlington,,3,U.S. Senate,,,Total Votes Cast,879
Arlington,,3,U.S. Senate,,,Blank Votes,0
Arlington,,3,U.S. Senate,,Republican,Scott P. Brown,233
Arlington,,3,U.S. Senate,,,All Others,1
Arlington,,4,U.S. Senate,,,Total Votes Cast,846
Arlington,,4,U.S. Senate,,,Blank Votes,0
Arlington,,4,U.S. Senate,,Unenrolled,Joseph L. Kennedy,13
Arlington,,4,U.S. Senate,,Republican,Scott P. Brown,237
Arlington,,4,U.S. Senate,,,All Others,1
Arlington,,4,U.S. Senate,,Democratic,Martha Coakley,595
Arlington,,5,U.S. Senate,,Republican,Scott P. Brown,324
Arlington,,5,U.S. Senate,,Democratic,Martha Coakley,567
Arlington,,5,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Arlington,,5,U.S. Senate,,,All Others,3
Arlington,,5,U.S. Senate,,,Blank Votes,0
Arlington,,5,U.S. Senate,,,Total Votes Cast,899
Arlington,,6,U.S. Senate,,,All Others,1
Arlington,,6,U.S. Senate,,Republican,Scott P. Brown,274
Arlington,,6,U.S. Senate,,Democratic,Martha Coakley,687
Arlington,,6,U.S. Senate,,Unenrolled,Joseph L. Kennedy,9
Arlington,,6,U.S. Senate,,,Blank Votes,0
Arlington,,6,U.S. Senate,,,Total Votes Cast,971
Arlington,,7,U.S. Senate,,Democratic,Martha Coakley,548
Arlington,,7,U.S. Senate,,Republican,Scott P. Brown,229
Arlington,,7,U.S. Senate,,,All Others,2
Arlington,,7,U.S. Senate,,,Blank Votes,0
Arlington,,7,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Arlington,,7,U.S. Senate,,,Total Votes Cast,786
Arlington,,8,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Arlington,,8,U.S. Senate,,,All Others,2
Arlington,,8,U.S. Senate,,,Total Votes Cast,1108
Arlington,,8,U.S. Senate,,,Blank Votes,0
Arlington,,8,U.S. Senate,,Democratic,Martha Coakley,868
Arlington,,8,U.S. Senate,,Republican,Scott P. Brown,231
Arlington,,9,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Arlington,,9,U.S. Senate,,Republican,Scott P. Brown,389
Arlington,,9,U.S. Senate,,,Total Votes Cast,1003
Arlington,,9,U.S. Senate,,Democratic,Martha Coakley,608
Arlington,,9,U.S. Senate,,,All Others,1
Arlington,,9,U.S. Senate,,,Blank Votes,0
Arlington,,10,U.S. Senate,,,Total Votes Cast,1092
Arlington,,10,U.S. Senate,,,Blank Votes,0
Arlington,,10,U.S. Senate,,,All Others,3
Arlington,,10,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Arlington,,10,U.S. Senate,,Democratic,Martha Coakley,758
Arlington,,10,U.S. Senate,,Republican,Scott P. Brown,325
Arlington,,11,U.S. Senate,,Unenrolled,Joseph L. Kennedy,6
Arlington,,11,U.S. Senate,,Republican,Scott P. Brown,431
Arlington,,11,U.S. Senate,,,Blank Votes,0
Arlington,,11,U.S. Senate,,,All Others,1
Arlington,,11,U.S. Senate,,Democratic,Martha Coakley,614
Arlington,,11,U.S. Senate,,,Total Votes Cast,1052
Arlington,,12,U.S. Senate,,,All Others,4
Arlington,,12,U.S. Senate,,Republican,Scott P. Brown,391
Arlington,,12,U.S. Senate,,,Total Votes Cast,1236
Arlington,,12,U.S. Senate,,,Blank Votes,0
Arlington,,12,U.S. Senate,,Unenrolled,Joseph L. Kennedy,8
Arlington,,12,U.S. Senate,,Democratic,Martha Coakley,833
Arlington,,13,U.S. Senate,,,All Others,0
Arlington,,13,U.S. Senate,,Democratic,Martha Coakley,513
Arlington,,13,U.S. Senate,,Republican,Scott P. Brown,576
Arlington,,13,U.S. Senate,,Unenrolled,Joseph L. Kennedy,5
Arlington,,13,U.S. Senate,,,Blank Votes,0
Arlington,,13,U.S. Senate,,,Total Votes Cast,1094
Arlington,,14,U.S. Senate,,Democratic,Martha Coakley,650
Arlington,,14,U.S. Senate,,,Total Votes Cast,937
Arlington,,14,U.S. Senate,,,Blank Votes,0
Arlington,,14,U.S. Senate,,,All Others,1
Arlington,,14,U.S. Senate,,Republican,Scott P. Brown,278
Arlington,,14,U.S. Senate,,Unenrolled,Joseph L. Kennedy,8
Arlington,,15,U.S. Senate,,,All Others,0
Arlington,,15,U.S. Senate,,,Total Votes Cast,1136
Arlington,,15,U.S. Senate,,,Blank Votes,0
Arlington,,15,U.S. Senate,,Democratic,Martha Coakley,716
Arlington,,15,U.S. Senate,,Unenrolled,Joseph L. Kennedy,14
Arlington,,15,U.S. Senate,,Republican,Scott P. Brown,406
