town,ward,precinct,office,district,party,candidate,votes
Arlington,,16,U.S. Senate,,,Blank Votes,0
Arlington,,16,U.S. Senate,,,Total Votes Cast,1084
Arlington,,16,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Arlington,,16,U.S. Senate,,Republican,Scott P. Brown,372
Arlington,,16,U.S. Senate,,,All Others,0
Arlington,,16,U.S. Senate,,Democratic,Martha Coakley,705
Arlington,,17,U.S. Senate,,,Blank Votes,0
Arlington,,17,U.S. Senate,,,Total Votes Cast,575
Arlington,,17,U.S. Senate,,Republican,Scott P. Brown,177
Arlington,,17,U.S. Senate,,Democratic,Martha Coakley,389
Arlington,,17,U.S. Senate,,,All Others,2
Arlington,,17,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Arlington,,18,U.S. Senate,,Unenrolled,Joseph L. Kennedy,11
Arlington,,18,U.S. Senate,,Democratic,Martha Coakley,565
Arlington,,18,U.S. Senate,,Republican,Scott P. Brown,498
Arlington,,18,U.S. Senate,,,Total Votes Cast,1074
Arlington,,18,U.S. Senate,,,All Others,0
Arlington,,18,U.S. Senate,,,Blank Votes,0
Arlington,,19,U.S. Senate,,Democratic,Martha Coakley,703
Arlington,,19,U.S. Senate,,,Total Votes Cast,1083
Arlington,,19,U.S. Senate,,Unenrolled,Joseph L. Kennedy,7
Arlington,,19,U.S. Senate,,Republican,Scott P. Brown,369
Arlington,,19,U.S. Senate,,,All Others,4
Arlington,,19,U.S. Senate,,,Blank Votes,0
Arlington,,20,U.S. Senate,,,Total Votes Cast,950
Arlington,,20,U.S. Senate,,Democratic,Martha Coakley,635
Arlington,,20,U.S. Senate,,,All Others,2
Arlington,,20,U.S. Senate,,,Blank Votes,0
