town,ward,precinct,office,district,party,candidate,votes
Sherborn,-,1,President,,Republican,No Preference,6
Sturbridge,-,2,President,,Democratic,Barack Obama,53
Stoughton,-,1,President,,Republican,Rick Perry,0
Wilmington,-,1,President,,Democratic,Total Votes Cast,74
Westport,-,B,President,,Republican,All Others,0
Wales,-,1,President,,Green-Rainbow,Jill E. Stein,3
Nahant,-,1,President,,Democratic,All Others,4
Shrewsbury,-,8,President,,Green-Rainbow,Total Votes Cast,0
Raynham,-,2A,President,,Republican,All Others,0
Weymouth,-,17,President,,Green-Rainbow,All Others,0
Burlington,-,1,President,,Democratic,All Others,2
Westford,-,1,President,,Republican,Rick Santorum,36
Peabody,3,2,President,,Democratic,All Others,4
Milton,-,1,President,,Republican,Newt Gingrich,5
Newton,4,1,President,,Republican,Total Votes Cast,111
Burlington,-,3,President,,Republican,No Preference,0
Hopkinton,-,4,President,,Republican,Mitt Romney,239
Easthampton,-,3,President,,Democratic,Barack Obama,51
Milton,-,10,President,,Republican,All Others,0
Cambridge,10,3,President,,Republican,Blank Votes,2
Boston,5,2A,President,,Republican,All Others,0
Newton,4,2,President,,Democratic,No Preference,6
Framingham,-,17,President,,Democratic,Total Votes Cast,31
Boston,21,15,President,,Republican,All Others,0
Boston,6,9,President,,Green-Rainbow,All Others,0
Cambridge,1,1,President,,Green-Rainbow,Jill E. Stein,0
Barnstable,-,7,President,,Democratic,All Others,0
Charlemont,-,1,President,,Democratic,Barack Obama,32
Boston,3,7,President,,Green-Rainbow,Harley Mikkelson,0
Boston,20,1,President,,Republican,Mitt Romney,46
Gardner,2,B,President,,Republican,Mitt Romney,69
Woburn,2,1,President,,Republican,Rick Perry,1
Salem,1,2,President,,Green-Rainbow,All Others,0
Monson,-,A,President,,Republican,Ron Paul,16
Longmeadow,-,D,President,,Green-Rainbow,Harley Mikkelson,0
Chelsea,2,4,President,,Republican,All Others,0
Boston,18,3,President,,Democratic,Total Votes Cast,99
Cambridge,3,1,President,,Republican,Ron Paul,9
Worcester,5,4,President,,Republican,Newt Gingrich,15
Plymouth,-,11,President,,Green-Rainbow,Kent Mesplay,0
Woburn,6,2,President,,Republican,Rick Perry,0
Salem,5,2,President,,Republican,All Others,0
Hamilton,-,3,President,,Republican,Blank Votes,1
