town,ward,precinct,office,district,party,candidate,votes
Harvard,-,1,President,,Green-Rainbow,Kent Mesplay,0
Wareham,-,4,President,,Green-Rainbow,All Others,0
Worcester,9,5,President,,Republican,No Preference,3
Royalston,-,1,President,,Republican,Rick Perry,0
Wilbraham,-,A,President,,Green-Rainbow,Harley Mikkelson,0
Northampton,7,A,President,,Green-Rainbow,Total Votes Cast,1
Everett,5,2,President,,Green-Rainbow,Harley Mikkelson,0
Fairhaven,-,3,President,,Democratic,Barack Obama,42
Framingham,-,13,President,,Democratic,Total Votes Cast,83
Belmont,-,6,President,,Democratic,Blank Votes,6
Boston,14,1,President,,Republican,Ron Paul,1
Arlington,-,10,President,,Republican,Ron Paul,21
Pepperell,-,3,President,,Republican,Blank Votes,1
Boston,19,11,President,,Republican,Ron Paul,4
W. Springfield,-,5,President,,Republican,Blank Votes,1
Boston,18,14,President,,Green-Rainbow,Total Votes Cast,0
Ludlow,-,5,President,,Republican,All Others,0
Fall River,1,C,President,,Republican,Rick Perry,0
Mansfield,-,6,President,,Republican,Total Votes Cast,225
N. Attleborough,-,6,President,,Republican,Mitt Romney,224
Fitchburg,2,B,President,,Democratic,No Preference,11
Wilmington,-,5,President,,Green-Rainbow,Blank Votes,0
New Bedford,6,C,President,,Republican,Ron Paul,2
Framingham,-,18,President,,Green-Rainbow,Jill E. Stein,2
Lynn,1,1,President,,Republican,Rick Perry,0
Worcester,10,4,President,,Democratic,Blank Votes,0
Worcester,3,1,President,,Green-Rainbow,Blank Votes,0
Boston,22,7,President,,Republican,Total Votes Cast,56
Boston,18,16,President,,Democratic,Total Votes Cast,93
Boston,3,3,President,,Republican,Rick Santorum,5
Boston,9,3,President,,Republican,Michele Bachmann,1
Rowley,-,1,President,,Republican,No Preference,1
Phillipston,-,1,President,,Democratic,Blank Votes,2
Framingham,-,9,President,,Democratic,Total Votes Cast,52
Hingham,-,3,President,,Green-Rainbow,Total Votes Cast,1
Boston,1,4,President,,Democratic,All Others,1
Woburn,6,2,President,,Republican,Michele Bachmann,0
Boston,18,23,President,,Republican,Ron Paul,0
Lawrence,A,3,President,,Green-Rainbow,Harley Mikkelson,0
Wareham,-,5,President,,Republican,Michele Bachmann,2
Andover,-,8,President,,Republican,Jon Huntsman,0
Berlin,-,1,President,,Republican,No Preference,0
Waltham,9,2,President,,Green-Rainbow,Harley Mikkelson,0
Hopkinton,-,2,President,,Democratic,No Preference,5
Springfield,5,B,President,,Republican,No Preference,0
Sharon,-,4,President,,Democratic,Blank Votes,1
Phillipston,-,1,President,,Republican,No Preference,3
Melrose,3,1,President,,Republican,Total Votes Cast,128
Lawrence,C,4,President,,Green-Rainbow,Kent Mesplay,1
Worcester,3,3,President,,Democratic,Blank Votes,4
Holliston,-,3,President,,Democratic,Barack Obama,70
Weymouth,-,12,President,,Republican,No Preference,0
Tyngsborough,-,2,President,,Republican,Total Votes Cast,260
Harvard,-,1,President,,Green-Rainbow,No Preference,0
Barnstable,-,1,President,,Democratic,Barack Obama,103
Falmouth,-,5,President,,Republican,Newt Gingrich,27
Amherst,-,7,President,,Democratic,Blank Votes,1
Leominster,3,A,President,,Democratic,Total Votes Cast,31
Rowe,-,1,President,,Green-Rainbow,All Others,0
Plymouth,-,4,President,,Green-Rainbow,No Preference,0
Newton,3,2,President,,Green-Rainbow,Total Votes Cast,0
Woburn,5,1,President,,Republican,Michele Bachmann,0
Medford,4,1,President,,Green-Rainbow,Blank Votes,0
Dartmouth,-,6,President,,Republican,Jon Huntsman,0
Lynn,4,2,President,,Democratic,No Preference,2
Barnstable,-,6,President,,Republican,No Preference,1
Northampton,4,B,President,,Green-Rainbow,No Preference,0
Provincetown,-,1,President,,Republican,All Others,1
Cheshire,-,1,President,,Republican,Blank Votes,2
Auburn,-,3,President,,Republican,Jon Huntsman,1
Shelburne,-,1,President,,Republican,Rick Santorum,19
Boston,10,7,President,,Democratic,No Preference,0
Lowell,1,3,President,,Democratic,Barack Obama,61
Boston,17,11,President,,Republican,Rick Santorum,2
Stoughton,-,1,President,,Republican,Jon Huntsman,0
N. Andover,-,6,President,,Democratic,Total Votes Cast,87
Boston,13,6,President,,Republican,Ron Paul,3
Orange,-,1,President,,Democratic,No Preference,7
Abington,-,2,President,,Republican,Rick Perry,2
New Bedford,4,B,President,,Democratic,Barack Obama,58
Lowell,2,3,President,,Green-Rainbow,Jill E. Stein,0
Boston,1,2,President,,Republican,Mitt Romney,11
Brimfield,-,1,President,,Republican,Newt Gingrich,12
Billerica,-,9,President,,Republican,Michele Bachmann,1
Springfield,8,A,President,,Green-Rainbow,No Preference,0
Brockton,7,A,President,,Democratic,Barack Obama,35
Brookline,-,13,President,,Democratic,Blank Votes,3
Concord,-,3,President,,Republican,All Others,1
Brookline,-,1,President,,Democratic,No Preference,3
Boston,5,2A,President,,Green-Rainbow,Blank Votes,0
Georgetown,-,2,President,,Green-Rainbow,Kent Mesplay,0
Attleboro,4,B,President,,Democratic,Barack Obama,33
Mashpee,-,5,President,,Democratic,Blank Votes,3
Boston,1,3,President,,Republican,Rick Santorum,7
Newton,4,2,President,,Republican,Rick Perry,0
Spencer,-,1,President,,Republican,Blank Votes,1
Shelburne,-,1,President,,Democratic,Barack Obama,42
Chicopee,7,B,President,,Green-Rainbow,No Preference,0
Chicopee,2,A,President,,Democratic,Barack Obama,39
Boston,12,7,President,,Republican,Rick Santorum,0
Worcester,3,5,President,,Green-Rainbow,Harley Mikkelson,1
Leominster,2,A,President,,Republican,Total Votes Cast,67
Melrose,5,1,President,,Green-Rainbow,All Others,0
Randolph,-,2,President,,Republican,No Preference,1
Malden,6,2,President,,Democratic,All Others,3
E. Bridgewater,-,3,President,,Republican,Mitt Romney,215
Adams,-,4,President,,Green-Rainbow,No Preference,0
Boston,22,13,President,,Democratic,Total Votes Cast,28
Medford,2,1,President,,Democratic,Total Votes Cast,113
Westfield,6,A,President,,Green-Rainbow,No Preference,0
Yarmouth,-,3,President,,Republican,All Others,0
Cambridge,2,1,President,,Green-Rainbow,No Preference,0
Gardner,1,A,President,,Green-Rainbow,Jill E. Stein,0
Boston,17,14,President,,Green-Rainbow,Total Votes Cast,0
Milford,-,2,President,,Green-Rainbow,Total Votes Cast,0
Somerville,4,3,President,,Republican,Newt Gingrich,1
Haverhill,1,2,President,,Democratic,Blank Votes,5
Newton,6,4,President,,Green-Rainbow,Jill E. Stein,0
Peabody,6,2,President,,Democratic,No Preference,7
Boston,5,2A,President,,Democratic,Total Votes Cast,0
Shrewsbury,-,2,President,,Democratic,All Others,0
Lawrence,F,1,President,,Republican,Rick Perry,1
New Bedford,1,A,President,,Democratic,Blank Votes,9
Seekonk,-,2,President,,Republican,Blank Votes,1
Rehoboth,-,3,President,,Republican,Mitt Romney,146
Billerica,-,3,President,,Democratic,Barack Obama,61
Carver,-,1,President,,Green-Rainbow,Kent Mesplay,0
Seekonk,-,3,President,,Republican,No Preference,1
Agawam,-,5,President,,Green-Rainbow,Kent Mesplay,0
Arlington,-,17,President,,Democratic,Barack Obama,58
Haverhill,6,3,President,,Republican,Rick Perry,0
New Bedford,6,B,President,,Green-Rainbow,Kent Mesplay,0
Deerfield,-,1,President,,Green-Rainbow,Blank Votes,0
Boston,11,6,President,,Democratic,All Others,1
Beverly,5,1,President,,Green-Rainbow,No Preference,0
Southbridge,-,1,President,,Republican,Rick Perry,0
Boston,19,8,President,,Republican,Mitt Romney,12
Springfield,7,D,President,,Green-Rainbow,Blank Votes,0
Westborough,-,4,President,,Republican,Michele Bachmann,0
Boston,18,17,President,,Republican,No Preference,0
Milford,-,1,President,,Republican,Blank Votes,0
Boston,22,6,President,,Green-Rainbow,No Preference,0
Boston,4,5,President,,Green-Rainbow,Jill E. Stein,0
Holyoke,5,B,President,,Green-Rainbow,All Others,0
Lowell,9,1,President,,Republican,Rick Santorum,10
Boston,21,2,President,,Republican,Total Votes Cast,10
Boston,18,5,President,,Republican,No Preference,0
Barre,-,2,President,,Democratic,Barack Obama,36
Medford,8,1,President,,Republican,No Preference,1
Beverly,6,1,President,,Green-Rainbow,All Others,0
Hingham,-,3,President,,Republican,Ron Paul,22
Brockton,2,A,President,,Green-Rainbow,Jill E. Stein,0
Cambridge,5,1,President,,Green-Rainbow,Kent Mesplay,0
Grafton,-,2,President,,Green-Rainbow,All Others,0
Northbridge,-,3,President,,Republican,Ron Paul,37
Swansea,-,4,President,,Democratic,Barack Obama,27
Falmouth,-,5,President,,Green-Rainbow,Jill E. Stein,0
Winchester,-,6,President,,Republican,Blank Votes,0
Raynham,-,2,President,,Republican,Blank Votes,0
Harvard,-,1,President,,Green-Rainbow,Jill E. Stein,3
Waltham,9,2,President,,Democratic,No Preference,6
N. Adams,5,5,President,,Green-Rainbow,Blank Votes,0
Eastham,-,1,President,,Republican,Newt Gingrich,37
Medford,6,1,President,,Republican,Ron Paul,17
Cambridge,2,1,President,,Democratic,All Others,0
Boston,18,16,President,,Republican,No Preference,0
Somerville,3,3,President,,Green-Rainbow,All Others,0
Randolph,-,9,President,,Green-Rainbow,Blank Votes,0
Woburn,5,1,President,,Green-Rainbow,Harley Mikkelson,0
Boston,20,2,President,,Republican,All Others,0
Avon,-,1,President,,Republican,Mitt Romney,244
Groton,-,2,President,,Republican,Rick Perry,1
Boston,7,7,President,,Democratic,Blank Votes,10
Beverly,2,1,President,,Republican,Ron Paul,19
Westminster,-,1,President,,Republican,Michele Bachmann,0
Bedford,-,3,President,,Green-Rainbow,Kent Mesplay,0
Pittsfield,3,B,President,,Democratic,All Others,1
Webster,-,5,President,,Green-Rainbow,Harley Mikkelson,0
Boston,22,2,President,,Republican,Rick Santorum,3
Lawrence,E,4,President,,Republican,No Preference,0
Haverhill,5,1,President,,Democratic,Blank Votes,6
Holliston,-,3,President,,Republican,Mitt Romney,164
Worcester,5,4,President,,Green-Rainbow,Kent Mesplay,0
Brockton,5,C,President,,Democratic,All Others,0
Freetown,-,2,President,,Democratic,Total Votes Cast,47
Springfield,1,C,President,,Green-Rainbow,Jill E. Stein,0
Needham,-,I,President,,Green-Rainbow,Total Votes Cast,0
Brookline,-,16,President,,Green-Rainbow,Kent Mesplay,0
Plainfield,-,1,President,,Republican,Newt Gingrich,1
Everett,6,2,President,,Republican,Blank Votes,0
Rehoboth,-,1,President,,Republican,Ron Paul,22
Wellfleet,-,1,President,,Republican,Jon Huntsman,0
Wilmington,-,6,President,,Green-Rainbow,No Preference,0
Burlington,-,7,President,,Green-Rainbow,Jill E. Stein,1
Melrose,7,1,President,,Republican,No Preference,4
New Bedford,4,E,President,,Green-Rainbow,All Others,0
Methuen,-,3,President,,Republican,Rick Santorum,25
Brookline,-,10,President,,Republican,Ron Paul,19
Taunton,6,A,President,,Republican,Jon Huntsman,0
Duxbury,-,6,President,,Republican,Mitt Romney,222
Bridgewater,-,3,President,,Green-Rainbow,Kent Mesplay,0
Fitchburg,3,A,President,,Republican,Total Votes Cast,252
Quincy,2,1,President,,Democratic,Total Votes Cast,96
Wayland,-,2,President,,Green-Rainbow,No Preference,1
Peabody,4,1,President,,Democratic,No Preference,10
Randolph,-,1,President,,Republican,Total Votes Cast,98
Westford,-,1,President,,Green-Rainbow,Harley Mikkelson,0
Sudbury,-,5,President,,Democratic,Blank Votes,1
Boston,15,8,President,,Democratic,Total Votes Cast,27
Brookline,-,13,President,,Democratic,No Preference,1
Salem,7,1,President,,Democratic,Total Votes Cast,64
Wakefield,-,5,President,,Democratic,Barack Obama,107
Rowe,-,1,President,,Democratic,Blank Votes,2
Medford,4,1,President,,Green-Rainbow,Kent Mesplay,0
Boston,13,7,President,,Green-Rainbow,Jill E. Stein,0
Boston,6,7,President,,Green-Rainbow,Total Votes Cast,0
Boston,9,5,President,,Republican,Newt Gingrich,0
Springfield,4,C,President,,Democratic,Barack Obama,53
W. Brookfield,-,1,President,,Republican,Blank Votes,1
Westfield,5,B,President,,Republican,No Preference,2
Sudbury,-,2,President,,Republican,Rick Perry,0
Tewksbury,-,4,President,,Republican,All Others,0
Heath,-,1,President,,Democratic,All Others,0
Brockton,4,A,President,,Republican,Jon Huntsman,0
Weymouth,-,8,President,,Republican,Total Votes Cast,184
Carver,-,3,President,,Green-Rainbow,Blank Votes,0
Boston,20,17,President,,Republican,Total Votes Cast,154
Franklin,-,7,President,,Green-Rainbow,Blank Votes,0
Winchester,-,5,President,,Democratic,Total Votes Cast,83
Boston,17,11,President,,Green-Rainbow,Harley Mikkelson,0
Lexington,-,8,President,,Democratic,Blank Votes,11
Norton,-,3,President,,Republican,Newt Gingrich,8
Marlborough,3,1,President,,Republican,Blank Votes,0
Boston,6,9,President,,Republican,No Preference,1
Fall River,6,C,President,,Democratic,Blank Votes,5
Sudbury,-,2,President,,Republican,Michele Bachmann,0
Lowell,5,3,President,,Republican,Total Votes Cast,125
Haverhill,7,1,President,,Republican,Total Votes Cast,254
Taunton,1,A,President,,Republican,Michele Bachmann,0
Dracut,-,5,President,,Republican,Ron Paul,15
Boston,18,14,President,,Democratic,All Others,0
Adams,-,5,President,,Green-Rainbow,No Preference,0
Barnstable,-,12,President,,Democratic,Blank Votes,3
Tewksbury,-,3,President,,Republican,All Others,0
Clarksburg,-,1,President,,Democratic,Total Votes Cast,42
Waltham,3,2,President,,Democratic,All Others,1
Chelsea,1,4,President,,Democratic,All Others,0
Canton,-,4,President,,Republican,Rick Santorum,30
Lowell,6,3,President,,Republican,All Others,0
Wareham,-,6,President,,Democratic,Total Votes Cast,69
Boston,17,8,President,,Republican,Blank Votes,0
Westport,-,B,President,,Green-Rainbow,Blank Votes,0
Hanover,-,1,President,,Republican,All Others,0
Pembroke,-,5,President,,Democratic,Barack Obama,34
Peabody,5,3,President,,Green-Rainbow,Blank Votes,0
Quincy,1,1,President,,Democratic,Blank Votes,17
Rutland,-,3,President,,Green-Rainbow,Jill E. Stein,0
Haverhill,7,1,President,,Republican,Blank Votes,0
Dracut,-,6,President,,Democratic,Blank Votes,10
Attleboro,6,A,President,,Republican,Rick Santorum,22
Wilmington,-,2,President,,Democratic,No Preference,16
Plainville,-,2,President,,Republican,Blank Votes,2
Lowell,5,3,President,,Green-Rainbow,Jill E. Stein,0
Egremont,-,1,President,,Republican,No Preference,3
Norwood,-,9,President,,Democratic,All Others,1
Pittsfield,3,B,President,,Democratic,Barack Obama,104
Weymouth,-,5,President,,Green-Rainbow,All Others,0
Fall River,9,A,President,,Democratic,Total Votes Cast,145
Boston,22,8,President,,Republican,Michele Bachmann,0
Dunstable,-,1,President,,Republican,Rick Perry,0
Worcester,9,1,President,,Democratic,All Others,3
Mashpee,-,5,President,,Democratic,No Preference,16
Melrose,4,1,President,,Republican,Michele Bachmann,2
Marblehead,-,1,President,,Democratic,Total Votes Cast,94
Sandwich,-,4,President,,Democratic,All Others,0
Rutland,-,3,President,,Green-Rainbow,No Preference,0
Walpole,-,8,President,,Republican,Blank Votes,0
Rehoboth,-,3,President,,Democratic,Blank Votes,5
Cambridge,8,3,President,,Republican,Mitt Romney,8
Northampton,7,A,President,,Republican,All Others,0
Holyoke,2,A,President,,Republican,Rick Perry,0
Milford,-,8,President,,Republican,Michele Bachmann,0
Wakefield,-,6,President,,Republican,Michele Bachmann,1
Westborough,-,5,President,,Republican,Rick Santorum,28
Boston,1,13,President,,Green-Rainbow,Blank Votes,0
Springfield,2,C,President,,Green-Rainbow,Jill E. Stein,2
Chilmark,-,1,President,,Republican,No Preference,0
Swampscott,-,4,President,,Democratic,No Preference,8
Newton,5,1,President,,Republican,Mitt Romney,73
E. Bridgewater,-,2,President,,Republican,Ron Paul,6
Chelmsford,-,5,President,,Republican,Jon Huntsman,2
Westborough,-,3,President,,Republican,Jon Huntsman,4
Medway,-,4,President,,Green-Rainbow,Kent Mesplay,0
Agawam,-,2,President,,Republican,Mitt Romney,178
Gloucester,1,1,President,,Green-Rainbow,Blank Votes,0
N. Attleborough,-,1,President,,Green-Rainbow,No Preference,0
Boston,17,8,President,,Democratic,No Preference,1
Haverhill,3,3,President,,Republican,Mitt Romney,86
W. Springfield,-,4,President,,Green-Rainbow,Jill E. Stein,0
Kingston,-,4,President,,Republican,All Others,0
Yarmouth,-,4,President,,Republican,Blank Votes,1
Weymouth,-,13,President,,Republican,Total Votes Cast,127
Holden,-,2,President,,Republican,Jon Huntsman,0
Northampton,7,B,President,,Republican,Mitt Romney,44
N. Reading,-,2,President,,Green-Rainbow,Jill E. Stein,0
Brockton,2,B,President,,Republican,Newt Gingrich,3
Huntington,-,1,President,,Republican,Total Votes Cast,156
Melrose,7,1,President,,Republican,Rick Perry,2
Attleboro,5,A,President,,Republican,Rick Santorum,16
Boston,5,5,President,,Democratic,Blank Votes,1
Boston,10,4,President,,Republican,Blank Votes,0
Burlington,-,4,President,,Green-Rainbow,Harley Mikkelson,0
Plainfield,-,1,President,,Green-Rainbow,No Preference,0
Boston,14,10,President,,Green-Rainbow,Kent Mesplay,0
Fitchburg,4,B,President,,Republican,Blank Votes,0
Reading,-,3,President,,Democratic,No Preference,24
Charlemont,-,1,President,,Green-Rainbow,Kent Mesplay,0
Springfield,5,F,President,,Green-Rainbow,Jill E. Stein,0
Northbridge,-,1,President,,Republican,Blank Votes,0
Methuen,-,9,President,,Republican,Rick Perry,0
Auburn,-,1,President,,Democratic,Blank Votes,7
Arlington,-,8,President,,Republican,Total Votes Cast,113
Worcester,10,1,President,,Green-Rainbow,All Others,0
Chelsea,3,3,President,,Republican,All Others,0
Fairhaven,-,3,President,,Democratic,No Preference,12
Chelmsford,-,7,President,,Democratic,All Others,2
Boston,20,6,President,,Republican,Rick Perry,0
Springfield,5,F,President,,Republican,Rick Santorum,18
Brookline,-,10,President,,Republican,Rick Santorum,4
Brookline,-,2,President,,Green-Rainbow,Total Votes Cast,2
Boston,19,12,President,,Republican,Ron Paul,5
Newton,1,2,President,,Green-Rainbow,Total Votes Cast,2
Sterling,-,2,President,,Republican,Total Votes Cast,496
Easton,-,6,President,,Green-Rainbow,No Preference,0
Tyngsborough,-,3,President,,Republican,Mitt Romney,219
Marshfield,-,1,President,,Republican,No Preference,0
Rockland,-,2,President,,Republican,Total Votes Cast,164
Wellfleet,-,1,President,,Green-Rainbow,Jill E. Stein,1
Fall River,2,A,President,,Democratic,Barack Obama,68
Norwood,-,5,President,,Republican,All Others,0
Marlborough,3,1,President,,Republican,Jon Huntsman,0
Dracut,-,9,President,,Republican,Rick Santorum,23
Springfield,5,D,President,,Democratic,Blank Votes,3
Beverly,6,2,President,,Green-Rainbow,Kent Mesplay,0
Oakham,-,1,President,,Republican,All Others,0
Boston,1,1,President,,Republican,Michele Bachmann,0
Sudbury,-,3,President,,Republican,Mitt Romney,263
Plymouth,-,13,President,,Republican,All Others,0
N. Adams,3,3,President,,Green-Rainbow,Total Votes Cast,0
Lowell,7,2,President,,Republican,All Others,0
Boston,16,9,President,,Democratic,Blank Votes,51
Lowell,1,1,President,,Republican,Newt Gingrich,0
Rochester,-,1,President,,Republican,Jon Huntsman,6
Wilmington,-,3,President,,Democratic,No Preference,11
Boston,14,3,President,,Republican,Mitt Romney,1
Boston,13,10,President,,Republican,Total Votes Cast,92
Chicopee,8,B,President,,Republican,Rick Perry,0
Webster,-,5,President,,Republican,Total Votes Cast,131
Holliston,-,2,President,,Republican,Blank Votes,0
Greenfield,-,9,President,,Republican,Ron Paul,8
Springfield,4,E,President,,Republican,Michele Bachmann,0
Leominster,2,A,President,,Green-Rainbow,Total Votes Cast,1
Andover,-,1,President,,Republican,All Others,0
Newton,7,2,President,,Democratic,Total Votes Cast,108
Somerville,2,1,President,,Republican,Jon Huntsman,0
Rutland,-,1,President,,Green-Rainbow,Blank Votes,0
Barnstable,-,10,President,,Democratic,Barack Obama,35
Haverhill,6,2,President,,Green-Rainbow,Kent Mesplay,0
N. Reading,-,2,President,,Republican,All Others,1
Milford,-,5,President,,Republican,Newt Gingrich,10
Boston,7,4,President,,Republican,Newt Gingrich,3
Chicopee,3,B,President,,Republican,Blank Votes,0
Worcester,9,3,President,,Republican,Michele Bachmann,0
Plymouth,-,10,President,,Republican,Newt Gingrich,4
Chelsea,2,2,President,,Democratic,No Preference,3
Truro,-,1,President,,Republican,Total Votes Cast,127
Boston,3,8,President,,Green-Rainbow,Harley Mikkelson,0
Worcester,4,1,President,,Democratic,Barack Obama,33
Billerica,-,10,President,,Republican,Ron Paul,26
Lawrence,D,3,President,,Green-Rainbow,Total Votes Cast,0
Great Barrington,-,D,President,,Republican,Jon Huntsman,0
Sharon,-,1,President,,Democratic,Barack Obama,83
Watertown,-,10,President,,Republican,Blank Votes,0
Boston,22,9,President,,Republican,Rick Santorum,4
Taunton,7,B,President,,Green-Rainbow,Kent Mesplay,0
Boston,7,3,President,,Republican,Michele Bachmann,0
Templeton,-,B,President,,Republican,Michele Bachmann,0
Boston,16,3,President,,Green-Rainbow,No Preference,0
Lowell,7,3,President,,Democratic,Blank Votes,3
Somerville,1,3,President,,Republican,No Preference,0
Chicopee,9,A,President,,Republican,Rick Santorum,30
Framingham,-,8,President,,Republican,Mitt Romney,146
Beverly,5,2,President,,Green-Rainbow,All Others,0
Attleboro,6,A,President,,Republican,Ron Paul,17
Kingston,-,1,President,,Republican,Mitt Romney,156
Northampton,7,A,President,,Green-Rainbow,Jill E. Stein,1
Lowell,3,1,President,,Republican,Blank Votes,2
Great Barrington,-,C,President,,Democratic,Blank Votes,1
Westfield,6,B,President,,Republican,Total Votes Cast,171
Worcester,7,1,President,,Green-Rainbow,Blank Votes,0
Norton,-,5,President,,Republican,Mitt Romney,110
Bridgewater,-,6,President,,Green-Rainbow,All Others,0
Springfield,3,A,President,,Republican,Blank Votes,0
Easthampton,-,2,President,,Republican,Rick Perry,0
Harwich,-,2,President,,Republican,Mitt Romney,281
Danvers,-,4,President,,Republican,Rick Perry,1
Boston,21,6,President,,Green-Rainbow,No Preference,0
Bellingham,-,2,President,,Democratic,No Preference,15
Weymouth,-,12,President,,Green-Rainbow,Jill E. Stein,0
W. Springfield,-,6,President,,Republican,Ron Paul,17
Oxford,-,1,President,,Republican,Ron Paul,17
Princeton,-,1,President,,Democratic,All Others,0
Grafton,-,2,President,,Republican,Rick Santorum,40
Brookline,-,9,President,,Green-Rainbow,No Preference,0
Newton,6,2,President,,Green-Rainbow,All Others,0
Worcester,5,2,President,,Democratic,Total Votes Cast,47
Boston,11,3,President,,Democratic,All Others,0
Hopkinton,-,3,President,,Green-Rainbow,Jill E. Stein,1
Boston,21,3,President,,Republican,All Others,1
Natick,-,8,President,,Democratic,No Preference,11
Andover,-,9,President,,Republican,No Preference,1
Middleborough,-,1,President,,Green-Rainbow,Jill E. Stein,0
Arlington,-,9,President,,Green-Rainbow,Harley Mikkelson,0
Leicester,-,1,President,,Republican,Rick Santorum,32
Gloucester,5,1,President,,Democratic,Barack Obama,72
Wilmington,-,6,President,,Green-Rainbow,Jill E. Stein,0
New Bedford,3,C,President,,Republican,Rick Santorum,9
Wilbraham,-,B,President,,Republican,All Others,1
Marlborough,3,2,President,,Republican,All Others,0
Waltham,8,1,President,,Republican,Jon Huntsman,1
Stoneham,-,2,President,,Democratic,Blank Votes,4
Somerville,7,1,President,,Democratic,Barack Obama,121
Attleboro,6,A,President,,Democratic,No Preference,4
Spencer,-,1,President,,Republican,Rick Santorum,36
Waltham,2,1,President,,Republican,All Others,0
Boston,10,8,President,,Republican,No Preference,0
Heath,-,1,President,,Republican,Ron Paul,7
Mashpee,-,2,President,,Green-Rainbow,No Preference,0
Winthrop,-,6,President,,Green-Rainbow,All Others,0
Springfield,1,B,President,,Green-Rainbow,All Others,0
Winchester,-,8,President,,Republican,Mitt Romney,132
Nantucket,-,1,President,,Republican,Blank Votes,9
Chester,-,1,President,,Republican,Newt Gingrich,16
Montague,-,1,President,,Republican,Blank Votes,13
Stow,-,2,President,,Republican,Total Votes Cast,312
W. Springfield,-,5,President,,Republican,Newt Gingrich,14
Whitman,-,2,President,,Republican,Jon Huntsman,2
Hancock,-,1,President,,Republican,Total Votes Cast,40
Saugus,-,9,President,,Green-Rainbow,Jill E. Stein,0
Chelmsford,-,1,President,,Democratic,No Preference,9
Billerica,-,1,President,,Republican,Blank Votes,0
Quincy,1,3,President,,Green-Rainbow,Harley Mikkelson,0
Arlington,-,2,President,,Democratic,Barack Obama,82
Great Barrington,-,B,President,,Democratic,No Preference,2
Boston,6,7,President,,Republican,Total Votes Cast,66
Arlington,-,18,President,,Republican,Ron Paul,18
Holden,-,1,President,,Democratic,No Preference,3
Northampton,3,B,President,,Republican,Newt Gingrich,4
New Bedford,1,A,President,,Republican,Mitt Romney,79
Millbury,-,1,President,,Republican,Jon Huntsman,1
Woburn,7,1,President,,Green-Rainbow,No Preference,0
Billerica,-,2,President,,Democratic,All Others,5
Needham,-,J,President,,Green-Rainbow,Total Votes Cast,0
Fitchburg,1,B,President,,Green-Rainbow,No Preference,1
Greenfield,-,2,President,,Green-Rainbow,Kent Mesplay,0
N. Attleborough,-,5,President,,Republican,Ron Paul,20
Quincy,6,4,President,,Democratic,Barack Obama,48
Boston,21,4,President,,Republican,Ron Paul,5
Dighton,-,2,President,,Republican,Rick Santorum,50
Blackstone,-,3,President,,Republican,Newt Gingrich,16
New Bedford,5,A,President,,Republican,Michele Bachmann,0
Fall River,2,A,President,,Democratic,Total Votes Cast,76
Milton,-,6,President,,Republican,Jon Huntsman,3
Belmont,-,8,President,,Republican,Newt Gingrich,10
Woburn,5,1,President,,Democratic,Blank Votes,3
Weymouth,-,16,President,,Green-Rainbow,Harley Mikkelson,1
