county,town,precinct,office,district,candidate,party,votes
Barnstable,Barnstable,Barnstable 01,President,,Barack Obama,D,1248
Barnstable,Barnstable,Barnstable 02,President,,Barack Obama,D,1017
Barnstable,Barnstable,Barnstable 03,President,,Barack Obama,D,974
Barnstable,Barnstable,Barnstable 04,President,,Barack Obama,D,969
Barnstable,Barnstable,Barnstable 05,President,,Barack Obama,D,988
Barnstable,Barnstable,Barnstable 06,President,,Barack Obama,D,1042
Barnstable,Barnstable,Barnstable 07,President,,Barack Obama,D,1120
Barnstable,Barnstable,Barnstable 08,President,,Barack Obama,D,844
Barnstable,Barnstable,Barnstable 09,President,,Barack Obama,D,658
Barnstable,Barnstable,Barnstable 10,President,,Barack Obama,D,916
Barnstable,Barnstable,Barnstable 11,President,,Barack Obama,D,1156
Barnstable,Barnstable,Barnstable 12,President,,Barack Obama,D,1060
Barnstable,Barnstable,Barnstable 13,President,,Barack Obama,D,955
Barnstable,Barnstable,,President,,Barack Obama,D,12947
Barnstable,Bourne,Bourne 1,President,,Barack Obama,D,671
Barnstable,Bourne,Bourne 2,President,,Barack Obama,D,728
Barnstable,Bourne,Bourne 3,President,,Barack Obama,D,438
Barnstable,Bourne,Bourne 4,President,,Barack Obama,D,845
Barnstable,Bourne,Bourne 5,President,,Barack Obama,D,824
Barnstable,Bourne,Bourne 6,President,,Barack Obama,D,602
Barnstable,Bourne,Bourne 7,President,,Barack Obama,D,704
Barnstable,Bourne,,President,,Barack Obama,D,4812
Barnstable,Brewster,Brewster 1,President,,Barack Obama,D,1224
Barnstable,Brewster,Brewster 2,President,,Barack Obama,D,1253
Barnstable,Brewster,Brewster 3,President,,Barack Obama,D,1201
Barnstable,Brewster,,President,,Barack Obama,D,3678
Barnstable,Chatham,Chatham,President,,Barack Obama,D,2293
Barnstable,Dennis,Dennis 1,President,,Barack Obama,D,990
Barnstable,Dennis,Dennis 2,President,,Barack Obama,D,1092
Barnstable,Dennis,Dennis 3,President,,Barack Obama,D,916
Barnstable,Dennis,Dennis 4,President,,Barack Obama,D,996
Barnstable,Dennis,Dennis 5,President,,Barack Obama,D,927
Barnstable,Dennis,,President,,Barack Obama,D,4921
Barnstable,Eastham,Eastham,President,,Barack Obama,D,2188
Barnstable,Falmouth,Falmouth 1,President,,Barack Obama,D,1703
Barnstable,Falmouth,Falmouth 2,President,,Barack Obama,D,1301
Barnstable,Falmouth,Falmouth 3,President,,Barack Obama,D,1152
Barnstable,Falmouth,Falmouth 4,President,,Barack Obama,D,1171
Barnstable,Falmouth,Falmouth 5,President,,Barack Obama,D,1244
Barnstable,Falmouth,Falmouth 6,President,,Barack Obama,D,1310
Barnstable,Falmouth,Falmouth 7,President,,Barack Obama,D,1095
Barnstable,Falmouth,Falmouth 8,President,,Barack Obama,D,1049
Barnstable,Falmouth,Falmouth 9,President,,Barack Obama,D,1102
Barnstable,Falmouth,,President,,Barack Obama,D,11127
Barnstable,Harwich,Harwich 1,President,,Barack Obama,D,1165
Barnstable,Harwich,Harwich 2,President,,Barack Obama,D,1121
Barnstable,Harwich,Harwich 3,President,,Barack Obama,D,1080
Barnstable,Harwich,Harwich 4,President,,Barack Obama,D,1049
Barnstable,Harwich,,President,,Barack Obama,D,4415
Barnstable,Mashpee,Mashpee 1,President,,Barack Obama,D,961
Barnstable,Mashpee,Mashpee 2,President,,Barack Obama,D,736
Barnstable,Mashpee,Mashpee 3,President,,Barack Obama,D,737
Barnstable,Mashpee,Mashpee 4,President,,Barack Obama,D,847
Barnstable,Mashpee,Mashpee 5,President,,Barack Obama,D,854
Barnstable,Mashpee,,President,,Barack Obama,D,4135
Barnstable,Orleans,Orleans,President,,Barack Obama,D,2530
Barnstable,Provincetown,Provincetown,President,,Barack Obama,D,2121
Barnstable,Sandwich,Sandwich 1,President,,Barack Obama,D,1242
Barnstable,Sandwich,Sandwich 2,President,,Barack Obama,D,1078
Barnstable,Sandwich,Sandwich 3,President,,Barack Obama,D,928
Barnstable,Sandwich,Sandwich 4,President,,Barack Obama,D,956
Barnstable,Sandwich,Sandwich 5,President,,Barack Obama,D,874
Barnstable,Sandwich,Sandwich 6,President,,Barack Obama,D,767
Barnstable,Sandwich,,President,,Barack Obama,D,5845
